,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,4001801948.0,24300263913.0,-104535769727.0,52344439539.0,57932663487.0,210788837219.0,-120468341723.0,1517935297.0,-64585804356.0,217212443153.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,36655777681.0,36882020599.0,36867724904.0,34713784723.0,35749439485.0,38418830551.0,33443690283.0,48218224060.0,18666185275.0,20448568766.0
2,Lãi trước thuế,582027976.0,588165074.0,408007757.0,525859832.0,597008233.0,1007636716.0,444732189.0,15887531866.0,5963820338.0,4965744553.0
3,Khấu hao TSCĐ,34202697908.0,34027011707.0,34265007897.0,31209204520.0,32620665333.0,31679213779.0,31487417373.0,31607346154.0,9741669320.0,9683818147.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,-1012859639.0,917574250.0,-697727137.0,438879872.0,476542803.0,4437623475.0,118850545.0,-621202919.0,386129535.0,417312624.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,-1990011.0,-57035138.0,57035138.0,0.0,0.0,-41369994.0,41369994.0,0.0,1760443702.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-250388505.0,-1699329730.0,-318906385.0,-290065650.0,-290989414.0,-265803357.0,-103032986.0,-501526526.0,-303581046.0,-308200081.0
9,Chi phí lãi vay,3134299941.0,3050589309.0,3268377910.0,2772871011.0,2346212530.0,1560159938.0,1537093156.0,1804705491.0,2878147128.0,3929449821.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-56428915451.0,92438309451.0,-170463169365.0,12561671317.0,-63249911007.0,206486918003.0,-125308854843.0,-113618352125.0,-83941817778.0,227812562951.0
13,(Tăng)/giảm hàng tồn kho,30160551193.0,-42630414844.0,76811210420.0,-2384983997.0,64607312069.0,-31831873095.0,28071312634.0,19629469819.0,-83562318265.0,12546537564.0
14,Tăng/(giảm) các khoản phải trả,-28638760305.0,-101016140921.0,-25289534161.0,-7357882198.0,30334798687.0,-14515967593.0,-20593367938.0,53063080557.0,66305260535.0,-42522810529.0
15,( Tăng)/giảm chi phí trả trước,23130752210.0,44085953231.0,-7320592586.0,10119624063.0,-8212541537.0,29881681245.0,-28546957086.0,-4061968160.0,21464841533.0,13811494566.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-3453893504.0,-3070043964.0,-3166849937.0,-2942643123.0,-2400803210.0,-1796584736.0,-1536297499.0,-1759568202.0,-2799367430.0,-3954538244.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,-8718738884.0,0.0,0.0,-12486725959.0,-4455142274.0,-4162217152.0,-275866461.0,-10992133329.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,12000000000.0,12724200000.0,0.0,0.0,12000000000.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,2576290124.0,-2389419639.0,-15255820118.0,-5089331246.0,1104369000.0,-3367441197.0,-13542725000.0,4209266500.0,-442721765.0,62761408.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-611761705.0,-697545529.0,-239179432.0,-6547475852.0,-24595491701.0,-13476553785.0,-2862026837.0,-39966685928.0,-514145185.0,-4400563737.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1050555910.0,-955730000.0,-459616000.0,-6340188751.0,-28379540381.0,-14307707453.0,-2879252489.0,-39981343468.0,-526680000.0,-5226579987.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,3781032727.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,438794205.0,258184471.0,220436568.0,-207287101.0,3015953.0,831153668.0,17225652.0,14657540.0,12534815.0,826016250.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-38675657400.0,15444411714.0,87868295767.0,-39251347345.0,-33815669957.0,-51921295048.0,539262717.0,18095464188.0,49926659642.0,-87745509448.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,322050524179.0,376028326067.0,307407740526.0,348667010802.0,323205128766.0,391452240590.0,298335620317.0,233481172001.0,183192054335.0,206990805598.0
33,Tiển trả các khoản đi vay,-360726181579.0,-360583914353.0,-219539444759.0,-387918358147.0,-357020798723.0,-443373535638.0,-297796357600.0,-215385707813.0,-133265394693.0,-294736315046.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
