,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,253333356175.0,257235275075.0,287985884424.0,323735204420.0,251147383100.0,254916992293.0,212367767499.0,194128429279.0,239188754850.0,188946333896.0
1,Các khoản giảm trừ,-19497636.0,-3705760.0,-526208873.0,-8634500.0,-49421096.0,-22073590.0,-233389265.0,-78937620.0,0.0,0.0
2,Doanh số thuần,253313858539.0,257231569315.0,287459675551.0,323726569920.0,251097962004.0,254894918703.0,212134378234.0,194049491659.0,239188754850.0,188946333896.0
3,Giá vốn hàng bán,-226713070306.0,-231608835485.0,-257953166226.0,-294845497186.0,-225802223856.0,-226901253678.0,-188744912987.0,-169100126129.0,-217266251928.0,-170546724246.0
4,Lãi gộp,26600788233.0,25622733830.0,29506509325.0,28881072734.0,25295738148.0,27993665025.0,23389465247.0,24949365530.0,21922502922.0,18399609650.0
5,Thu nhập tài chính,1099381402.0,1289785425.0,1047697048.0,1176743552.0,1970106823.0,4282619121.0,4012599206.0,3597337655.0,5297989792.0,6092529529.0
6,Chi phí tài chính,-798299250.0,-670554477.0,-658192455.0,-4630000005.0,-2851158777.0,-1443630881.0,-1707927788.0,-962268059.0,-671080489.0,-1717591950.0
7,Trong đó: Chi phí lãi vay,-548175717.0,-500551769.0,-616336890.0,-1065400005.0,-1368473015.0,-1189944647.0,-1651906787.0,-933246300.0,-626089567.0,-1571871359.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-4755919957.0,-4954522395.0,-5828708688.0,-6322363637.0,-5684436335.0,-6684603168.0,-5969897626.0,-6315095022.0,-7847713638.0,-5667369141.0
10,Chi phí quản lý doanh  nghiệp,-6979099869.0,-6816112246.0,-8873088327.0,-7974357903.0,-8388007396.0,-9372989048.0,-9034892492.0,-7851478365.0,-7754476527.0,-8104808541.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,15166850559.0,14471330137.0,15194216903.0,11131094741.0,10342242463.0,14775061049.0,10689346547.0,13417861739.0,10947222060.0,9002369547.0
12,Thu nhập khác,-158151575.0,3590000.0,0.0,300002000.0,1708312703.0,70000000.0,1132136364.0,9103134.0,1469731210.0,3128344294.0
13,Chi phí khác,-80260201.0,-99808016.0,-461904017.0,-97600174.0,-257994031.0,-168809806.0,-232256476.0,-114236744.0,-111736424.0,-1052875050.0
14,"Thu nhập khác, ròng",-238411776.0,-96218016.0,-461904017.0,202401826.0,1450318672.0,-98809806.0,899879888.0,-105133610.0,1357994786.0,2075469244.0
16,Lãi/(lỗ) ròng trước thuế,14928438783.0,14375112121.0,14732312886.0,11333496567.0,11792561135.0,14676251243.0,11589226435.0,13312728129.0,12305216846.0,11077838791.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-3152099822.0,-2976343220.0,-3014484898.0,-2210619348.0,-2401248493.0,-2968412210.0,-2363255172.0,-1874806504.0,-2492395083.0,-2255495721.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-22421779.0,-7747435.0,10254306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-3174521601.0,-2984090655.0,-3004230592.0,-2210619348.0,-2401248493.0,-2968412210.0,-2363255172.0,-1874806504.0,-2492395083.0,-2255495721.0
20,Lãi/(lỗ) thuần sau thuế,11753917182.0,11391021466.0,11728082294.0,9122877219.0,9391312642.0,11707839033.0,9225971263.0,11437921625.0,9812821763.0,8822343070.0
21,Lợi ích của cổ đông thiểu số,348771985.0,216722355.0,228406536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,11405145197.0,11174299111.0,11499675758.0,9122877219.0,9391312642.0,11707839033.0,9225971263.0,11437921625.0,9812821763.0,8822343070.0
23,Lãi cơ bản trên cổ phiếu,3119.0,3055.0,3144.0,2494.0,2568.0,3201.0,2523.0,2822.0,2683.0,2412.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
