,Unnamed: 0,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q1 2018,Q2 2018,Q3 2018
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,13027638869.0,-201525493.0,9905213791.0,-2927275833.0,1606675728.0,2726697886.0,10071896085.0,5044366202.0,1836290085.0,15705493955.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,5508231680.0,2798384867.0,6226544676.0,16415439440.0,8962572526.0,8121522073.0,0.0,9261369897.0,7622076050.0,15728022493.0
2,Lãi trước thuế,223892543.0,-2861651783.0,-160208402.0,10879317934.0,3379216559.0,3301827978.0,0.0,3302007591.0,3093034204.0,9536952024.0
3,Khấu hao TSCĐ,3351481383.0,3402867690.0,3505640304.0,3253545126.0,3380606103.0,3380606103.0,0.0,3386413329.0,3386413329.0,3356227130.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-2066905.0,2066905.0,-5524676.0,5524676.0,190407678.0,-656412008.0,0.0,308798977.0,-918467338.0,609668361.0
9,Chi phí lãi vay,1934924659.0,2255102055.0,2886637450.0,2277051704.0,2012342186.0,2095500000.0,0.0,2264150000.0,2061095855.0,2225174978.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,14855940234.0,-2062809369.0,-1812535953.0,-3116207403.0,2008073143.0,-4712808469.0,0.0,1072301816.0,-4671640933.0,-824692298.0
13,(Tăng)/giảm hàng tồn kho,-49985000.0,51718778.0,19826230.0,-350751974.0,-13244256.0,44859368.0,0.0,64996710.0,-87353592.0,44950022.0
14,Tăng/(giảm) các khoản phải trả,-5428252213.0,539396669.0,9241065384.0,-14163936174.0,-7202620066.0,1623773417.0,0.0,-3049102221.0,2424737733.0,907618686.0
15,( Tăng)/giảm chi phí trả trước,0.0,302596928.0,5756522.0,445235315.0,0.0,408818440.0,0.0,0.0,-18639086.0,345340172.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-1689295832.0,-1561813366.0,-3825554966.0,-1835990671.0,-1950105619.0,-1983000000.0,0.0,-2293200000.0,-2139200400.0,-2133949600.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,-250000000.0,250000000.0,-500630468.0,0.0,-769266943.0,0.0,0.0,-982789687.0,982789687.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-169000000.0,-19000000.0,-199888102.0,179566102.0,-198000000.0,-7200000.0,0.0,-12000000.0,-310900000.0,655414793.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-1243333095.0,190552371.0,-326515775.0,157921856.0,-18776533993.0,-1999896955.0,1206063.0,19267640.0,8718828710.0,-2911872885.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1245400000.0,192619276.0,-332040451.0,163446532.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,-18778906943.0,-2000000000.0,0.0,0.0,-6800000000.0,-6300000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15500000000.0,3100000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287000000.0
28,Cổ tức và tiền lãi nhận được,2066905.0,-2066905.0,5524676.0,-5524676.0,2372950.0,103045.0,1206063.0,19267640.0,18828710.0,1127115.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-9680715176.0,-760130824.0,-7731154000.0,5190739791.0,11718870443.0,-845108500.0,-4500000000.0,-7517690000.0,-16127640000.0,-3306135187.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,800000000.0,101421093057.0,26578906943.0,0.0,0.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,-9680715176.0,-735284824.0,-8556000000.0,-92690209016.0,-7500000000.0,0.0,-4500000000.0,-7500000000.0,0.0,-4500000000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,-24846000.0,24846000.0,-3540144250.0,-7360036500.0,-845108500.0,0.0,-17690000.0,-16127640000.0,1193864813.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,2103590598.0,-771103946.0,1847544016.0,2421385814.0,-5450987822.0,-118307569.0,5573102148.0,-2454056158.0,-5572521205.0,9487485883.0
38,Tiền và tương đương tiền đầu kỳ,141969164.0,2245559762.0,1474455816.0,3321999832.0,5743385646.0,292397824.0,174090255.0,8117227468.0,5663171310.0,90650105.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,2245559762.0,1474455816.0,3321999832.0,5743385646.0,292397824.0,174090255.0,5747192403.0,5663171310.0,90650105.0,9578135988.0
