,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,3140079350630.0,4033135074051.0,6379501757101.0,6860286333708.0,6293544488478.0,6594375139171.0,6713431937527.0,6970181517643.0,9326768797727.0,7236859769013.0
1,TÀI SẢN NGẮN HẠN,2116099124285.0,2694001336912.0,4315299037995.0,4774311568983.0,3770265804796.0,4177526879310.0,4511390247294.0,3450447866860.0,3503901025397.0,3523512375551.0
2,Tiền và tương đương tiền,20615066042.0,26200351704.0,50511352196.0,69636446911.0,44814786341.0,36604556147.0,34106891580.0,29143096529.0,29853555011.0,32447898686.0
3,Tiền,20615066042.0,26200351704.0,50511352196.0,69636446911.0,44814786341.0,36604556147.0,34106891580.0,29143096529.0,29853555011.0,32447898686.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,300204930746.0,136000000.0,4100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,300204930746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,136000000.0,4100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,1143777662545.0,1883111390280.0,3300689893834.0,3890244602452.0,2826533822834.0,3354659268501.0,3760083637447.0,2882343795973.0,2874941752904.0,2904496186297.0
10,Phải thu khách hàng,460767435789.0,645826202603.0,951194573902.0,766567176103.0,891782588294.0,1124222713053.0,1274073379007.0,1303656462035.0,1417387659963.0,1349782621569.0
11,Trả trước người bán,527328597888.0,731111943375.0,1943637295357.0,2598825007935.0,1418818557463.0,1615622099654.0,1689222501062.0,999721330092.0,829710219777.0,830776651439.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,336775816379.0,172907220455.0,347689599919.0,329855144190.0,232858992415.0,208876792201.0,372421342283.0,230478043628.0,319322438147.0
15,Phải thu khác,179553430331.0,203395027754.0,279686538726.0,234084498534.0,243346267537.0,448055781618.0,646233552380.0,240716348837.0,431574178043.0,441508399047.0
16,Dự phòng nợ khó đòi,-23871801463.0,-34402599831.0,-47870169019.0,-58054800032.0,-57976854643.0,-66808438232.0,-59030707196.0,-34879988767.0,-34916650000.0,-37602043898.0
17,Tài sản thiếu chờ xử lý,0.0,405000000.0,1134434413.0,1133119993.0,708119993.0,708119993.0,708119993.0,708301493.0,708301493.0,708119993.0
18,"Hàng tồn kho, ròng",611294189887.0,751808221742.0,917164279430.0,794216678090.0,877638177043.0,770878092479.0,700743694852.0,517823253876.0,580063766208.0,571030924232.0
19,Hàng tồn kho,611294189887.0,751808221742.0,917164279430.0,794216678090.0,877638177043.0,770878092479.0,700743694852.0,517823253876.0,580063766208.0,571030924232.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,40207275065.0,32745373186.0,42833512535.0,20213841530.0,21279018578.0,15384962183.0,16456023415.0,21137720482.0,19041951274.0,15537366336.0
22,Trả trước ngắn hạn,552887113.0,543152974.0,1959020006.0,253273259.0,288076747.0,705931000.0,810734777.0,19703615.0,5904544.0,176055286.0
23,Thuế VAT phải thu,2656214964.0,31326609811.0,39686826199.0,18882385887.0,19277325309.0,12965414661.0,13920643282.0,19393371511.0,17311401374.0,13636665694.0
24,Phải thu thuế khác,525610401.0,875610401.0,1187666330.0,1078182384.0,1713616522.0,1713616522.0,1724645356.0,1724645356.0,1724645356.0,1724645356.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,36472562587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,1023980226345.0,1339133737139.0,2064202719106.0,2085974764725.0,2523278683682.0,2416848259861.0,2202041690233.0,3519733650783.0,5822867772330.0,3713347393462.0
28,Phải thu dài hạn,0.0,285330960000.0,75811809000.0,1125690076379.0,2274480385071.0,2274495385071.0,2066100270071.0,1398190311040.0,1335190311040.0,1337984387305.0
29,Phải thu khách hàng dài hạn,0.0,285100960000.0,70400000000.0,70400000000.0,902479640071.0,902479640071.0,677711120071.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,3228305000.0,7815500000.0,0.0,0.0,0.0,0.0,0.0,2794076265.0
34,Phải thu dài hạn khác,0.0,230000000.0,2183504000.0,1047474576379.0,1372000745000.0,1372015745000.0,1388389150000.0,1398190311040.0,1335190311040.0,1335190311040.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,6905438997.0,6120645856.0,31342213643.0,42308453726.0,11145703348.0,8938596895.0,7195034752.0,4817717955.0,3924422543.0,3255444047.0
