,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,158745755391.0,-21925973949.0,2667759724.0,18284481697.0,-7380029293.0,155231659414.0,124785490764.0,-61529964045.0,23180609252.0,5557714998.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,12204972962.0,-3789168505.0,11931351572.0,5505647346.0,20846764756.0,7344724203.0,12420667269.0,5862050788.0,1872097427.0,7241137290.0
2,Lãi trước thuế,1408530018.0,-976076152.0,1398590674.0,2327568578.0,1268351133.0,2407670596.0,6278362978.0,13744646885.0,1433460428.0,4114247418.0
3,Khấu hao TSCĐ,669359561.0,665502225.0,396999425.0,232356873.0,170517922.0,169639374.0,169330374.0,166549374.0,166549374.0,166549374.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,-19159686001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2814208627.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,1796892170.0,-90909090.0,0.0,-7150189371.0,7150189371.0,0.0,0.0,-17493770374.0,-117031718.0,-250299972.0
9,Chi phí lãi vay,8330191213.0,15772000513.0,10135761473.0,10095911266.0,12257706330.0,4767414233.0,5972973917.0,9444624903.0,389119343.0,396431843.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-17445281867.0,1867230726250.0,-61560780620.0,-68538187003.0,-38729296341.0,98650478227.0,-16472115409.0,3955587391.0,57693376403.0,32061704735.0
13,(Tăng)/giảm hàng tồn kho,4499843486.0,18557282621.0,-13439190292.0,4637195972.0,2474094072.0,-55912612084.0,-9035033779.0,-12079897390.0,24611916661.0,5415035027.0
