,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,2463134939.0,-2383213331.0,36966284609.0,28066610015.0,14241432251.0,4110460517.0,466849437.0,16372670389.0,6574103717.0,24258889080.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,2234274910.0,-4273666679.0,8999119528.0,-16930418009.0,-13782633077.0,-16375662985.0,-11619591484.0,-3195377579.0,7027790829.0,-13585860968.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-134789000.0,-3039113823.0,-2719200.0,-4961689874.0,0.0,-6081178276.0,-4739911298.0,-5694838116.0,9285658284.0,-10018263293.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,100000000.0,-9090909.0,0.0,154545455.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-2000000000.0,-28232414087.0,-4000000000.0,-72000000000.0,-14900000000.0,-35787822147.0,-10150000000.0,-69256654205.0,-38500000000.0,-22723345795.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,4000000000.0,24800000000.0,12727232903.0,59918723239.0,1000000000.0,19786246575.0,3168786301.0,71479054795.0,33508289041.0,18905589041.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,369063910.0,2197861231.0,174605825.0,121639535.0,117366923.0,5552545408.0,101533513.0,277059947.0,2733843504.0,250159079.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-3503973000.0,14391437311.0,-38523269496.0,-24050700000.0,-5924030450.0,25005280450.0,4499650000.0,-6732324735.0,-10774371525.0,-6815901905.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,104824631865.0,113276200000.0,104415798485.0,58377000000.0,12000000000.0,122633200000.0,156388400000.0,208500000000.0,84500000000.0,24000000000.0
33,Tiển trả các khoản đi vay,-101728604865.0,-95667030504.0,-139639067981.0,-73657700000.0,-15500000000.0,-93433200000.0,-148600000000.0,-211988400000.0,-95000000000.0,-26000000000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-6600000000.0,-3217732185.0,-3300000000.0,3300000000.0,-2424030450.0,-4194719550.0,-3288750000.0,-3243924735.0,-274371525.0,-4815901905.0
37,Lưu chuyển tiền thuần trong kỳ,1193436849.0,7734557301.0,7442134641.0,-12914507994.0,-5465231276.0,12740077982.0,-6653092047.0,6444968075.0,2827523021.0,3857126207.0
38,Tiền và tương đương tiền đầu kỳ,18228268835.0,19421705684.0,27156262985.0,34598397626.0,21683889632.0,16218658356.0,28958736338.0,22305644291.0,28750612366.0,31578135387.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,19421705684.0,27156262985.0,34598397626.0,21683889632.0,16218658356.0,28958736338.0,22305644291.0,28750612366.0,31578135387.0,35435261594.0
