,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,72945862105.0,72898856214.0,68886886602.0,81451431383.0,77608025642.0,69900831753.0,63010046443.0,89845884531.0,99048552522.0,99414951288.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,72945862105.0,72898856214.0,68886886602.0,81451431383.0,77608025642.0,69900831753.0,63010046443.0,89845884531.0,99048552522.0,99414951288.0
3,Giá vốn hàng bán,-60807158086.0,-62751289269.0,-61831886528.0,-71710097845.0,-73850271601.0,-59696047618.0,-64506692700.0,-81943057787.0,-86202225891.0,-91045974294.0
4,Lãi gộp,12138704019.0,10147566945.0,7055000074.0,9741333538.0,3757754041.0,10204784135.0,-1496646257.0,7902826744.0,12846326631.0,8368976994.0
5,Thu nhập tài chính,2462934952.0,3932755269.0,1823397157.0,1935249511.0,2260650928.0,3607333774.0,7719967757.0,2318167514.0,2878680998.0,2429644149.0
6,Chi phí tài chính,0.0,2710800000.0,0.0,-1572264688.0,-433729499.0,4075487270.0,-53213476.0,0.0,0.0,-7109.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-5141533480.0,-9765055758.0,-3766232530.0,-4646567016.0,-2861164800.0,-11366932647.0,-5363168783.0,-6815335259.0,-6824135857.0,-7260555231.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,9460105491.0,7026066456.0,5112164701.0,5457751345.0,2723510670.0,6520672532.0,806939241.0,3405658999.0,8900871772.0,3538058803.0
12,Thu nhập khác,190735827.0,47867601.0,42972201.0,0.0,1126380134.0,241628017.0,5503183580.0,268302000.0,334211224.0,249962624.0
13,Chi phí khác,-100706025.0,-17895687.0,-4996821.0,-11435895.0,0.0,-3148304.0,-18873461.0,-26196819.0,-330043552.0,-391145497.0
14,"Thu nhập khác, ròng",90029802.0,29971914.0,37975380.0,-11435895.0,1126380134.0,238479713.0,5484310119.0,242105181.0,4167672.0,-141182873.0
16,Lãi/(lỗ) ròng trước thuế,9550135293.0,7056038370.0,5150140081.0,5446315450.0,3849890804.0,6759152245.0,6291249360.0,3647764180.0,8905039444.0,3396875930.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1925427058.0,-1387035163.0,-1046228016.0,-1105463090.0,-786178162.0,-1128177981.0,-1258259412.0,-729626550.0,-1780924635.0,-695051940.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-1925427058.0,-1387035163.0,-1046228016.0,-1105463090.0,-786178162.0,-1128177981.0,-1258259412.0,-729626550.0,-1780924635.0,-695051940.0
20,Lãi/(lỗ) thuần sau thuế,7624708235.0,5669003207.0,4103912065.0,4340852360.0,3063712642.0,5630974264.0,5032989948.0,2918137630.0,7124114809.0,2701823990.0
21,Lợi ích của cổ đông thiểu số,126080045.0,63386817.0,40431848.0,-741224.0,80413433.0,38472261.0,37587604.0,-128998.0,83403873.0,44685451.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,7498628190.0,5605616390.0,4063480217.0,4341593584.0,2983299209.0,5592502003.0,4995402344.0,2918266628.0,7040710936.0,2657138539.0
23,Lãi cơ bản trên cổ phiếu,572.0,428.0,310.0,331.0,228.0,427.0,381.0,223.0,537.0,203.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
