,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,1787299412537.0,2769267245867.0,2255503033848.0,2960463015992.0,2195365958836.0,1147081921292.0,1108269404228.0,761665090488.0,873627989784.0,1073192908035.0
1,Các khoản giảm trừ,-11648860906.0,-6867422389.0,-10002763104.0,-174340359461.0,-17710637515.0,-10781858131.0,-1047161151.0,-11140015001.0,-3232902029.0,-31553283.0
2,Doanh số thuần,1775650551631.0,2762399823478.0,2245500270744.0,2786122656531.0,2177655321321.0,1136300063161.0,1107222243077.0,750525075487.0,870395087755.0,1073161354752.0
3,Giá vốn hàng bán,-1692727696647.0,-2339242788505.0,-1921992032569.0,-1998936509192.0,-1545476259810.0,-824462250808.0,-764741055727.0,-665347885882.0,-590367689340.0,-683110742799.0
4,Lãi gộp,82922854984.0,423157034973.0,323508238175.0,787186147339.0,632179061511.0,311837812353.0,342481187350.0,85177189605.0,280027398415.0,390050611953.0
5,Thu nhập tài chính,5160184057.0,10974591046.0,12313032410.0,36847213522.0,37944883607.0,99074434595.0,104740431744.0,60297693779.0,241366117006.0,368051525761.0
6,Chi phí tài chính,-28898413201.0,-39294597827.0,-105811078777.0,-199195653870.0,-171266076252.0,-142135319720.0,-257193036441.0,-237596645345.0,-308472569866.0,-310849818159.0
7,Trong đó: Chi phí lãi vay,-28006563281.0,-39294597827.0,-105595932479.0,-185782553870.0,-167990860226.0,-139511428686.0,-255849396630.0,-197290779043.0,-308472569866.0,-310148255529.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,-541717414.0,17875722322.0,19077749465.0,11271374650.0,2266015985.0,12859357835.0,-10964515995.0,6164614876.0,12100239680.0
9,Chi phí bán hàng,-772310355.0,-12804325674.0,-13982993663.0,-51636099603.0,-31427906265.0,-33609432018.0,-15021305630.0,-28257825444.0,-63163220097.0,-25096674652.0
10,Chi phí quản lý doanh  nghiệp,-42933199346.0,-42696471247.0,-37901377088.0,-107276061286.0,-109294553354.0,-147091331858.0,-112326415006.0,-121014253343.0,-102738547163.0,-242564882403.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,15479116139.0,338794513857.0,196001543379.0,485003295567.0,369406783897.0,90342179337.0,75540219852.0,-252358356743.0,53183793171.0,191691002180.0
12,Thu nhập khác,3455747483.0,2366096621.0,3182794096.0,6407688808.0,7438913505.0,11482512248.0,4995398468.0,13033880048.0,4554994371.0,2948243119.0
13,Chi phí khác,-3411640901.0,-7068833550.0,-2391373072.0,-1720564168.0,-9319286652.0,-7736984462.0,-7651605240.0,-7699020138.0,-7558278053.0,-3656697661.0
14,"Thu nhập khác, ròng",44106582.0,-4702736929.0,791421024.0,4687124640.0,-1880373147.0,3745527786.0,-2656206772.0,5334859910.0,-3003283682.0,-708454542.0
16,Lãi/(lỗ) ròng trước thuế,15279687141.0,334091776928.0,196792964403.0,489690420207.0,367526410750.0,94087707123.0,72884013080.0,-247023496833.0,50180509489.0,190982547638.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-3512586938.0,-75489307232.0,-35847938201.0,-85762523407.0,-69989630046.0,-28407368914.0,-28221795011.0,3580733940.0,-6027496979.0,-47137025330.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,387366814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-3125220124.0,-75489307232.0,-35847938201.0,-85762523407.0,-69989630046.0,-28407368914.0,-28221795011.0,3580733940.0,-6027496979.0,-47137025330.0
20,Lãi/(lỗ) thuần sau thuế,12154467017.0,258602469696.0,160945026202.0,403927896800.0,297536780704.0,65680338209.0,44662218069.0,-243442762893.0,44153012510.0,143845522308.0
21,Lợi ích của cổ đông thiểu số,-201284834.0,852734410.0,779845854.0,692786647.0,-7294470840.0,-11555542601.0,-8925459503.0,-8381136308.0,-17430783747.0,-719718933.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,12355751851.0,257749735286.0,160165180348.0,403235110153.0,304831251544.0,77235880810.0,53587677572.0,-235061626585.0,61583796257.0,144565241241.0
23,Lãi cơ bản trên cổ phiếu,244.0,3120.0,1295.0,2784.0,1470.0,306.0,212.43,-875.03,226.0,415.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,2784.0,1470.0,306.0,212.43,0.0,0.0,143.0
