,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,162281280356.0,118337358805.0,136149916738.0,221168479548.0,152759256868.0,167692384701.0,209130168755.0,208023760372.0,178712268345.0,160446450979.0
1,Các khoản giảm trừ,-1028785038.0,-827345395.0,-541668094.0,-897125388.0,-1705024908.0,-2005439380.0,-1556568132.0,-558316035.0,-1101831220.0,-2309700284.0
2,Doanh số thuần,161252495318.0,117510013410.0,135608248644.0,220271354160.0,151054231960.0,165686945321.0,207573600623.0,207465444337.0,177610437125.0,158136750695.0
3,Giá vốn hàng bán,-150516577641.0,-110226738805.0,-129248142489.0,-210416344640.0,-144456192785.0,-156499763859.0,-200007699663.0,-193306116048.0,-165319641519.0,-152149457700.0
4,Lãi gộp,10735917677.0,7283274605.0,6360106155.0,9855009520.0,6598039175.0,9187181462.0,7565900960.0,14159328289.0,12290795606.0,5987292995.0
5,Thu nhập tài chính,3630193.0,3077230.0,2461370.0,2356562.0,2455416.0,3118210.0,2834552.0,3882784.0,5975053.0,5162342.0
6,Chi phí tài chính,-1904118200.0,-2320380092.0,-2222883963.0,-2581240660.0,-2455855667.0,-2507415768.0,-2357260537.0,-2459515469.0,-1764162108.0,-1400137551.0
7,Trong đó: Chi phí lãi vay,-1904115109.0,-2320380092.0,-2222881064.0,-2581240660.0,-2455812145.0,-2507415768.0,-2357260537.0,-2459515469.0,-1764162108.0,-1400124780.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-245554693.0,-213687669.0,-241377829.0,-458432099.0,-267866945.0,-40870236.0,-225770015.0,-331647784.0,-215310938.0,-382794102.0
10,Chi phí quản lý doanh  nghiệp,-7536763197.0,-4164289215.0,-3339767422.0,-5543219299.0,-5371038998.0,-8208968255.0,-4483853957.0,-9979884068.0,-9237082829.0,-3937392067.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1053111780.0,587994859.0,558538311.0,1274474024.0,-1494267019.0,-1566954587.0,501851003.0,1392163752.0,1080214784.0,272131617.0
12,Thu nhập khác,3212727.0,138549256.0,0.0,251943563.0,909091.0,2232983502.0,13363636.0,1600000.0,0.0,58889327.0
13,Chi phí khác,-34310058.0,-638528564.0,0.0,-21000000.0,-11427160.0,-18416937.0,-134680.0,0.0,-702988233.0,-651239.0
14,"Thu nhập khác, ròng",-31097331.0,-499979308.0,0.0,230943563.0,-10518069.0,2214566565.0,13228956.0,1600000.0,-702988233.0,58238088.0
16,Lãi/(lỗ) ròng trước thuế,1022014449.0,88015551.0,558538311.0,1505417587.0,-1504785088.0,647611978.0,515079959.0,1393763752.0,377226551.0,330369705.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-223264901.0,-18225041.0,-123707662.0,-317283517.0,286671586.0,-145205783.0,-115015992.0,-292278950.0,-230408426.0,-81792096.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-223264901.0,-18225041.0,-123707662.0,-317283517.0,286671586.0,-145205783.0,-115015992.0,-292278950.0,-230408426.0,-81792096.0
20,Lãi/(lỗ) thuần sau thuế,798749548.0,69790510.0,434830649.0,1188134070.0,-1218113502.0,502406195.0,400063967.0,1101484802.0,146818125.0,248577609.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,798749548.0,69790510.0,434830649.0,1188134070.0,-1218113502.0,502406195.0,400063967.0,1101484802.0,146818125.0,248577609.0
23,Lãi cơ bản trên cổ phiếu,19.0,2.0,10.0,29.0,-29.0,12.0,10.0,26.0,4.0,6.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
