,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,335522484902.0,341966223299.0,333406013949.0,320841863289.0,318703280524.0,313445569899.0,381974188287.0,481475983910.0,482803397108.0,485559739782.0
1,TÀI SẢN NGẮN HẠN,198837797035.0,186119573981.0,153852048023.0,140997025243.0,139230417757.0,206523541231.0,184355497176.0,262312034595.0,260323601941.0,266102232859.0
2,Tiền và tương đương tiền,58279683903.0,69379926418.0,11518799028.0,3985057179.0,2435925356.0,6010642701.0,68985464455.0,64394778050.0,69686633219.0,70861203978.0
3,Tiền,11179683903.0,58779926418.0,11518799028.0,3985057179.0,2435925356.0,6010642701.0,2485464455.0,5394778050.0,2686633219.0,7361203978.0
4,Các khoản tương đương tiền,47100000000.0,10600000000.0,0.0,0.0,0.0,0.0,66500000000.0,59000000000.0,67000000000.0,63500000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,50800000000.0,45800000000.0,45800000000.0,88100000000.0,11600000000.0,600000000.0,600000000.0,600000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,50800000000.0,45800000000.0,45800000000.0,88100000000.0,11600000000.0,600000000.0,600000000.0,600000000.0
9,Các khoản phải thu,42923823786.0,41271877763.0,37607031612.0,37088314048.0,37056906605.0,57665540780.0,52140821097.0,41196109358.0,32850091343.0,37081342196.0
10,Phải thu khách hàng,6514453649.0,6182689372.0,6140511421.0,6021900672.0,6021900672.0,6021900672.0,5837643672.0,5837643672.0,5837643672.0,8733393672.0
11,Trả trước người bán,4974276107.0,4569394818.0,4654070483.0,4471685383.0,4635534983.0,5652374945.0,6006654582.0,4809683727.0,5026917813.0,5293822339.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
