,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q4 2021.1,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,25613214388.0,22719257286.0,21243724358.0,46972154200.0,32308938531.0,32308938531.0,21584840809.0,20864656036.0,37130547369.0,64523102799.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,25613214388.0,22719257286.0,21243724358.0,46972154200.0,32308938531.0,32308938531.0,21584840809.0,20864656036.0,37130547369.0,64523102799.0
3,Giá vốn hàng bán,-8711924388.0,-9485681827.0,-8091406868.0,-10746846056.0,-10597906835.0,-10597906835.0,-7154314256.0,-7552249306.0,-10660108688.0,-37120440143.0
4,Lãi gộp,16901290000.0,13233575459.0,13152317490.0,36225308144.0,21711031696.0,21711031696.0,14430526553.0,13312406730.0,26470438681.0,27402662656.0
5,Thu nhập tài chính,15238060861.0,9305394845.0,20716136800.0,21989776141.0,49564039245.0,49564039245.0,13530957890.0,6378090046.0,12540597251.0,11093659084.0
6,Chi phí tài chính,-1188937324.0,2587799484.0,-425017594.0,602003734.0,-99715954.0,-99715954.0,-551785118.0,-442424486.0,-932168215.0,220556297.0
7,Trong đó: Chi phí lãi vay,-176824546.0,-198799193.0,-163749709.0,-172039443.0,-177088655.0,-177088655.0,-191241849.0,-181156601.0,-175000623.0,-189804636.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,1188639413.0,21466545259.0,33788383846.0,0.0,0.0,3015931464.0,14830169241.0,10168125174.0,0.0
9,Chi phí bán hàng,-67842312.0,-67842312.0,-67842312.0,-413246912.0,-220553345.0,-220553345.0,-85309550.0,-87392084.0,-389794010.0,-239032478.0
10,Chi phí quản lý doanh  nghiệp,-3821298938.0,-919633233.0,-4089840619.0,-4685551687.0,-5140832073.0,-5140832073.0,-3968713352.0,-4770813572.0,-6009270035.0,-4414005321.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,27061272287.0,25327933656.0,50752299024.0,87506673266.0,65813969569.0,65813969569.0,26371607887.0,29220035875.0,41847928846.0,34063840238.0
12,Thu nhập khác,209127571.0,169121584.0,1037458212.0,1044132563.0,238272718.0,238272718.0,212660977.0,277263635.0,352054302.0,316848179.0
13,Chi phí khác,-2712560.0,-2101560.0,0.0,-108193228.0,-1003657753.0,-1003657753.0,53627273.0,0.0,-1830534329.0,-90000000.0
14,"Thu nhập khác, ròng",206415011.0,167020024.0,1037458212.0,935939335.0,-765385035.0,-765385035.0,266288250.0,277263635.0,-1478480027.0,226848179.0
16,Lãi/(lỗ) ròng trước thuế,27267687298.0,25494953680.0,51789757236.0,88442612601.0,65048584534.0,65048584534.0,26637896137.0,29497299510.0,40369448819.0,34290688417.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-3237244845.0,-2418456609.0,-3831249708.0,-3941147117.0,-12088341395.0,-12088341395.0,-4351709815.0,-2566758089.0,-1986660189.0,-6227467642.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-3350803.0,-27745805.0,-8229803.0,16588630.0,27369173.0,27369173.0,-224441570.0,-90409695.0,132624697.0,55265354.0
19,Chi phí thuế thu nhập doanh nghiệp,-3240595648.0,-2446202414.0,-3839479511.0,-3924558487.0,-12060972222.0,-12060972222.0,-4576151385.0,-2657167784.0,-1854035492.0,-6172202288.0
20,Lãi/(lỗ) thuần sau thuế,24027091650.0,23048751266.0,47950277725.0,84518054114.0,52987612312.0,52987612312.0,22061744752.0,26840131726.0,38515413327.0,28118486129.0
21,Lợi ích của cổ đông thiểu số,38740396.0,-110389226.0,-48249367.0,-98721370.0,-54716444.0,-54716444.0,-30127787.0,-46198401.0,-62083226.0,-47971135.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,23988351254.0,23159140492.0,47998527092.0,84616775484.0,53042328756.0,53042328756.0,22091872539.0,26886330127.0,38577496553.0,28166457264.0
23,Lãi cơ bản trên cổ phiếu,1413.0,1410.0,2692.0,4031.0,2520.0,2520.0,1050.0,1064.0,1654.0,1115.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
