,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,653906867231.0,1049170281693.0,701767034129.0,2036791525991.0,992793347653.0,1321704302679.0,1655962759968.0,2162822604544.0,2613093524163.0,1978362545932.0
1,Các khoản giảm trừ,-38754140451.0,-13595430209.0,-15613857248.0,-66236513699.0,-44578842126.0,-75916563562.0,-56147036786.0,-21527078722.0,-11370109555.0,-10240007292.0
2,Doanh số thuần,615152726780.0,1035574851484.0,686153176881.0,1970555012292.0,948214505527.0,1245787739117.0,1599815723182.0,2141295525822.0,2601723414608.0,1968122538640.0
3,Giá vốn hàng bán,-352830532192.0,-641228064136.0,-413046994118.0,-1614902270238.0,-526610104869.0,-777064168301.0,-1062188504642.0,-1478799082559.0,-1610723879908.0,-1159258318408.0
4,Lãi gộp,262322194588.0,394346787348.0,273106182763.0,355652742054.0,421604400658.0,468723570816.0,537627218540.0,662496443263.0,990999534700.0,808864220232.0
5,Thu nhập tài chính,33514865708.0,2366280016.0,3120304388.0,3331576321.0,2969739859.0,5216801998.0,10310514524.0,2618960308.0,7041960845.0,3797489040.0
6,Chi phí tài chính,-46422893781.0,-51487822371.0,-84157569660.0,-116193940262.0,-118815911833.0,-114073655337.0,-98788257449.0,-128787463082.0,-105865988076.0,-82488108376.0
7,Trong đó: Chi phí lãi vay,-29175289243.0,-38400512953.0,-71090537415.0,-77628899984.0,-73422955361.0,-68638002970.0,-56196620478.0,-72794957781.0,-102900730009.0,-76716671276.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-42585679971.0,-40285667853.0,-37250636270.0,-37061467260.0,-34567560276.0,-42808396088.0,-47200799665.0,-38375156310.0,-43961958211.0,-40224609075.0
10,Chi phí quản lý doanh  nghiệp,-19953760382.0,-23056053147.0,-23648143477.0,-48050855127.0,-55386931480.0,-48694130972.0,-58243083114.0,-51981370358.0,-68560849388.0,-63511703060.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,186874726162.0,281883523993.0,131170137744.0,157678055726.0,215803736928.0,268364190417.0,343705592836.0,445971413821.0,779652699870.0,626437288761.0
12,Thu nhập khác,2476779632.0,2431633745.0,16821673019.0,4571612144.0,6918628521.0,22321035526.0,15092678504.0,22768868734.0,18595360585.0,29988997641.0
13,Chi phí khác,-3720930816.0,-5856828374.0,-248905896.0,-1753892974.0,-911989190.0,-8361928328.0,-13835143373.0,-17153268081.0,-15430035573.0,-15921805115.0
14,"Thu nhập khác, ròng",-1244151184.0,-3425194629.0,16572767123.0,2817719170.0,6006639331.0,13959107198.0,1257535131.0,5615600653.0,3165325012.0,14067192526.0
16,Lãi/(lỗ) ròng trước thuế,185630574978.0,278458329364.0,147742904867.0,160495774896.0,221810376259.0,282323297615.0,344963127967.0,451587014474.0,782818024882.0,640504481287.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-24097117976.0,-48013185335.0,-25721765732.0,-32513522479.0,-37482061326.0,-49336901109.0,-60521353737.0,-85923978232.0,-157472370248.0,-129455417260.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4240413660.0,-4240413660.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-24097117976.0,-48013185335.0,-25721765732.0,-32513522479.0,-37482061326.0,-49336901109.0,-60521353737.0,-81683564572.0,-161712783908.0,-129455417260.0
20,Lãi/(lỗ) thuần sau thuế,161533457002.0,230445144029.0,122021139135.0,127982252417.0,184328314933.0,232986396506.0,284441774230.0,369903449902.0,621105240974.0,511049064027.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,161533457002.0,230445144029.0,122021139135.0,127982252417.0,184328314933.0,232986396506.0,284441774230.0,369903449902.0,621105240974.0,511049064027.0
23,Lãi cơ bản trên cổ phiếu,589.0,840.0,418.0,434.0,1104.0,1528.0,1868.0,2543.0,2.0,1914.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,1868.0,2543.0,2.0,1914.0
