,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,6582277921.0,6249175869.0,5444758928.0,6455104443.0,4481544159.0,7838096644.0,6219951122.0,6822298614.0,6843493571.0,7209478155.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,6582277921.0,6249175869.0,5444758928.0,6455104443.0,4481544159.0,7838096644.0,6219951122.0,6822298614.0,6843493571.0,7209478155.0
3,Giá vốn hàng bán,-4244614072.0,-3324020940.0,-3667822769.0,-4025872559.0,-2845152499.0,-4597639129.0,-4285650337.0,-4415764302.0,-4866275009.0,-4312436560.0
4,Lãi gộp,2337663849.0,2925154929.0,1776936159.0,2429231884.0,1636391660.0,3240457515.0,1934300785.0,2406534312.0,1977218562.0,2897041595.0
5,Thu nhập tài chính,13160111.0,8824857.0,8302192.0,4450710.0,14449485.0,14338098.0,19321336.0,24766352.0,24026721.0,31604493.0
6,Chi phí tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-1657444917.0,-2261529865.0,-1083638916.0,-1615459508.0,-1127316813.0,-2008047566.0,-1172957291.0,-1507885105.0,-1337852458.0,-1967077660.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,693379043.0,672449921.0,701599435.0,818223086.0,523524332.0,1246748047.0,780664830.0,923415559.0,663392825.0,961568428.0
12,Thu nhập khác,0.0,41363636.0,11502000.0,0.0,0.0,0.0,0.0,0.0,0.0,45454545.0
13,Chi phí khác,0.0,-6001600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"Thu nhập khác, ròng",0.0,35362036.0,11502000.0,0.0,0.0,0.0,0.0,0.0,0.0,45454545.0
16,Lãi/(lỗ) ròng trước thuế,693379043.0,707811957.0,713101435.0,818223086.0,523524332.0,1246748047.0,780664830.0,923415559.0,663392825.0,1007022973.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-173972545.0,-147202391.0,-166121477.0,-163644617.0,-111304866.0,-258149609.0,-163192966.0,-193683112.0,-132678565.0,-201404595.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-173972545.0,-147202391.0,-166121477.0,-163644617.0,-111304866.0,-258149609.0,-163192966.0,-193683112.0,-132678565.0,-201404595.0
20,Lãi/(lỗ) thuần sau thuế,519406498.0,560609566.0,546979958.0,654578469.0,412219466.0,988598438.0,617471864.0,729732447.0,530714260.0,805618378.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,519406498.0,560609566.0,546979958.0,654578469.0,412219466.0,988598438.0,617471864.0,729732447.0,530714260.0,805618378.0
23,Lãi cơ bản trên cổ phiếu,260.0,280.0,273.0,268.0,206.0,494.0,309.0,365.0,265.0,403.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
