,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,646644426310.0,655053545473.0,627726330828.0,640999975746.0,607154888557.0,648240267653.0,600528631821.0,552355971119.0,570792867081.0,587023492580.0
1,TÀI SẢN NGẮN HẠN,351031367844.0,331063029821.0,300319399551.0,321268997267.0,308830892044.0,364853370685.0,321081150374.0,331125620054.0,358813602132.0,382148575287.0
2,Tiền và tương đương tiền,71878060505.0,52351126408.0,120139128350.0,134692439754.0,5074181643.0,3104086395.0,10416297374.0,6942012073.0,8917780124.0,6367384645.0
3,Tiền,12878170168.0,13850922708.0,6639128350.0,4480912210.0,5074181643.0,3104086395.0,10416297374.0,6942012073.0,8917780124.0,6367384645.0
4,Các khoản tương đương tiền,58999890337.0,38500203700.0,113500000000.0,130211527544.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,71500000000.0,180000000.0,180000000.0,101562597260.0,142062597260.0,122247363488.0,145511428604.0,173324228604.0,168843461481.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,71500000000.0,180000000.0,180000000.0,101562597260.0,142062597260.0,122247363488.0,145511428604.0,173324228604.0,168843461481.0
9,Các khoản phải thu,171753837906.0,127204030985.0,118075309230.0,125014281558.0,117670120416.0,134708387369.0,115137485486.0,116184581289.0,127329988590.0,139281632221.0
10,Phải thu khách hàng,488590113586.0,494656529813.0,486283070742.0,489393938434.0,464850846031.0,473355684051.0,421719452943.0,423718847852.0,418843118292.0,421481334931.0
11,Trả trước người bán,351789357692.0,313690758645.0,316362044654.0,319888640843.0,320310236670.0,322061078005.0,299227391436.0,299725035062.0,309720017479.0,324167860391.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,999242500.0,999242500.0,999242500.0,999242500.0,999242500.0,999242500.0,999242500.0,999242500.0,999242500.0,0.0
15,Phải thu khác,518096436081.0,514689749929.0,517347858191.0,516381994868.0,525821760312.0,532307160624.0,499487466102.0,498715744927.0,501710151112.0,499642653575.0
16,Dự phòng nợ khó đòi,-1187721311953.0,-1196832249902.0,-1202916906857.0,-1201649535087.0,-1194311965097.0,-1194014777811.0,-1106296067495.0,-1106974289052.0,-1103942540793.0,-1106010216676.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",105228192341.0,78281507768.0,60072433902.0,58909349035.0,82289931090.0,81941347791.0,70793520000.0,60169072265.0,47511610701.0,64849850241.0
19,Hàng tồn kho,146688171977.0,138010288191.0,106561988901.0,105197885337.0,116644799577.0,113172886710.0,99814511071.0,89054828613.0,66708876732.0,85526138152.0
20,Dự phòng giảm giá HTK,-41459979636.0,-59728780423.0,-46489554999.0,-46288536302.0,-34354868487.0,-31231538919.0,-29020991071.0,-28885756348.0,-19197266031.0,-20676287911.0
21,Tài sản lưu động khác,2171277092.0,1726364660.0,1852528069.0,2472926920.0,2234061635.0,3036951870.0,2486484026.0,2318525823.0,1729994113.0,2806246699.0
22,Trả trước ngắn hạn,895050299.0,1035977945.0,1407945122.0,2425199969.0,2074659065.0,2547488494.0,2117534152.0,1848705369.0,1301635563.0,1759044048.0
23,Thuế VAT phải thu,1266226793.0,680386715.0,185236708.0,37726951.0,149402570.0,243222896.0,158949874.0,259820454.0,218358550.0,837202651.0
24,Phải thu thuế khác,10000000.0,10000000.0,259346239.0,10000000.0,10000000.0,246240480.0,210000000.0,210000000.0,210000000.0,210000000.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,295613058466.0,323990515652.0,327406931277.0,319730978479.0,298323996513.0,283386896968.0,279447481447.0,221230351065.0,211979264949.0,204874917293.0
28,Phải thu dài hạn,1255204413.0,2199988203.0,46396346785.0,46542200285.0,46005470500.0,45953470500.0,45853470500.0,653470500.0,864470500.0,997280500.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,1255204413.0,2199988203.0,46396346785.0,46542200285.0,46005470500.0,45953470500.0,156603470500.0,111403470500.0,111614470500.0,111747280500.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,-110750000000.0,-110750000000.0,-110750000000.0,-110750000000.0
36,Tài sản cố định,278722406600.0,232817403195.0,214462380511.0,192200296769.0,187553366705.0,170054935061.0,160395373420.0,146873112772.0,140021489005.0,136055897671.0
37,GTCL TSCĐ hữu hình,276028670513.0,230359265773.0,211253531322.0,189269902480.0,184792071976.0,167565500370.0,158067561128.0,144782756213.0,138168588179.0,134277572930.0
