,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,103401492207.0,114322945861.0,103326241536.0,108984941385.0,111587591205.0,105575362713.0,111178946444.0,103960919838.0,132297297912.0,132495117391.0
1,TÀI SẢN NGẮN HẠN,34910615587.0,33060519614.0,39834332104.0,39452693157.0,49606785178.0,40299958278.0,44531692013.0,41006993510.0,53679832612.0,60086875454.0
2,Tiền và tương đương tiền,310003991.0,1367807793.0,497010526.0,3070332656.0,1474239550.0,1422942826.0,12684834754.0,14416975943.0,2261300250.0,10149734901.0
3,Tiền,310003991.0,1367807793.0,497010526.0,3070332656.0,1474239550.0,1422942826.0,4684834754.0,6216975943.0,2261300250.0,5647269148.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,8000000000.0,8200000000.0,0.0,4502465753.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,26230642176.0,23785184633.0,33644418067.0,26452953356.0,35909505876.0,22024410371.0,21037214583.0,21247637234.0,42682631453.0,42604689416.0
10,Phải thu khách hàng,22244982262.0,22261513581.0,27720477858.0,25268625322.0,21915639011.0,16637988086.0,18221216780.0,19642196305.0,41129506961.0,33298972151.0
11,Trả trước người bán,498562234.0,85773628.0,932729846.0,1875427201.0,46431211.0,335008642.0,2744655500.0,1603546431.0,1428013703.0,9186317265.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
