,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,146024158465.0,166257522795.0,128326865376.0,118855353268.0,110064841294.0,102088192304.0,95249618773.0,201898031364.0,243864636346.0,249342990277.0
1,TÀI SẢN NGẮN HẠN,135713688953.0,156016282161.0,118089831676.0,108714546946.0,100221923223.0,92705377890.0,83981875991.0,193099146558.0,235102859833.0,240911736486.0
2,Tiền và tương đương tiền,37047434628.0,39519487447.0,44489359628.0,54013766563.0,58553254283.0,44771868205.0,48549950590.0,23284508659.0,52440149321.0,55330292787.0
3,Tiền,15857400240.0,20659233716.0,11489359628.0,8513766563.0,7803254283.0,3836868205.0,6566865595.0,4999508659.0,29935149321.0,42715292787.0
4,Các khoản tương đương tiền,21190034388.0,18860253731.0,33000000000.0,45500000000.0,50750000000.0,40935000000.0,41983084995.0,18285000000.0,22505000000.0,12615000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,2315000000.0,0.0,0.0,435000000.0,9695000000.0,0.0,22266269476.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,2315000000.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,435000000.0,9695000000.0,0.0,22266269476.0
9,Các khoản phải thu,62925735038.0,112385135394.0,71263571322.0,48849529029.0,37683728195.0,40391236522.0,27178319694.0,47523474327.0,170579153149.0,115032372065.0
10,Phải thu khách hàng,52331562817.0,105752546235.0,60166293380.0,42917450121.0,32055878931.0,31733000514.0,23411498223.0,34612682651.0,164338341329.0,96143556877.0
11,Trả trước người bán,3923647314.0,406286830.0,196747000.0,416149310.0,730942000.0,835844310.0,1105639938.0,1437810776.0,376183100.0,4126890271.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,6670524907.0,6226302329.0,12608959406.0,7458031403.0,6839009069.0,8946636810.0,3785426645.0,12597226012.0,6988873832.0,16367989363.0
16,Dự phòng nợ khó đòi,0.0,0.0,-1708428464.0,-1942101805.0,-1942101805.0,-1124245112.0,-1124245112.0,-1124245112.0,-1124245112.0,-1606064446.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",32920484302.0,3881508529.0,1867906485.0,2468717074.0,3367247569.0,7178580504.0,7109880116.0,111904030364.0,11966890879.0,44847653117.0
19,Hàng tồn kho,40098551455.0,11305129174.0,9291527130.0,9892337719.0,10790868214.0,14602201149.0,14533500761.0,119327651009.0,19390511524.0,52417819254.0
20,Dự phòng giảm giá HTK,-7178067153.0,-7423620645.0,-7423620645.0,-7423620645.0,-7423620645.0,-7423620645.0,-7423620645.0,-7423620645.0,-7423620645.0,-7570166137.0
21,Tài sản lưu động khác,2820034985.0,230150791.0,468994241.0,1067534280.0,617693176.0,363692659.0,708725591.0,692133208.0,116666484.0,3435149041.0
22,Trả trước ngắn hạn,191732240.0,175930681.0,321281513.0,220985083.0,95589370.0,147922155.0,109857740.0,154132639.0,116666484.0,130752651.0
23,Thuế VAT phải thu,2628302745.0,54220110.0,147712728.0,846549197.0,522103806.0,174077967.0,249372479.0,538000569.0,0.0,3304396390.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,41692537.0,349495372.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,10310469512.0,10241240634.0,10237033700.0,10140806322.0,9842918071.0,9382814414.0,11267742782.0,8798884806.0,8761776513.0,8431253791.0
28,Phải thu dài hạn,5000000.0,5000000.0,0.0,48028675.0,0.0,0.0,2086800000.0,5856320.0,5856320.0,125030663.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5856320.0,0.0
34,Phải thu dài hạn khác,5000000.0,5000000.0,0.0,48028675.0,0.0,0.0,2086800000.0,5856320.0,0.0,125030663.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,4482566243.0,4313445009.0,4265454000.0,4354325852.0,4104466276.0,3859181437.0,3613896598.0,3368611759.0,3123326920.0,2890376758.0
37,GTCL TSCĐ hữu hình,4479617898.0,4313445009.0,4265454000.0,4070650552.0,3835109976.0,3604144137.0,3373178298.0,3142212459.0,2911246620.0,2692615458.0
38,Nguyên giá TSCĐ hữu hình,41615428459.0,41750728459.0,41939376459.0,41986776459.0,41986776459.0,41986776459.0,41986776459.0,41986776459.0,40799638865.0,40799638865.0
39,Khấu hao lũy kế TSCĐ hữu hình,-37135810561.0,-37437283450.0,-37673922459.0,-37916125907.0,-38151666483.0,-38382632322.0,-38613598161.0,-38844564000.0,-37888392245.0,-38107023407.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,2948345.0,0.0,0.0,283675300.0,269356300.0,255037300.0,240718300.0,226399300.0,212080300.0,197761300.0
44,Nguyên giá TSCĐ vô hình,625505959.0,625505959.0,625505959.0,911885959.0,911885959.0,911885959.0,911885959.0,911885959.0,911885959.0,911885959.0
45,Khấu hao lũy kế TSCĐ vô hình,-622557614.0,-625505959.0,-625505959.0,-628210659.0,-642529659.0,-656848659.0,-671167659.0,-685486659.0,-699805659.0,-714124659.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,228720000.0,228720000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,922903269.0,794075625.0,842859700.0,838451795.0,838451795.0,623632977.0,667046184.0,524416727.0,732593273.0,515846370.0
59,Trả trước dài hạn,922903269.0,794075625.0,842859700.0,838451795.0,838451795.0,623632977.0,667046184.0,524416727.0,732593273.0,515846370.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,80158769298.0,97940843171.0,58781812075.0,53407281391.0,45460044170.0,35417893801.0,27307534924.0,135668297174.0,171801373326.0,176537194473.0
