,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,8134538535686.0,8345082849996.0,9146107147663.0,9745765187901.0,10138422274337.0,11230996787630.0,11284743231474.0,11066704326405.0,10961415729516.0,10447701677228.0
1,TÀI SẢN NGẮN HẠN,2785762942924.0,2709811565925.0,3505342584508.0,3808898100424.0,4254952556065.0,5042618900577.0,5380993626187.0,5253276404401.0,4880411321156.0,4177009876016.0
2,Tiền và tương đương tiền,205710070309.0,238608527010.0,346299627190.0,308160336097.0,180310700702.0,194941462127.0,414234877107.0,233776861823.0,298604352978.0,362018859482.0
3,Tiền,182110070309.0,225227736467.0,294316305594.0,291476595410.0,158520516736.0,171150490085.0,388840975669.0,186729096407.0,251556587562.0,310760872080.0
4,Các khoản tương đương tiền,23600000000.0,13380790543.0,51983321596.0,16683740687.0,21790183966.0,23790972042.0,25393901438.0,47047765416.0,47047765416.0,51257987402.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,70000000000.0,50000000000.0,25000000000.0,15000000000.0,35000000000.0,25000000000.0,10000000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,70000000000.0,50000000000.0,25000000000.0,15000000000.0,35000000000.0,25000000000.0,10000000000.0
9,Các khoản phải thu,500607071295.0,507427689744.0,824230317854.0,886331447662.0,810628904243.0,396239996948.0,342596157701.0,231195553311.0,415837467451.0,783820160511.0
10,Phải thu khách hàng,209105176507.0,295324073098.0,653647314784.0,767444632468.0,620561255265.0,245065396035.0,164648103862.0,128568115474.0,293578306521.0,687207528328.0
11,Trả trước người bán,250915106592.0,105807997318.0,138699787995.0,56002815116.0,62522682844.0,31618913440.0,46509849959.0,54724893930.0,62287240694.0,54633261247.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,48836571011.0,114574642064.0,40222635878.0,71207845881.0,135777152594.0,127721768833.0,138681464885.0,57844369391.0,69913745720.0,51812990420.0
16,Dự phòng nợ khó đòi,-8416782815.0,-8339420803.0,-8339420803.0,-8323845803.0,-8232186460.0,-8166081360.0,-7243261005.0,-9941825484.0,-9941825484.0,-9833619484.0
17,Tài sản thiếu chờ xử lý,167000000.0,60398067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",1826116654271.0,1626153051379.0,2035384446748.0,2263574218686.0,2918892477644.0,3926933963363.0,4122348113565.0,4374430530024.0,3891649943878.0,2833481088216.0
19,Hàng tồn kho,1833792448027.0,1630915358690.0,2040146754175.0,2268336526113.0,2923654785071.0,3932824849755.0,4123823033842.0,4390412450301.0,3916631864155.0,2870971965683.0
20,Dự phòng giảm giá HTK,-7675793756.0,-4762307311.0,-4762307427.0,-4762307427.0,-4762307427.0,-5890886392.0,-1474920277.0,-15981920277.0,-24981920277.0,-37490877467.0
21,Tài sản lưu động khác,253329147049.0,337622297792.0,299428192716.0,280832097979.0,295120473476.0,499503478139.0,486814477814.0,378873459243.0,249319556849.0,187689767807.0
22,Trả trước ngắn hạn,121133302889.0,218254260384.0,176335640224.0,161126674968.0,148644652556.0,269762658767.0,306907968933.0,239281009975.0,159910041809.0,162263808857.0
23,Thuế VAT phải thu,129591756469.0,119157329989.0,122627755105.0,118698888418.0,145334023553.0,226860933001.0,177135714330.0,132262534522.0,82187043073.0,20360516130.0
24,Phải thu thuế khác,2604087691.0,210707419.0,464797387.0,1006534593.0,1141797367.0,2879886371.0,2770794551.0,7329914746.0,7222471967.0,5065442820.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,5348775592762.0,5635271284071.0,5640764563155.0,5936867087477.0,5883469718272.0,6188377887053.0,5903749605287.0,5813427922004.0,6081004408360.0,6270691801212.0
28,Phải thu dài hạn,55672045462.0,58819485462.0,62217086083.0,63688431863.0,65672744255.0,66479773742.0,70824531414.0,73224640504.0,80224640504.0,73224640504.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,55672045462.0,58819485462.0,62217086083.0,63688431863.0,65672744255.0,66479773742.0,70824531414.0,73224640504.0,80224640504.0,73224640504.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,3064812932460.0,3043371445627.0,2925185185681.0,2820392320474.0,4282576901488.0,5155045481810.0,4928950367797.0,4701898457133.0,4450222604234.0,5193757244344.0
37,GTCL TSCĐ hữu hình,2957811270314.0,2946226254117.0,2840827609472.0,2748889698566.0,4223865936046.0,5107107620090.0,4889267233842.0,4671661526352.0,4429080503021.0,5160340520776.0
38,Nguyên giá TSCĐ hữu hình,6670757304588.0,6783727153372.0,6795701023109.0,6826230986441.0,8432014221090.0,9530224656273.0,9557905184249.0,9584817237368.0,9587005560930.0,10263113294933.0
39,Khấu hao lũy kế TSCĐ hữu hình,-3712946034274.0,-3837500899255.0,-3954873413637.0,-4077341287875.0,-4208148285044.0,-4423117036183.0,-4668637950407.0,-4913155711016.0,-5157925057909.0,-5102772774157.0
40,GTCL Tài sản thuê tài chính,92807459835.0,80443008909.0,68078557983.0,55714107057.0,44110006355.0,33777791723.0,25963953044.0,16943222293.0,8026614251.0,20755167362.0
41,Nguyên giá tài sản thuê tài chính,144955688355.0,144955688355.0,144955688355.0,144955688355.0,144955688355.0,144955688355.0,147665917445.0,149257735626.0,149257735626.0,149257735626.0
42,Khấu hao lũy kế tài sản thuê tài chính,-52148228520.0,-64512679446.0,-76877130372.0,-89241581298.0,-100845682000.0,-111177896632.0,-121701964401.0,-132314513333.0,-141231121375.0,-128502568264.0
43,GTCL tài sản cố định vô hình,14194202311.0,16702182601.0,16279018226.0,15788514851.0,14600959087.0,14160069997.0,13719180911.0,13293708488.0,13115486962.0,12661556206.0
44,Nguyên giá TSCĐ vô hình,17876546992.0,20930995992.0,20998334992.0,20998334992.0,19718334992.0,19718334992.0,19718334992.0,19718334992.0,20059834992.0,20059834992.0
45,Khấu hao lũy kế TSCĐ vô hình,-3682344681.0,-4228813391.0,-4719316766.0,-5209820141.0,-5117375905.0,-5558264995.0,-5999154081.0,-6424626504.0,-6944348030.0,-7398278786.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,1789483779234.0,2103036274551.0,2246611995592.0,2639522067805.0,1141704688388.0,448516982781.0,539356531975.0,661225518677.0,1121630800884.0,542845580342.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,42329083030.0,42329083030.0,42224083030.0,42224083030.0,42224083030.0,42224083030.0,42224083030.0,42224083030.0,42224083030.0,42224083030.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,11754473958.0,11754473958.0,11754473958.0,11754473958.0,11754473958.0,11754473958.0,11754473958.0,11754473958.0,11754473958.0,11754473958.0
55,Đầu tư dài hạn khác,35543345640.0,35543345640.0,35438345640.0,35438345640.0,35438345640.0,35438345640.0,35438345640.0,35438345640.0,35438345640.0,35438345640.0
56,Dự phòng giảm giá đầu tư dài hạn,-4968736568.0,-4968736568.0,-4968736568.0,-4968736568.0,-4968736568.0,-4968736568.0,-4968736568.0,-4968736568.0,-4968736568.0,-4968736568.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,396477752576.0,387714995401.0,364526212769.0,371040184305.0,351291301111.0,476111565690.0,322394091071.0,334855222660.0,386702279708.0,418640252992.0
59,Trả trước dài hạn,396423311657.0,387660554482.0,364372332260.0,368933023749.0,349235542661.0,474107209347.0,320441136834.0,333107551039.0,385006010193.0,416995385584.0
60,Thuế thu nhập hoãn lại phải thu,54440919.0,54440919.0,153880509.0,2107160556.0,2055758450.0,2004356343.0,1952954237.0,1747671621.0,1696269515.0,1644867408.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,5781510057517.0,5816824258696.0,6529263370731.0,6984289734660.0,7202625905075.0,8046675611327.0,7892984103803.0,7899332727628.0,7922985466189.0,7482664771387.0
65,Nợ ngắn hạn,3524331251249.0,3678261963508.0,4116917743853.0,4399738328476.0,4655433494415.0,5818173106176.0,5481553249043.0,5249595031061.0,5287529416517.0,4753926880194.0
66,Phải trả người bán,752047530431.0,903533642604.0,862738575989.0,1077165946158.0,1278438219566.0,2130822939624.0,1408027725909.0,1440674485377.0,1901505030079.0,1930611098480.0
