,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,164322774291.0,139801610245.0,154171385036.0,167727390024.0,390056885786.0,342079888694.0,316959045201.0,411897187512.0,414282871092.0,456395796056.0
1,TÀI SẢN NGẮN HẠN,116815640493.0,96972077448.0,109163165001.0,105101405148.0,220058951432.0,103326021864.0,67018575280.0,178751807398.0,193961383055.0,252740786041.0
2,Tiền và tương đương tiền,28395571566.0,13120211415.0,57794457864.0,560928828.0,16820127292.0,7324625061.0,2037779729.0,11394819528.0,13051799627.0,36183337295.0
3,Tiền,7395571566.0,1120211415.0,1894457864.0,560928828.0,16820127292.0,7324625061.0,2037779729.0,11394819528.0,13051799627.0,36183337295.0
4,Các khoản tương đương tiền,21000000000.0,12000000000.0,55900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,3350000000.0,3170000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,3350000000.0,3170000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,26572379102.0,22920728312.0,41811876150.0,80350289024.0,186574239781.0,63635627910.0,24860199129.0,132186306163.0,140667432243.0,155318031280.0
10,Phải thu khách hàng,450100000.0,4147077000.0,30630920000.0,33337500000.0,44599200000.0,40880568000.0,13339810031.0,94002335800.0,110196490000.0,122863262500.0
11,Trả trước người bán,27531759651.0,17717341225.0,12605079290.0,47405609578.0,140941267480.0,22153577837.0,10352661507.0,34415933807.0,25116296483.0,31025612084.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,3140000000.0,3140000000.0,3140000000.0,3140000000.0,3140000000.0,3140000000.0,3140000000.0,3140000000.0
15,Phải thu khác,781477703.0,2145428514.0,1680431495.0,568298592.0,2117950596.0,1179402126.0,1690422713.0,4311882466.0,5848317377.0,1925577600.0
16,Dự phòng nợ khó đòi,-2190958252.0,-1089118427.0,-6244554635.0,-4101119146.0,-4224178295.0,-3717920053.0,-3662695122.0,-3683845910.0,-3633671617.0,-3636420904.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",58426099025.0,57564712835.0,9505712657.0,23115381324.0,7519559071.0,21407094715.0,35989850165.0,28729336687.0,34766690095.0,61143574072.0
19,Hàng tồn kho,58426099025.0,57564712835.0,9505712657.0,23115381324.0,7519559071.0,21407094715.0,35989850165.0,28729336687.0,34766690095.0,61459604454.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-316030382.0
21,Tài sản lưu động khác,71590800.0,196424886.0,51118330.0,1074805972.0,9145025288.0,10958674178.0,4130746257.0,6441345020.0,5475461090.0,95843394.0
22,Trả trước ngắn hạn,0.0,0.0,0.0,67399108.0,2006493641.0,5041597416.0,2928601820.0,6441345020.0,5475461090.0,95843394.0
23,Thuế VAT phải thu,0.0,0.0,0.0,1004963296.0,7137597257.0,5887890597.0,1195491396.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,167938172.0,51118330.0,2443568.0,934390.0,29186165.0,6653041.0,0.0,0.0,0.0
