,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,167630465257.0,215291851644.0,639869886050.0,230879873303.0,335761831835.0,258138316790.0,256881276805.0,116784692407.0,166677481375.0,173462585618.0
1,Các khoản giảm trừ,0.0,0.0,0.0,-4060335918.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,167630465257.0,215291851644.0,639869886050.0,226819537385.0,335761831835.0,258138316790.0,256881276805.0,116784692407.0,166677481375.0,173462585618.0
3,Giá vốn hàng bán,-159354013848.0,-182054521125.0,-598764339306.0,-175813909199.0,-216682778884.0,-114136020658.0,-130432313761.0,-68605171333.0,-91772784434.0,-75458466178.0
4,Lãi gộp,8276451409.0,33237330519.0,41105546744.0,51005628186.0,119079052951.0,144002296132.0,126448963044.0,48179521074.0,74904696941.0,98004119440.0
5,Thu nhập tài chính,162116618.0,34836620.0,2211199341.0,25844422.0,10698923.0,368959588.0,17183958724.0,17588140395.0,397555490313.0,11635677951.0
6,Chi phí tài chính,-496852951.0,-1992991198.0,-4483168248.0,-2609791562.0,-2779515418.0,-729526294.0,-826163019.0,-375906842.0,-10649009478.0,-45154025805.0
7,Trong đó: Chi phí lãi vay,-496852951.0,-1992991198.0,-4483168248.0,-2609791562.0,-2779515418.0,-729526294.0,-826163019.0,-375906842.0,-6519835616.0,-1394437038.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-999106752.0,-2951300091.0,-4309144210.0,-5833264001.0,-21119687297.0,-23553829041.0,-29374153820.0,-15288949047.0,-21572606391.0,-26610971213.0
10,Chi phí quản lý doanh  nghiệp,-2598984999.0,-4096695168.0,-8469373833.0,-8516911649.0,-14999523956.0,-7542855665.0,-13589664809.0,-9467661604.0,-7190157538.0,-7019132060.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,4343623325.0,24231180682.0,26055059794.0,34071505396.0,80191025203.0,112545044720.0,99842940120.0,40635143976.0,433048413847.0,30855668313.0
12,Thu nhập khác,182727275.0,0.0,150000000.0,2288155215.0,0.0,268791727.0,168000000.0,337702364.0,376777890.0,800574353.0
13,Chi phí khác,0.0,0.0,-31381000.0,-2557475147.0,0.0,-249204527.0,-5683947.0,-102915564.0,-767786649.0,-5814963.0
14,"Thu nhập khác, ròng",182727275.0,0.0,118619000.0,-269319932.0,0.0,19587200.0,162316053.0,234786800.0,-391008759.0,794759390.0
16,Lãi/(lỗ) ròng trước thuế,4526350600.0,24231180682.0,26173678794.0,33802185464.0,80191025203.0,112564631920.0,100005256173.0,40869930776.0,432657405088.0,31650427703.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-1326381461.0,-4251004211.0,-5569386303.0,-8161695185.0,-13749310061.0,-30943739223.0,-11962808374.0,-7777813112.0,-60995919308.0,-8120538458.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,194793811.0,-1079855539.0,-195726852.0,1305206548.0,-3430791921.0,8380971932.0,-8067139650.0,2011094624.0,286390566.0,-4541188458.0
19,Chi phí thuế thu nhập doanh nghiệp,-1131587650.0,-5330859750.0,-5765113155.0,-6856488637.0,-17180101982.0,-22562767291.0,-20029948024.0,-5766718488.0,-60709528742.0,-12661726916.0
20,Lãi/(lỗ) thuần sau thuế,3394762950.0,18900320932.0,20408565639.0,26945696827.0,63010923221.0,90001864629.0,79975308149.0,35103212288.0,371947876346.0,18988700787.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,68062591.0,132609385.0,230958496.0,157265930924.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,3394762950.0,18900320932.0,20408565639.0,26945696827.0,63010923221.0,89933802038.0,79842698764.0,34872253792.0,214681945422.0,18988700787.0
23,Lãi cơ bản trên cổ phiếu,1179.0,6563.0,5626.0,6048.0,7311.0,8499.0,4455.0,1544.0,8.0,585.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,8499.0,0.0,0.0,0.0,0.0
