,Unnamed: 0,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,2319590920.0,125114024623.0,-23515889385.0,-6050951793.0,-17066570946.0,-5829859800.0,9011918948.0,4944903436.0,-23513681684.0,6472660836.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,167972065.0,-103739325.0,74762089.0,1582484.0,2582152.0,184756.0,135051.0,1845166.0,27447959994.0,1089320.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,-109636364.0,-428700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,261800000.0,0.0,403090600.0,0.0,0.0,0.0,0.0,0.0,20698000000.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,-93827935.0,5897039.0,100371489.0,1582484.0,2582152.0,184756.0,135051.0,1845166.0,6749959994.0,1089320.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-2394539908.0,-120169681005.0,18521978542.0,3737727801.0,13615852909.0,5075854434.0,1317790000.0,-1430406500.0,-5247514578.0,-1021655900.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,138015047445.0,84328260926.0,21656491565.0,6100000000.0,24007114704.0,5875854434.0,1317790000.0,1169593500.0,13978711777.0,5655344100.0
33,Tiển trả các khoản đi vay,-140268277172.0,-204497941931.0,-3134513023.0,-2362272199.0,-10391261795.0,-800000000.0,0.0,-2600000000.0,-19226226355.0,-6677000000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,-141310181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,93023077.0,4840604293.0,-4919148754.0,-2311641508.0,-3448135885.0,-753820610.0,10329843999.0,3516342102.0,-1313236268.0,5452094256.0
38,Tiền và tương đương tiền đầu kỳ,7580853832.0,7673876909.0,12514481202.0,7596623304.0,5284981796.0,1836845911.0,1083025301.0,7596623304.0,6655483707.0,5342247439.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,1290856.0,0.0,0.0,0.0,-384941.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,7673876909.0,12514481202.0,7596623304.0,5284981796.0,1836845911.0,1083025301.0,11412484359.0,11112965406.0,5342247439.0,10794341695.0
