,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,300508782257.0,25589772469.0,4791188646.0,20307614953.0,9232803863.0,3341617390.0,8795759174.0,2248928101.0,363020000.0,25594198866.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,300508782257.0,25589772469.0,4791188646.0,20307614953.0,9232803863.0,3341617390.0,8795759174.0,2248928101.0,363020000.0,25594198866.0
3,Giá vốn hàng bán,-291044571133.0,-21425917805.0,-2120706116.0,-15513169215.0,-8033090616.0,-2074791352.0,-6528300436.0,-2286989201.0,-45150000.0,-24729521742.0
4,Lãi gộp,9464211124.0,4163854664.0,2670482530.0,4794445738.0,1199713247.0,1266826038.0,2267458738.0,-38061100.0,317870000.0,864677124.0
5,Thu nhập tài chính,5897039.0,3662345.0,1582484.0,2582152.0,184756.0,135051.0,1845166.0,1866606.0,6749959994.0,1180818.0
6,Chi phí tài chính,-7427690248.0,-2392181822.0,-1997843345.0,-3381551218.0,-2805100908.0,-6177112562.0,-1746858208.0,-3394327108.0,-4808881802.0,-3084304150.0
7,Trong đó: Chi phí lãi vay,-7427690248.0,-2346109481.0,-1997843345.0,-3381551218.0,-2805100908.0,-6176727621.0,-1746858208.0,-3394327108.0,-4808881802.0,-3084304150.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-1729543005.0,-1756711334.0,-666379936.0,-1410821419.0,-1000290480.0,-2429892552.0,-621771601.0,-989313615.0,-2627647832.0,-1704253415.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,312874910.0,18623853.0,7841733.0,4655253.0,-2605493385.0,-7340044025.0,-99325905.0,-4419835217.0,-368699640.0,-3922699623.0
12,Thu nhập khác,366446000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Chi phí khác,-565010010.0,-567216.0,0.0,-323374.0,0.0,0.0,0.0,-16505199.0,-63622220.0,-14725963.0
14,"Thu nhập khác, ròng",-198564010.0,-567216.0,0.0,-323374.0,0.0,0.0,0.0,-16505199.0,-63622220.0,-14725963.0
16,Lãi/(lỗ) ròng trước thuế,114310900.0,18056637.0,7841733.0,4331879.0,-2605493385.0,-7340044025.0,-99325905.0,-4436340416.0,-432321860.0,-3937425586.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,114310900.0,18056637.0,7841733.0,4331879.0,-2605493385.0,-7340044025.0,-99325905.0,-4436340416.0,-432321860.0,-3937425586.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,114310900.0,18056637.0,7841733.0,4331879.0,-2605493385.0,-7340044025.0,-99325905.0,-4436340416.0,-432321860.0,-3937425586.0
23,Lãi cơ bản trên cổ phiếu,33.0,5.0,2.0,1.0,-744.0,-2097.0,-28.0,-1268.0,-123.0,-1125.0
24,Lãi trên cổ phiếu pha loãng,33.0,-61.0,0.0,0.0,0.0,0.0,0.0,-1296.0,0.0,0.0
