,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,13478616564.0,19326176062.0,6970444731.0,10433068510.0,389445923.0,14106617740.0,-15392964589.0,-8933571404.0,29077165503.0,-76964131027.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,28621822037.0,29455830914.0,30092022259.0,34598868917.0,31163865201.0,-4575241936.0,6805319544.0,-7434245861.0,22435760877.0,-19565448629.0
2,Lãi trước thuế,24414514273.0,24086048195.0,20565085824.0,22387615123.0,16360158479.0,-19998641455.0,11919629549.0,-25929347431.0,40720740906.0,-38865634456.0
3,Khấu hao TSCĐ,4528101294.0,5021180576.0,7539354561.0,8345014667.0,9369538733.0,10714732937.0,11149946895.0,12218132549.0,11741786856.0,8900138536.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2888509565.0,0.0,4256246295.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,-938448.0,0.0,0.0,0.0,-9652143.0,31866482.0,-4762275.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-323870441.0,-108701492.0,-75278153.0,-92126798.0,-124754490.0,16148006.0,-22247853934.0,-293029877.0,-32236933104.0,-1400441441.0
9,Chi phí lãi vay,3076911.0,458242083.0,1582656110.0,2758365925.0,4358922479.0,4702170719.0,5951730552.0,6444386747.0,2210166219.0,7544242437.0
11,Các khoản điều chỉnh khác,0.0,0.0,480203917.0,1200000000.0,1200000000.0,0.0,0.0,-2758135139.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-9912892399.0,-11070230614.0,-4754159887.0,8489552320.0,3558641053.0,7629742424.0,969752591.0,17952717861.0,12793656918.0,-50317407094.0
13,(Tăng)/giảm hàng tồn kho,-11781723868.0,10192600497.0,-25642250685.0,-34744525680.0,14215549295.0,4651925939.0,17607402355.0,18467273940.0,21578542073.0,-1377547683.0
14,Tăng/(giảm) các khoản phải trả,15272278062.0,-979142633.0,16642019855.0,10796273710.0,-36567726877.0,17063921572.0,-32016116216.0,-39413620539.0,-24596920985.0,15267096139.0
15,( Tăng)/giảm chi phí trả trước,-397644612.0,-2274913402.0,-2413144735.0,641306984.0,-1789678490.0,-3391415346.0,-3271228479.0,4144484468.0,-110662994.0,-4627244875.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6277180000.0
17,Chi phí lãi vay đã trả,-3076911.0,-439823878.0,-1582656110.0,-2758365925.0,-4358922479.0,-4453068019.0,-5702627852.0,-6424052445.0,-2105010386.0,-6608183768.0
18,Thuế thu nhập doanh nghiệp đã trả,-6574938945.0,-5566144822.0,-3539289378.0,-2716611735.0,-2238286650.0,-256606218.0,0.0,3843029890.0,0.0,-3341741729.0
19,Tiền thu khác từ các hoạt động kinh doanh,760000000.0,332000000.0,0.0,55000000.0,353292000.0,769000000.0,928274245.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-2505206800.0,-324000000.0,-1832096588.0,-3928430081.0,-3947287130.0,-3331640676.0,-713740777.0,-69158718.0,-918200000.0,-116473388.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-17480098462.0,-33709949458.0,-16083114416.0,-7518053390.0,-16842683860.0,-12813505358.0,-1371860957.0,2440591860.0,33915505456.0,-10166669133.0
