,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,737946428988.0,709515988291.0,821034245902.0,1832499458383.0,2234593767049.0,2413682369828.0,1772728329523.0,1807954000583.0,1696383701267.0,1638559594849.0
1,TÀI SẢN NGẮN HẠN,371285265142.0,362695308482.0,501063236670.0,1508042215781.0,1901725464335.0,1954360475632.0,1115686708650.0,1099314963539.0,1101671548724.0,1153532779992.0
2,Tiền và tương đương tiền,15427833513.0,5604966296.0,2903963532.0,38743071696.0,96387380638.0,167428715233.0,15663124909.0,65986237029.0,19180922127.0,21497759344.0
3,Tiền,15296793513.0,2841151815.0,2903963532.0,38743071696.0,40524674513.0,25749791123.0,11558572516.0,11881684636.0,19180922127.0,21497759344.0
4,Các khoản tương đương tiền,131040000.0,2763814481.0,0.0,0.0,55862706125.0,141678924110.0,4104552393.0,54104552393.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,22180187910.0,3656844000.0,4979807300.0,5650415800.0,5940565400.0,6140514800.0,4640442200.0,5320423600.0,5321066000.0,5320670000.0
6,Đầu tư ngắn hạn,29136217674.0,5941425325.0,5941425325.0,5941425325.0,5941425325.0,4641425325.0,4641425325.0,5321105325.0,5321105325.0,5321105325.0
7,Dự phòng đầu tư ngắn hạn,-6956029764.0,-2284581325.0,-961618025.0,-291009525.0,-859925.0,-910525.0,-983125.0,-681725.0,-39325.0,-435325.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,1500000000.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,184620058748.0,225449606012.0,204879073335.0,427469602975.0,312367583720.0,538416800697.0,682107478877.0,648850563307.0,713344340492.0,766661019528.0
10,Phải thu khách hàng,163423320043.0,150915621845.0,136710652276.0,213652679013.0,216662635696.0,233447261965.0,374242393538.0,289813890951.0,346108400854.0,330434719748.0
11,Trả trước người bán,14845332090.0,13509357939.0,12149925330.0,182431088318.0,71771725076.0,61989506686.0,14050961428.0,13584840653.0,19805026968.0,7674888741.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
