,Unnamed: 0,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-168588967714.0,140155416961.0,17640809774.0,-19140725955.0,-307956882879.0,126454667593.0,844820797.0,5892350556.0,-222384891.0,-113353148.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,153558849176.0,2141691562.0,7094713111.0,-7463408334.0,376449002587.0,291109.0,175776.0,59893.0,305341637.0,46073.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,36416818.0,-1710082845.0,1710082845.0,-1814382714.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,9310363636.0,1850000000.0,6968181818.0,-6968181818.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,-625000000.0,0.0,-7925549359.0,7925549359.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,121284000000.0,0.0,7866468104.0,-7866468104.0,1300000000.0,0.0,0.0,0.0,1100000000.0,0.0
26,Đầu tư vào các doanh nghiệp khác,-24500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1100000000.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,23000000000.0,0.0,0.0,0.0,375000000000.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,25053068722.0,2001774407.0,-1524470297.0,1260074943.0,149002587.0,291109.0,175776.0,59893.0,305341637.0,46073.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,19857086397.0,-147227900105.0,-23966714150.0,26855302780.0,-66927599447.0,-126582333335.0,-82333335.0,-6632847603.0,-164666670.0,0.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,113007340232.0,6500000000.0,66394328300.0,78488671700.0,15028000000.0,6500000000.0,0.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,-92694033339.0,-153727900105.0,-90361042450.0,-51551035585.0,-81873266112.0,-133000000000.0,0.0,-6715180938.0,-164666670.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,-456220496.0,0.0,0.0,-82333335.0,-82333335.0,-82333335.0,-82333335.0,82333335.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,4826967859.0,-4930791582.0,768808735.0,251168491.0,1564520261.0,-127374633.0,762663238.0,-740437154.0,-81709924.0,-113307075.0
38,Tiền và tương đương tiền đầu kỳ,459119820.0,5320732375.0,389940793.0,1158749528.0,1409918019.0,197266644.0,252870878.0,1015534116.0,275096962.0,193387038.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,5286087679.0,389940793.0,1158749528.0,1409918019.0,2974438280.0,69892011.0,1015534116.0,275096962.0,193387038.0,80079963.0
