,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,36738304833.0,27123097587.0,22001929521.0,23069461453.0,27410773437.0,17147477557.0,17022064984.0,19717050809.0,20797904393.0,24490441902.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,36738304833.0,27123097587.0,22001929521.0,23069461453.0,27410773437.0,17147477557.0,17022064984.0,19717050809.0,20797904393.0,24490441902.0
3,Giá vốn hàng bán,-32118322121.0,-23047120612.0,-21074388646.0,-20383761795.0,-25142145642.0,-18555754566.0,-15380987281.0,-16228847982.0,-17872283878.0,-20421791747.0
4,Lãi gộp,4619982712.0,4075976975.0,927540875.0,2685699658.0,2268627795.0,-1408277009.0,1641077703.0,3488202827.0,2925620515.0,4068650155.0
5,Thu nhập tài chính,385332542.0,840188172.0,69082566.0,250604084.0,222072139.0,65670770.0,412549937.0,622893078.0,18216817069.0,477974414.0
6,Chi phí tài chính,-362644075.0,-174446321.0,-229579402.0,-337339597.0,-83494459.0,0.0,-27026540.0,-1232260314.0,-1238686950.0,-1388105604.0
7,Trong đó: Chi phí lãi vay,-361580529.0,-229344724.0,-229579402.0,-152189561.0,-83494459.0,0.0,-27026540.0,-33705731.0,-28119384.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-135809223.0,-108661039.0,-136425476.0,-115314299.0,-131742589.0,-126010898.0,-122839797.0,-109836390.0,-105220164.0,-36509141.0
10,Chi phí quản lý doanh  nghiệp,-4265219980.0,-3307216766.0,-2716670925.0,-4591364898.0,-2789588028.0,-3777112095.0,-2519813800.0,-6258874085.0,-6061801317.0,-2861711425.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,241641976.0,1325841021.0,-2086052362.0,-2107715052.0,-514125142.0,-5245729232.0,-616052497.0,-3489874884.0,13736729153.0,260298399.0
12,Thu nhập khác,6619302.0,341271109.0,0.0,251412029.0,8517559.0,101464209.0,36332709.0,313240559.0,1173526918.0,1763456025.0
13,Chi phí khác,-852393.0,-85787465.0,0.0,-1556678078.0,0.0,-161823861.0,-45332678.0,-607370192.0,-2357037429.0,-1739398942.0
14,"Thu nhập khác, ròng",5766909.0,255483644.0,0.0,-1305266049.0,8517559.0,-60359652.0,-8999969.0,-294129633.0,-1183510511.0,24057083.0
16,Lãi/(lỗ) ròng trước thuế,247408885.0,1581324665.0,-2086052362.0,-3412981101.0,-505607583.0,-5306088884.0,-625052466.0,-3784004517.0,12553218642.0,284355482.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-176127722.0,502931729.0,-502931729.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,-516878147.0,516878147.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-176127722.0,-13946418.0,13946418.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,247408885.0,1405196943.0,-2099998780.0,-3399034683.0,-505607583.0,-5306088884.0,-625052466.0,-3784004517.0,12553218642.0,284355482.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,247408885.0,1405196943.0,-2099998780.0,-3399034683.0,-505607583.0,-5306088884.0,-625052466.0,-3784004517.0,12553218642.0,284355482.0
23,Lãi cơ bản trên cổ phiếu,0.0,93.0,0.0,0.0,-33.0,0.0,0.0,-291.0,829.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-291.0,0.0,0.0
