,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-11368623000000.0,30312278000000.0,-16778610000000.0,-1798998000000.0,15858210000000.0,7187696000000.0,-8855749000000.0,10547728000000.0,-22193036000000.0,22377386000000.0
1,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập DN,-11324763000000.0,30466443000000.0,-16748174000000.0,-1675353000000.0,16061107000000.0,7250063000000.0,0.0,10581269000000.0,-22167343000000.0,22411790000000.0
2,Lãi/lỗ trước những thay đổi vốn lưu động,3138971000000.0,3783260000000.0,5172930000000.0,5930590000000.0,4749747000000.0,5376305000000.0,0.0,6679163000000.0,7351434000000.0,8531553000000.0
3,Thu nhập lãi và các khoản tương đương,7687026000000.0,9047655000000.0,8798904000000.0,9092192000000.0,9323237000000.0,10433877000000.0,11223042000000.0,12187347000000.0,12384757000000.0,15007090000000.0
4,Chi phí lãi và các khoản tương đương,-3351900000000.0,-2875991000000.0,-3168852000000.0,-2842436000000.0,-2905658000000.0,-3136117000000.0,-3008713000000.0,-3319645000000.0,-3434621000000.0,-4663946000000.0
5,Thu nhập từ hoạt động dịch vụ nhận được,795715000000.0,1090040000000.0,1065966000000.0,1029589000000.0,926389000000.0,1345434000000.0,1117114000000.0,1010449000000.0,784297000000.0,1223708000000.0
7,Thu nhập từ hoạt động kinh doanh chứng khoán,0.0,0.0,0.0,704510000000.0,0.0,668661000000.0,1774931000000.0,458670000000.0,583221000000.0,414605000000.0
8,Thu nhập khác,81798000000.0,-151257000000.0,109363000000.0,135741000000.0,90001000000.0,221982000000.0,189472000000.0,80192000000.0,174305000000.0,47375000000.0
9,"Tiền thu các khoản nợ đã được xử lý, xóa, bù đắp bằng nguồn rủi ro",343629000000.0,621889000000.0,1107053000000.0,507146000000.0,393465000000.0,681702000000.0,348489000000.0,485585000000.0,410224000000.0,403968000000.0
10,Thanh toán cho nhân viên và nhà cung cấp,-2328232000000.0,-3188857000000.0,-3188233000000.0,-2606429000000.0,-2899817000000.0,-3420026000000.0,-4198747000000.0,-3047081000000.0,-3473903000000.0,-3708315000000.0
11,Tiền chi nộp thuế thu nhập doanh nghiệp,-444567000000.0,-1073138000000.0,-548258000000.0,-89723000000.0,-905674000000.0,-1419208000000.0,-907633000000.0,-1176354000000.0,-76846000000.0,-192932000000.0
12,Tiền gửi tại NHNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,(Tăng)/Giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,-2054094000000.0,3330994000000.0,-2838019000000.0,1994755000000.0,-1457512000000.0,-3650699000000.0,-102225000000.0,6474255000000.0,-542931000000.0,-2022054000000.0
14,(Tăng)/giảm các khoản về kinh doanh chứng khoán,-5642457000000.0,-7875674000000.0,468911000000.0,-11898357000000.0,-9180130000000.0,-12950462000000.0,-5370278000000.0,1668391000000.0,-9125799000000.0,-14449664000000.0
15,(Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,0.0,-37106000000.0,37106000000.0,-88496000000.0,-131275000000.0,-54523000000.0,-7884000000.0,128533000000.0,-63040000000.0,147182000000.0
16,(Tăng)/Giảm các khoản cho vay khách hàng,-7257379000000.0,-29655091000000.0,-27456213000000.0,-5418867000000.0,-5258409000000.0,-27127891000000.0,-51994695000000.0,92534000000.0,-10775699000000.0,-35358157000000.0
17,"(Tăng)/Giảm lãi, phí phải thu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Tăng/(Giảm) nguồn dự phòng để bù đắp tổn thất các khoản,-417008000000.0,-2571420000000.0,-814867000000.0,-1789099000000.0,-354517000000.0,-624196000000.0,-544102000000.0,-567817000000.0,-2762656000000.0,-631849000000.0
19,(Tăng)/Giảm khác về tài sản hoạt động,-2139082000000.0,-3095960000000.0,-3973916000000.0,948666000000.0,-1857464000000.0,-2391029000000.0,5201918000000.0,-5815348000000.0,2028076000000.0,-6036000000.0
20,Tăng/(Giảm) các khoản nợ chính phủ và NHNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-237873000000.0,-1352000000.0,8732000000.0
21,Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,-12425486000000.0,2861579000000.0,-5738086000000.0,-4796994000000.0,25574804000000.0,-6355812000000.0,26841697000000.0,-23631138000000.0,401053000000.0,1944783000000.0
22,Tăng/(Giảm) tiền gửi của khách hàng,11813059000000.0,41759810000000.0,17044045000000.0,15501672000000.0,469957000000.0,40963025000000.0,5547656000000.0,6669982000000.0,-19764559000000.0,66460404000000.0
23,Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,-24462000000.0,-112356000000.0,127008000000.0,-127008000000.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác",-25745000000.0,-24137000000.0,476468000000.0,596098000000.0,420826000000.0,297970000000.0,-301630000000.0,253708000000.0,281470000000.0,-229529000000.0
25,Tăng/(Giảm) phát hành giấy tờ có giá,1716213000000.0,15905159000000.0,-694039000000.0,1844229000000.0,2243547000000.0,12569624000000.0,5149634000000.0,17799887000000.0,10016718000000.0,-5395038000000.0
26,"Tăng/(Giảm) lãi, phí phải trả",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tăng/(Giảm) khác về công nợ hoạt động,1992707000000.0,6197385000000.0,1440498000000.0,-4372542000000.0,841533000000.0,1197751000000.0,328153000000.0,1066992000000.0,789942000000.0,3411463000000.0
28,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Chi từ các quỹ của TCTD,-43860000000.0,-154165000000.0,-30436000000.0,-123645000000.0,-202897000000.0,-62367000000.0,-141948000000.0,-33541000000.0,-25693000000.0,-34404000000.0
30,Thu được từ nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Lưu chuyển tiền thuần từ hoạt động đầu tư,-205395000000.0,-51678000000.0,-261149000000.0,-238303000000.0,-222063000000.0,-402366000000.0,-141450000000.0,66474000000.0,-311517000000.0,-1056675000000.0
32,Tiền mua tài sản cố định và các tài sản dài hạn khác,-226260000000.0,-30955000000.0,-295131000000.0,-278120000000.0,-238132000000.0,-448485000000.0,-192093000000.0,-276421000000.0,-317591000000.0,-962001000000.0
33,Tiền thu được từ thanh lý tài sản cố định,3997000000.0,648000000.0,519000000.0,135000000.0,2907000000.0,4300000000.0,27000000.0,914000000.0,962000000.0,145000000.0
34,"Tiền chi từ thanh lý, nhượng bán TSCĐ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Mua sắm Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"Tiền thu từ bán, thanh lý bất động sản đầu tư",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"Tiền chi ra do bán, thanh lý bất động sản đầu tư",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Đầu tư vào các doanh nghiệp khác,3000000.0,7221000000.0,2607000000.0,-12220000000.0,9613000000.0,0.0,49190000000.0,-49304000000.0,114000000.0,0.0
39,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,595000000.0,-35338000000.0,0.0,18830000000.0,-9751000000.0,4212000000.0,0.0,271040000000.0,-117000000.0,-99974000000.0
40,Cổ tức và tiền lãi nhận được,16270000000.0,6746000000.0,30856000000.0,33072000000.0,13300000000.0,37607000000.0,1426000000.0,120245000000.0,5115000000.0,5155000000.0
41,Lưu chuyển tiền từ hoạt động tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1790000000000.0,130000000000.0,200000000000.0
42,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1790000000000.0,130000000000.0,200000000000.0
44,Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Tiền chi ra mua cổ phiếu quỹ,0.0,573062000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Tiền thu được do bán cổ phiếu quỹ,0.0,-573062000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Lưu chuyển tiền thuần trong kỳ,-11574018000000.0,30260600000000.0,-17039759000000.0,-2037301000000.0,15636147000000.0,6785330000000.0,-8997199000000.0,12404202000000.0,-22374553000000.0,21520711000000.0
49,Tiền và tương đương tiền đầu kỳ,43639752000000.0,32065734000000.0,62326334000000.0,45286575000000.0,43249274000000.0,58885421000000.0,65670751000000.0,56673552000000.0,69077754000000.0,46703201000000.0
50,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Tiền và tương đương tiền cuối kỳ,32065734000000.0,62326334000000.0,45286575000000.0,43249274000000.0,58885421000000.0,65670751000000.0,56673552000000.0,69077754000000.0,46703201000000.0,68223912000000.0
