,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,173000964553.0,158149843425.0,316483243047.0,304902792017.0,260597559482.0,228781412010.0,292089636311.0,248279377806.0,220220457052.0,193726321330.0
1,TÀI SẢN NGẮN HẠN,123181963219.0,108538503715.0,265441778625.0,254532683716.0,212087190210.0,182286245160.0,247117499036.0,205137115125.0,179016215622.0,154274114866.0
2,Tiền và tương đương tiền,19361056803.0,7876565088.0,1891199619.0,1438930444.0,5016505045.0,5216580817.0,2929019088.0,2161764845.0,2175522436.0,4971803256.0
3,Tiền,3811883882.0,7876565088.0,1891199619.0,888930444.0,5016505045.0,5216580817.0,2929019088.0,2161764845.0,2175522436.0,4971803256.0
4,Các khoản tương đương tiền,15549172921.0,0.0,0.0,550000000.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,29728168587.0,34705465265.0,36129699993.0,32571012840.0,32749405559.0,42119637864.0,50097579912.0,28058522541.0,28261220846.0,36291291617.0
10,Phải thu khách hàng,30422678568.0,35636001193.0,36044962440.0,32004690191.0,33408433665.0,42875185397.0,47864588200.0,29742314712.0,29611029446.0,35533097117.0
11,Trả trước người bán,7574071500.0,16021800.0,1049300000.0,54925000.0,9925000.0,264925000.0,108575000.0,19000000.0,114128000.0,423525000.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,309905194.0,371359272.0,353354553.0,1438526649.0,258175894.0,874867917.0,4009757162.0,177548279.0,255298850.0,2063908000.0
