,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,327346731492.0,195845314675.0,155105374042.0,168609411123.0,148954109117.0,175125519397.0,181107240377.0,158149843425.0,228781412010.0,193726321330.0
1,TÀI SẢN NGẮN HẠN,291571290393.0,157420925718.0,112027281033.0,118275572062.0,88571606566.0,117970017448.0,129871579193.0,108538503715.0,182286245160.0,154274114866.0
2,Tiền và tương đương tiền,50071557498.0,7703144478.0,2997842162.0,10226993321.0,4370769730.0,1575070024.0,5564316399.0,7876565088.0,5216580817.0,4971803256.0
3,Tiền,3071557498.0,7703144478.0,2997842162.0,10226993321.0,4370769730.0,1575070024.0,5564316399.0,7876565088.0,5216580817.0,4971803256.0
4,Các khoản tương đương tiền,47000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,80884284892.0,42979662693.0,40864091118.0,28095430556.0,29292470588.0,42934718513.0,34210550636.0,34705465265.0,42119637864.0,36291291617.0
10,Phải thu khách hàng,64357506029.0,38756438349.0,32086931626.0,23501103301.0,28016240894.0,42963785435.0,34693748930.0,35636001193.0,42875185397.0,35533097117.0
11,Trả trước người bán,15488253038.0,7908707714.0,8726008500.0,9552587800.0,8221382454.0,7602103500.0,7574223500.0,16021800.0,264925000.0,423525000.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,1183363000.0,221405555.0,7720091667.0,2710680130.0,723787915.0,37770253.0,521064881.0,371359272.0,874867917.0,2063908000.0
16,Dự phòng nợ khó đòi,-144837175.0,-3906888925.0,-7668940675.0,-7668940675.0,-7668940675.0,-7668940675.0,-8578486675.0,-1317917000.0,-1895340450.0,-1729238500.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",136197249846.0,72016392759.0,68164990053.0,79861919378.0,54908366248.0,73327687730.0,90096712158.0,65956473362.0,134950026479.0,112958812754.0
19,Hàng tồn kho,136197249846.0,72016392759.0,68164990053.0,79861919378.0,54908366248.0,73327687730.0,90096712158.0,65956473362.0,134950026479.0,112958812754.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,24418198157.0,34721725788.0,357700.0,91228807.0,0.0,132541181.0,0.0,0.0,0.0,52207239.0
22,Trả trước ngắn hạn,53579559.0,0.0,0.0,91228807.0,0.0,0.0,0.0,0.0,0.0,0.0
