,CHỈ TIÊU,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q2 2021
0,TỔNG TÀI SẢN,956667411626.0,973615353878.0,918463956901.0,931160176128.0,894389471392.0,896733622855.0,870165261422.0,855067479033.0,777313506577.0,744927406189.0
1,TÀI SẢN NGẮN HẠN,697128583923.0,716184654584.0,663530075940.0,679809104459.0,645826918460.0,650411321004.0,626358750049.0,613842252622.0,538185369109.0,513639698508.0
2,Tiền và tương đương tiền,7453281976.0,8520094421.0,4002637850.0,6966318186.0,9365524260.0,5347774184.0,3089179116.0,3405362240.0,1018654971.0,6889103236.0
3,Tiền,7453281976.0,8520094421.0,4002637850.0,6966318186.0,9365524260.0,5347774184.0,3089179116.0,3405362240.0,1018654971.0,6889103236.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,431205227733.0,429084987241.0,421970857533.0,435391872767.0,408232587331.0,418022929947.0,395343322153.0,384837357699.0,315259732723.0,313476624941.0
10,Phải thu khách hàng,368472415004.0,363801304024.0,354540231298.0,366996405478.0,340298170382.0,343132087064.0,322538884234.0,313875470730.0,315528312728.0,290731316123.0
11,Trả trước người bán,15293324400.0,18064082433.0,19277794887.0,19508125887.0,18464286404.0,26013981851.0,21387116246.0,21179259667.0,21639585891.0,21676859661.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,2659332458.0,2659332458.0,2659292458.0,2659332458.0,2659332458.0,2659332458.0,2659332458.0,2659332458.0,2659332458.0,2659332458.0
15,Phải thu khác,52587733147.0,52367845602.0,53301116166.0,54035586220.0,54618375363.0,54025105850.0,56565566491.0,54930872120.0,58682645074.0,57651606514.0
16,Dự phòng nợ khó đòi,-7807577276.0,-7807577276.0,-7807577276.0,-7807577276.0,-7807577276.0,-7807577276.0,-7807577276.0,-7807577276.0,-83250143428.0,-59242489815.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",221198656930.0,229561236220.0,218908141681.0,208720299060.0,209605395255.0,209021461491.0,208458276808.0,205921400684.0,202273227277.0,174753727592.0
19,Hàng tồn kho,221198656930.0,229561236220.0,218908141681.0,208720299060.0,209605395255.0,209021461491.0,208458276808.0,205921400684.0,202273227277.0,174753727592.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,37271417284.0,49018336702.0,18648438876.0,28730614446.0,18623411614.0,18019155382.0,19467971972.0,19678131999.0,19633754138.0,18520242739.0
