,CHỈ TIÊU,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020
0,Doanh số,13851620128.0,52147600633.0,15496311323.0,30834802220.0,33300024967.0,12784842826.0,20389456995.0,23978924746.0,14033718784.0,17721644890.0
1,Các khoản giảm trừ,0.0,-30000000.0,-49282681.0,-1618649288.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,13851620128.0,52117600633.0,15447028642.0,29216152932.0,33300024967.0,12784842826.0,20389456995.0,23978924746.0,14033718784.0,17721644890.0
3,Giá vốn hàng bán,-10699691484.0,-44749230657.0,-14213339827.0,-28812309526.0,-28468031810.0,-11324681339.0,-18255995603.0,-24557768783.0,-12239996615.0,-17381054029.0
4,Lãi gộp,3151928644.0,7368369976.0,1233688815.0,403843406.0,4831993157.0,1460161487.0,2133461392.0,-578844037.0,1793722169.0,340590861.0
5,Thu nhập tài chính,1411689.0,2422479.0,6861677098.0,1881506.0,5797450459.0,-5795508450.0,681557.0,3893086.0,810177.0,12480529.0
6,Chi phí tài chính,-1876963497.0,-2711869399.0,-5383230947.0,-33596720648.0,-6622513407.0,-10327441062.0,-8397330636.0,-9017643564.0,-8117903456.0,-7274737389.0
7,Trong đó: Chi phí lãi vay,-1876963497.0,-2445161399.0,-5383230947.0,-16775696938.0,-6622513407.0,-10327441062.0,-8397330636.0,-9017643564.0,-8117903456.0,-7274706429.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,-122111228.0,0.0,0.0,0.0,-115607665.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-712888842.0,-3198916613.0,-1846190517.0,-11347221134.0,-3375492930.0,-5090549905.0,-3746599277.0,-3786994534.0,-3102856909.0,-754518554.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,563487994.0,1460006443.0,865944449.0,-44538216870.0,631437279.0,-19875449158.0,-10009786964.0,-13379589049.0,-9426228019.0,-7791792218.0
12,Thu nhập khác,0.0,51091122.0,1800000.0,0.0,0.0,37460000.0,50817963.0,0.0,3800000.0,800.0
13,Chi phí khác,-351390527.0,-938818277.0,-298510854.0,-1144890396.0,-349022645.0,-864107953.0,-932867480.0,-676374318.0,-280870948.0,-735389612.0
14,"Thu nhập khác, ròng",-351390527.0,-887727155.0,-296710854.0,-1144890396.0,-349022645.0,-826647953.0,-882049517.0,-676374318.0,-277070948.0,-735388812.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,212097467.0,572279288.0,569233595.0,-45683107266.0,282414634.0,-20702097111.0,-10891836481.0,-14055963367.0,-9703298967.0,-8527181030.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-42419493.0,-388821208.0,-95024271.0,526264972.0,-35959014.0,35959014.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,-5055366.0,0.0,0.0,0.0,-5055366.0
19,Chi phí thuế thu nhập doanh nghiệp,-42419493.0,-388821208.0,-95024271.0,526264972.0,-35959014.0,30903648.0,0.0,0.0,0.0,-5055366.0
20,Lãi/(lỗ) thuần sau thuế,169677974.0,183458080.0,474209324.0,-45156842294.0,246455620.0,-20671193463.0,-10891836481.0,-14055963367.0,-9703298967.0,-8532236396.0
21,Lợi ích của cổ đông thiểu số,20832669.0,63344292.0,55024818.0,-980542137.0,4816597.0,-214908567.0,-233584631.0,-388722940.0,-211451344.0,67137433.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,148845305.0,120113788.0,419184506.0,-44176300157.0,241639023.0,-20456284896.0,-10658251850.0,-13667240427.0,-9491847623.0,-8599373829.0
23,Lãi cơ bản trên cổ phiếu,17.8,0.0,50.0,-5288.0,29.0,-2449.0,-1276.0,-1636.0,-1136.0,-1030.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,-2449.0,0.0,0.0,0.0,-1030.0
