,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,157966661797.0,163576501194.0,168303825499.0,181452687610.0,179925805702.0,197335321756.0,204301419106.0,192606969602.0,207831887821.0,222128698357.0
1,TÀI SẢN NGẮN HẠN,83470619349.0,99476038740.0,98088367062.0,103350640761.0,102410058961.0,108598261205.0,121699040472.0,114764799017.0,137225928103.0,153169364510.0
2,Tiền và tương đương tiền,9565186693.0,10153359021.0,9252632216.0,13119416164.0,20852026041.0,16614125985.0,28840009536.0,25558786814.0,27017380955.0,39764562925.0
3,Tiền,9565186693.0,7653359021.0,7752632216.0,8119416164.0,5852026041.0,4614125985.0,16840009536.0,13558786814.0,24017380955.0,39764562925.0
4,Các khoản tương đương tiền,0.0,2500000000.0,1500000000.0,5000000000.0,15000000000.0,12000000000.0,12000000000.0,12000000000.0,3000000000.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,2000000000.0,0.0,0.0,15000000000.0,15000000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,2000000000.0,0.0,0.0,15000000000.0,15000000000.0
9,Các khoản phải thu,26191270536.0,39112944015.0,42242638723.0,44501601227.0,38019518243.0,38913406307.0,43528975363.0,45181697419.0,42056015973.0,48317464791.0
10,Phải thu khách hàng,24925132824.0,30276427973.0,35327076824.0,37152032117.0,31345062439.0,31957029494.0,34442427900.0,38551250659.0,37402748402.0,36202826293.0
11,Trả trước người bán,742253418.0,3949044417.0,2084825824.0,2443533647.0,646320845.0,1801594491.0,2768230766.0,1396517216.0,1674748985.0,2404864800.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,38500000.0,49106838.0,145106838.0,858500000.0,640500000.0,972000000.0,1306290000.0,74490000.0,0.0
15,Phải thu khác,1272972748.0,5599564714.0,5532222326.0,5548877175.0,5957583509.0,5344411172.0,6573553031.0,4350784514.0,2946208886.0,9751953998.0
16,Dự phòng nợ khó đòi,-749088454.0,-750593089.0,-750593089.0,-787948550.0,-787948550.0,-830128850.0,-1227236334.0,-423144970.0,-42180300.0,-42180300.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",45372871103.0,46696129238.0,42830383119.0,43267537017.0,39351965230.0,46721538344.0,46188113730.0,40289791977.0,48422621432.0,47427325730.0
19,Hàng tồn kho,48374343403.0,48977244423.0,44970897981.0,45813695492.0,42335695546.0,49826562152.0,49031026915.0,43825353082.0,52919367137.0,52548816099.0
20,Dự phòng giảm giá HTK,-3001472300.0,-2281115185.0,-2140514862.0,-2546158475.0,-2983730316.0,-3105023808.0,-2842913185.0,-3535561105.0,-4496745705.0,-5121490369.0
21,Tài sản lưu động khác,2341291017.0,3513606466.0,3762713004.0,2462086353.0,4186549447.0,4349190569.0,3141941843.0,3734522807.0,4729909743.0,2660011064.0
22,Trả trước ngắn hạn,10104055.0,3399998.0,14329567.0,7189529.0,7212121.0,0.0,8437500.0,7908059.0,77339251.0,79108628.0
23,Thuế VAT phải thu,1633551034.0,2964665699.0,3481464667.0,2292851591.0,3682935216.0,3477682371.0,2671704607.0,3103187570.0,3071404360.0,1496165433.0
24,Phải thu thuế khác,119445988.0,545540769.0,266918770.0,162045233.0,496402110.0,871508198.0,461799736.0,623427178.0,1581166132.0,1084737003.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,578189940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,74496042448.0,64100462454.0,70215458437.0,78102046849.0,77515746741.0,88737060551.0,82602378634.0,77842170585.0,70605959718.0,68959333847.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,628830000.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,628830000.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,70212580163.0,59552943036.0,65794021693.0,74846885388.0,75366283197.0,87112169378.0,80570228684.0,76449907220.0,69451026960.0,67994911720.0
37,GTCL TSCĐ hữu hình,66794392435.0,59552943036.0,65794021693.0,74846885388.0,75366283197.0,86593554704.0,80120762090.0,76069588706.0,69139856526.0,67752889366.0
38,Nguyên giá TSCĐ hữu hình,114157828774.0,117671694757.0,136116015369.0,158902797651.0,173218815106.0,198228554610.0,204879027028.0,214710064988.0,219964208579.0,230238224844.0
39,Khấu hao lũy kế TSCĐ hữu hình,-47363436339.0,-58118751721.0,-70321993676.0,-84055912263.0,-97852531909.0,-111634999906.0,-124758264938.0,-138640476282.0,-150824352053.0,-162485335478.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,3394727730.0,0.0,0.0,0.0,0.0,518614674.0,449466594.0,380318514.0,311170434.0,242022354.0
44,Nguyên giá TSCĐ vô hình,3966018668.0,182348000.0,182348000.0,182348000.0,182348000.0,735532674.0,735532674.0,735532674.0,735532674.0,735532674.0
45,Khấu hao lũy kế TSCĐ vô hình,-571290938.0,-182348000.0,-182348000.0,-182348000.0,-182348000.0,-216918000.0,-286066080.0,-355214160.0,-424362240.0,-493510320.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,784439758.0,0.0,0.0,125762794.0,60573739.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,174000000.0,174000000.0,174000000.0,174000000.0,174000000.0,174000000.0,174000000.0,174000000.0,174000000.0,174000000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,174000000.0,174000000.0,174000000.0,174000000.0,174000000.0,174000000.0,174000000.0,174000000.0,174000000.0,174000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,4109462285.0,4373519418.0,3462996986.0,3081161461.0,1975463544.0,1325128379.0,1168746211.0,1218263365.0,980932758.0,790422127.0
59,Trả trước dài hạn,3508057394.0,3826535568.0,2769497872.0,2335036781.0,1497661780.0,618157674.0,668623542.0,581068196.0,591049073.0,503934099.0
60,Thuế thu nhập hoãn lại phải thu,601404891.0,546983850.0,693499114.0,746124680.0,477801764.0,706970705.0,500122669.0,637195169.0,389883685.0,286488028.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,87548616858.0,91968345339.0,91969931068.0,96584933077.0,90419291385.0,95356088121.0,83854775864.0,56101829782.0,52145607441.0,47891307743.0
65,Nợ ngắn hạn,64955175343.0,73778403621.0,74969931068.0,68829933077.0,59236774973.0,69159699121.0,71854775864.0,48101829782.0,52145607441.0,47891307743.0
66,Phải trả người bán,6672900409.0,10885128994.0,9417541779.0,14928522610.0,19593969912.0,27187477880.0,18316028140.0,14777936886.0,23995282301.0,22367350256.0
67,Người mua trả tiền trước,312096845.0,1068159912.0,158989229.0,2209217085.0,1962849995.0,2817560323.0,3119370995.0,4659613995.0,2798287471.0,1299116322.0
