,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,221147797386.0,237464979682.0,268792924517.0,292180293947.0,321706766358.0,317043982800.0,334360400626.0,311249215796.0,368575368859.0,369970086549.0
1,Các khoản giảm trừ,0.0,-134700578.0,-31799818.0,-700000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,221147797386.0,237330279104.0,268761124699.0,292179593947.0,321706766358.0,317043982800.0,334360400626.0,311249215796.0,368575368859.0,369970086549.0
3,Giá vốn hàng bán,-169632217078.0,-186555080947.0,-211801806667.0,-227095990973.0,-249198860048.0,-247900531305.0,-262040870030.0,-242556663315.0,-284721165391.0,-288766760889.0
4,Lãi gộp,51515580308.0,50775198157.0,56959318032.0,65083602974.0,72507906310.0,69143451495.0,72319530596.0,68692552481.0,83854203468.0,81203325660.0
5,Thu nhập tài chính,753305222.0,539200092.0,746965112.0,687495993.0,830430075.0,944010480.0,678452821.0,673770887.0,619374625.0,3866079979.0
6,Chi phí tài chính,-7029192643.0,-5964175438.0,-6277365584.0,-5584344593.0,-4246228106.0,-3556426058.0,-2694087295.0,-1832408004.0,-784452044.0,-1076062431.0
7,Trong đó: Chi phí lãi vay,-6559425830.0,-5795430054.0,-5526151764.0,-5411403143.0,-4232456941.0,-3337638981.0,-2691561205.0,-1775622534.0,-277405622.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-1508323427.0,-1330941040.0,-1513565584.0,-2182566938.0,-1804047808.0,-2099996653.0,-1955233113.0,-1784244724.0,-1656478738.0,-1573646250.0
10,Chi phí quản lý doanh  nghiệp,-19909573216.0,-20683348615.0,-23190354361.0,-23798504371.0,-27996900056.0,-30349132720.0,-32219435628.0,-32459554429.0,-34925568426.0,-36121662331.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,23821796244.0,23335933156.0,26724997615.0,34205683065.0,39291160415.0,34081906544.0,36129227381.0,33290116211.0,47107078885.0,46298034627.0
12,Thu nhập khác,1074339757.0,1557807850.0,1416266960.0,1117854963.0,195057394.0,2324907580.0,1120557192.0,286247254.0,1182286036.0,624254971.0
13,Chi phí khác,-1496571504.0,-1279630991.0,-1671062832.0,-1083013476.0,-58843970.0,-347517452.0,-76558473.0,-1218604030.0,-1551381442.0,-1445535759.0
14,"Thu nhập khác, ròng",-422231747.0,278176859.0,-254795872.0,34841487.0,136213424.0,1977390128.0,1043998719.0,-932356776.0,-369095406.0,-821280788.0
16,Lãi/(lỗ) ròng trước thuế,23399564497.0,23614110015.0,26470201743.0,34240524552.0,39427373839.0,36059296672.0,37173226100.0,32357759435.0,46737983479.0,45476753839.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-5072730893.0,-5479553682.0,-6453183797.0,-7136968735.0,-8133682109.0,-7409226194.0,-8120340354.0,-5221689250.0,-9068350353.0,-9694978448.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,45338922.0,-27810269.0,146515264.0,52625567.0,-268322916.0,229168940.0,-206848036.0,137072500.0,-247311484.0,-103395657.0
19,Chi phí thuế thu nhập doanh nghiệp,-5027391971.0,-5507363951.0,-6306668533.0,-7084343168.0,-8402005025.0,-7180057254.0,-8327188390.0,-5084616750.0,-9315661837.0,-9798374105.0
20,Lãi/(lỗ) thuần sau thuế,18372172526.0,18106746064.0,20163533210.0,27156181384.0,31025368814.0,28879239418.0,28846037710.0,27273142685.0,37422321642.0,35678379734.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,18372172526.0,18106746064.0,20163533210.0,27156181384.0,31025368814.0,28879239418.0,28846037710.0,27273142685.0,37422321642.0,35678379734.0
23,Lãi cơ bản trên cổ phiếu,4957.0,4822.0,5369.0,7232.0,8262.0,7792.0,7783.0,7000.0,9158.0,8732.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
