,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,112661403877.0,108090543435.0,106091489034.0,124194093472.0,137459982866.0,124215841968.0,139514301971.0,123146938167.0,104065500259.0,96445720731.0
1,TÀI SẢN NGẮN HẠN,86689763714.0,83872845423.0,82752627575.0,93263772406.0,99240585705.0,79544658099.0,97137261230.0,82907357299.0,64602345880.0,57461333221.0
2,Tiền và tương đương tiền,151411038.0,947982375.0,3000064838.0,1373162671.0,1956848965.0,790859900.0,1276059815.0,2812681883.0,3497265228.0,307610736.0
3,Tiền,151411038.0,947982375.0,3000064838.0,1373162671.0,1956848965.0,790859900.0,1276059815.0,2812681883.0,3497265228.0,307610736.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,25502465382.0,22359265771.0,20845525660.0,33111986045.0,42307659275.0,26620836638.0,30491796469.0,20011389032.0,47845711246.0,43287384136.0
10,Phải thu khách hàng,15564805651.0,12806923281.0,12601452549.0,22626108334.0,32378600769.0,17909316199.0,19580310149.0,10261066999.0,15305238484.0,11182150699.0
11,Trả trước người bán,9093130834.0,8882750717.0,7405945717.0,8553695717.0,7007573012.0,2497821612.0,5947043612.0,5093793612.0,11363793612.0,11385330612.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
