,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,842375638128.0,1583767316786.0,1655983619265.0,2124527867320.0,2312903033028.0,1783554716773.0,1846613069029.0,1587074188149.0,1569647720455.0,1305592937491.0
1,TÀI SẢN NGẮN HẠN,502774066892.0,1259906970985.0,1077217640226.0,1531497790121.0,1485202309180.0,771905433596.0,1057764542123.0,714316802484.0,692342651700.0,291312698352.0
2,Tiền và tương đương tiền,6849719995.0,6534730372.0,8871917204.0,222077742276.0,25077944614.0,13951155070.0,33972458001.0,4999120886.0,3493307155.0,2423928685.0
3,Tiền,6849719995.0,6534730372.0,8871917204.0,132137742276.0,25077944614.0,13951155070.0,15972458001.0,4999120886.0,3493307155.0,2423928685.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,89940000000.0,0.0,0.0,18000000000.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,14000000000.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,14000000000.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,408760624835.0,1128337082670.0,1002738593090.0,1217416063241.0,1366008419764.0,687872330503.0,943529235410.0,674377303233.0,655777405674.0,268195824847.0
10,Phải thu khách hàng,620958400.0,253230654083.0,362914574289.0,463878369287.0,525519051657.0,14827061571.0,6652600296.0,3005341395.0,77845523671.0,48651944050.0
11,Trả trước người bán,19322655360.0,555962985519.0,569464596489.0,567198384178.0,576183027503.0,506032829235.0,488563077041.0,426810325810.0,337365757233.0,107241168270.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,10300000000.0,6500000000.0,6500000000.0,88500000000.0,105500000000.0,35300000000.0,20000000000.0,45000000000.0,0.0,15500000000.0
15,Phải thu khác,378517011075.0,312643443068.0,63859422312.0,97940748158.0,158806340604.0,131712439697.0,428482622043.0,199561636028.0,240566124770.0,96802712527.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,-101438382.0,0.0,0.0,-169063970.0,0.0,0.0,0.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",83846643244.0,123410579200.0,62130474380.0,89807031349.0,90970373639.0,54121744128.0,76107071337.0,30962813828.0,29191477586.0,20510985916.0
