,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,297201495232.0,273975162858.0,282187659317.0,273615602206.0,281973159015.0,258603674156.0,279288190563.0,284825051349.0,281264220548.0,301161005803.0
1,TÀI SẢN NGẮN HẠN,129496017710.0,103195551081.0,118069327764.0,115177446389.0,125608090979.0,105121550972.0,132131373744.0,137563006577.0,135071301720.0,154847364561.0
2,Tiền và tương đương tiền,67618956698.0,62293732943.0,60257940268.0,48741072059.0,23795465246.0,56496653961.0,50851229667.0,65146849593.0,59763822242.0,58090668494.0
3,Tiền,27618956698.0,42293732943.0,25257940268.0,28741072059.0,8795465246.0,36496653961.0,30851229667.0,30146849593.0,34763822242.0,37090668494.0
4,Các khoản tương đương tiền,40000000000.0,20000000000.0,35000000000.0,20000000000.0,15000000000.0,20000000000.0,20000000000.0,35000000000.0,25000000000.0,21000000000.0
5,Giá trị thuần đầu tư ngắn hạn,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,20000000000.0,30000000000.0,55000000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,20000000000.0,30000000000.0,55000000000.0
9,Các khoản phải thu,34100020318.0,17463963362.0,32315305629.0,42808103992.0,76793340937.0,26273583349.0,56207090722.0,40714042744.0,29929229230.0,13525216822.0
10,Phải thu khách hàng,34662656121.0,16365002905.0,29833889452.0,40350043850.0,74063275605.0,24997531816.0,53889829267.0,37796567321.0,27510778742.0,11890223458.0
11,Trả trước người bán,878500841.0,256509499.0,1184603089.0,1248620259.0,1375590460.0,720126248.0,891137620.0,1718622301.0,1034102696.0,875886146.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,1155066600.0,842450958.0,1296813088.0,1209439883.0,1354474872.0,555925285.0,1426123835.0,1198853122.0,1384347792.0,1003528538.0
16,Dự phòng nợ khó đòi,-2596203244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-244421320.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",16618488276.0,11657431949.0,13558642397.0,11856647013.0,12255349902.0,8951254074.0,11017982596.0,10377422304.0,14230609037.0,26522217658.0
19,Hàng tồn kho,16618488276.0,11657431949.0,13558642397.0,11856647013.0,12255349902.0,8951254074.0,11017982596.0,10377422304.0,14230609037.0,26522217658.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Tài sản lưu động khác,1158552418.0,1780422827.0,1937439470.0,1771623325.0,2763934894.0,3400059588.0,4055070759.0,1324691936.0,1147641211.0,1709261587.0
22,Trả trước ngắn hạn,1158552418.0,1450260204.0,1670884589.0,1634753949.0,2686536619.0,1783014528.0,2015407938.0,1008614144.0,1147641211.0,683158499.0
23,Thuế VAT phải thu,0.0,159375405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026103088.0
24,Phải thu thuế khác,0.0,170787218.0,266554881.0,136869376.0,77398275.0,1617045060.0,2039662821.0,316077792.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,167705477522.0,170779611777.0,164118331553.0,158438155817.0,156365068036.0,153482123184.0,147156816819.0,147262044772.0,146192918828.0,146313641242.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39000000.0,39000000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39000000.0,39000000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,152957061964.0,155877188714.0,154194385944.0,147038551177.0,145729623456.0,139909113145.0,133569737829.0,130629242564.0,134577848151.0,140972707283.0
37,GTCL TSCĐ hữu hình,151135182994.0,153919021179.0,152439818740.0,145487584304.0,141948729454.0,136553721674.0,130639848889.0,128124856155.0,131874705009.0,138477307427.0
