,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,481779401982.0,165040728717.0,49826953677.0,184664621629.0,202593112724.0,72342013342.0,144280692.0,1123856495.0,1113751719.0,954822322.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,481779401982.0,165040728717.0,49826953677.0,184664621629.0,202593112724.0,72342013342.0,144280692.0,1123856495.0,1113751719.0,954822322.0
3,Giá vốn hàng bán,-287621691335.0,-98835241998.0,-32669543406.0,-114163820694.0,-119388111145.0,-46443073911.0,34166996.0,-444632236.0,-273710396.0,-241990396.0
4,Lãi gộp,194157710647.0,66205486719.0,17157410271.0,70500800935.0,83205001579.0,25898939431.0,178447688.0,679224259.0,840041323.0,712831926.0
5,Thu nhập tài chính,40492650445.0,32420814052.0,62005179704.0,53403492310.0,55141851042.0,35526193152.0,23289513421.0,8681057127.0,13241248588.0,9277961086.0
6,Chi phí tài chính,-2024863615.0,-7659867679.0,-16317222658.0,-11766146823.0,-30102781342.0,-31459591934.0,7419558154.0,-127737244628.0,-41442454795.0,-18570648585.0
7,Trong đó: Chi phí lãi vay,-513397383.0,-484994160.0,-2170857173.0,1928027321.0,-3082250558.0,-1533569502.0,0.0,0.0,-85890411.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,4556781111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-16812268230.0,-6193036713.0,-1683654465.0,-7050785026.0,-6595996960.0,-2572037476.0,-16683842.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-1170773889.0,-415046329.0,-916399428.0,-793784583.0,-736746574.0,-836207576.0,-1578797118.0,-6012571987.0,-1403882970.0,-2509864423.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,214642455358.0,88915131161.0,60245313424.0,104293576813.0,100911327745.0,26557295597.0,29292038303.0,-124389535229.0,-28765047854.0,-11089719996.0
12,Thu nhập khác,1758266500.0,891908384.0,483189746.0,691825426.0,418706736.0,60423000.0,0.0,0.0,0.0,0.0
13,Chi phí khác,-363911041.0,-96785870.0,-432175056.0,-42332491.0,-300020000.0,0.0,-106314366.0,-18325000.0,-94192.0,-1459942400.0
14,"Thu nhập khác, ròng",1394355459.0,795122514.0,51014690.0,649492935.0,118686736.0,60423000.0,-106314366.0,-18325000.0,-94192.0,-1459942400.0
16,Lãi/(lỗ) ròng trước thuế,216036810817.0,89710253675.0,60296328114.0,104943069748.0,101030014481.0,26617718597.0,29185723937.0,-124407860229.0,-28765142046.0,-12549662396.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-42104024025.0,-19124501544.0,-12148569415.0,-20056368508.0,-19550387714.0,-5273061628.0,-5722861024.0,5722861024.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,-245380295.0,37964710.0,-14477133.0,-46444322.0,-87360033.0,-17866672.0,0.0,1129845.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-42349404320.0,-19086536834.0,-12163046548.0,-20102812830.0,-19637747747.0,-5290928300.0,-5722861024.0,5723990869.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,173687406497.0,70623716841.0,48133281566.0,84840256918.0,81392266734.0,21326790297.0,23462862913.0,-118683869360.0,-28765142046.0,-12549662396.0
21,Lợi ích của cổ đông thiểu số,-60795295.0,-652868148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,173748201792.0,71276584989.0,48133281566.0,84840256918.0,81392266734.0,21326790297.0,23462862913.0,-118683869360.0,-28765142046.0,-12549662396.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
