,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,64494262755.0,99441613425.0,130099890935.0,177814736810.0,99062346525.0,149325687385.0,216704738430.0,213068429008.0,94306857220.0,174677248140.0
1,Các khoản giảm trừ,-121128000.0,-75951125.0,0.0,-27300000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,64373134755.0,99365662300.0,130099890935.0,177787436810.0,99062346525.0,149325687385.0,216704738430.0,213068429008.0,94306857220.0,174677248140.0
3,Giá vốn hàng bán,-49728209869.0,-87741388986.0,-111854521217.0,-155544132995.0,-84329027077.0,-135554149299.0,-179398583110.0,-185771827467.0,-78781356943.0,-152838167998.0
4,Lãi gộp,14644924886.0,11624273314.0,18245369718.0,22243303815.0,14733319448.0,13771538086.0,37306155320.0,27296601541.0,15525500277.0,21839080142.0
5,Thu nhập tài chính,432550141.0,17934647.0,3334610.0,217740417.0,48052999.0,28957039.0,24825253.0,100807881.0,17140859.0,54382843.0
6,Chi phí tài chính,-119612627.0,-311176170.0,-669130108.0,-251408091.0,-330481094.0,-509176706.0,-624914614.0,-622521549.0,-635330368.0,-1637344164.0
7,Trong đó: Chi phí lãi vay,-17495345.0,-236077704.0,-346760609.0,-11620450.0,-27779165.0,-131262296.0,-127837129.0,-7121802.0,-435577168.0,-1460057477.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-8909384385.0,-4837453449.0,-9601552441.0,-10867104230.0,-7599704778.0,-4123033923.0,-14964833692.0,-9885729405.0,-8156981916.0,-10754322775.0
10,Chi phí quản lý doanh  nghiệp,-4580143323.0,-5468368550.0,-4589045879.0,-6950728919.0,-4912604508.0,-4581242969.0,-7857068763.0,-6729934122.0,-4733339948.0,-5348677636.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1468334692.0,1025209792.0,3388975900.0,4391802992.0,1938582067.0,4587041527.0,13884163504.0,10159224346.0,2016988904.0,4153118410.0
12,Thu nhập khác,849107961.0,936413017.0,632407256.0,1645184303.0,1050742133.0,542329249.0,950804114.0,667687319.0,468751942.0,609348188.0
13,Chi phí khác,-94663140.0,-14771420.0,0.0,-360.0,-935.0,-1119608243.0,-366057037.0,-207765892.0,-89022350.0,0.0
14,"Thu nhập khác, ròng",754444821.0,921641597.0,632407256.0,1645183943.0,1050741198.0,-577278994.0,584747077.0,459921427.0,379729592.0,609348188.0
16,Lãi/(lỗ) ròng trước thuế,2222779513.0,1946851389.0,4021383156.0,6036986935.0,2989323265.0,4009762533.0,14468910581.0,10619145773.0,2396718496.0,4762466598.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-576137401.0,-487892613.0,-942579071.0,-1147522637.0,-745301053.0,-675520216.0,-3275408166.0,-1970344638.0,-495084250.0,-713491890.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-576137401.0,-487892613.0,-942579071.0,-1147522637.0,-745301053.0,-675520216.0,-3275408166.0,-1970344638.0,-495084250.0,-713491890.0
20,Lãi/(lỗ) thuần sau thuế,1646642112.0,1458958776.0,3078804085.0,4889464298.0,2244022212.0,3334242317.0,11193502415.0,8648801135.0,1901634246.0,4048974708.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1646642112.0,1458958776.0,3078804085.0,4889464298.0,2244022212.0,3334242317.0,11193502415.0,8648801135.0,1901634246.0,4048974708.0
23,Lãi cơ bản trên cổ phiếu,105.0,93.0,196.0,311.0,143.0,212.0,712.0,549.0,121.0,257.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
