,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,735380055276.0,682949750660.0,532535473739.0,546233515625.0,563357304837.0,573839111956.0,478385152326.0,432742112293.0,556302661655.0,698301526628.0
1,Các khoản giảm trừ,-10530000.0,-16496640.0,-2250000.0,-94244000.0,-346023625.0,-125811500.0,-301190875.0,-197079125.0,-27300000.0,0.0
2,Doanh số thuần,735369525276.0,682933254020.0,532533223739.0,546139271625.0,563011281212.0,573713300456.0,478083961451.0,432545033168.0,556275361655.0,698301526628.0
3,Giá vốn hàng bán,-579584757209.0,-533178741182.0,-427693175356.0,-447691146405.0,-464236724062.0,-478691128199.0,-406418173790.0,-372774522464.0,-487281830588.0,-596593123638.0
4,Lãi gộp,155784768067.0,149754512838.0,104840048383.0,98448125220.0,98774557150.0,95022172257.0,71665787661.0,59770510704.0,68993531067.0,101708402990.0
5,Thu nhập tài chính,3133924514.0,1395624105.0,33204310.0,497050076.0,1959806841.0,1535106514.0,60832342.0,801283035.0,298085065.0,197156836.0
6,Chi phí tài chính,-6822365737.0,-9059828885.0,-8526155888.0,-1471643969.0,-275560707.0,-1511956614.0,-1866583614.0,-841073481.0,-1760195999.0,-3520110695.0
7,Trong đó: Chi phí lãi vay,-6180017904.0,-3057645158.0,-4197259461.0,-518679351.0,-195541667.0,1458633359.0,-1752437143.0,-648202081.0,-517422520.0,-2030593576.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-87174167748.0,-78961284236.0,-55583602642.0,-51653525313.0,-56254363902.0,-47953710500.0,-41162416866.0,-29782277896.0,-32191395372.0,-43761867788.0
10,Chi phí quản lý doanh  nghiệp,-18848079443.0,-18807419779.0,-19110732718.0,-22641950172.0,-20807386024.0,-22504833173.0,-18425195657.0,-19565001484.0,-20980985825.0,-24633848469.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,46074079653.0,44321604043.0,21652761445.0,23178055842.0,23397053358.0,24586778484.0,10272423866.0,10383440878.0,14359038936.0,29989732874.0
12,Thu nhập khác,2248403046.0,1428577624.0,1210754489.0,1531899033.0,1646275062.0,1689200137.0,1386979179.0,1835913881.0,3870662941.0,2696591563.0
13,Chi phí khác,-269771927.0,-100000000.0,-168696153.0,-364104332.0,-5500000.0,-249536782.0,-7295700.0,-95474560.0,-1119609538.0,-662845279.0
14,"Thu nhập khác, ròng",1978631119.0,1328577624.0,1042058336.0,1167794701.0,1640775062.0,1439663355.0,1379683479.0,1740439321.0,2751053403.0,2033746284.0
16,Lãi/(lỗ) ròng trước thuế,48052710772.0,45650181667.0,22694819781.0,24345850543.0,25037828420.0,26026441839.0,11652107345.0,12123880199.0,17110092339.0,32023479158.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-7601492606.0,-9181939160.0,-5056593505.0,-5166497909.0,-5347153924.0,-5014607459.0,-2356821469.0,-2957444873.0,-3521450267.0,-6409576486.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-7601492606.0,-9181939160.0,-5056593505.0,-5166497909.0,-5347153924.0,-5014607459.0,-2356821469.0,-2957444873.0,-3521450267.0,-6409576486.0
20,Lãi/(lỗ) thuần sau thuế,40451218166.0,36468242507.0,17638226276.0,19179352634.0,19690674496.0,21011834380.0,9295285876.0,9166435326.0,13588642072.0,25613902672.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,40451218166.0,36468242507.0,17638226276.0,19179352634.0,19690674496.0,21011834380.0,9295285876.0,9166435326.0,13588642072.0,25613902672.0
23,Lãi cơ bản trên cổ phiếu,5786.0,3477.0,1682.0,1456.0,1252.0,1336.0,591.0,583.0,863.0,1628.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
