,CHỈ TIÊU,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q1 2020
0,Doanh số,20840817553.0,40065908424.0,12064961201.0,17971493777.0,17372344826.0,10638260006.0,0.0,0.0,0.0,0.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,20840817553.0,40065908424.0,12064961201.0,17971493777.0,17372344826.0,10638260006.0,0.0,0.0,0.0,0.0
3,Giá vốn hàng bán,-17490589676.0,-36156645675.0,-12034269050.0,-19351377933.0,-19346105273.0,-11356105304.0,0.0,0.0,0.0,0.0
4,Lãi gộp,3350227877.0,3909262749.0,30692151.0,-1379884156.0,-1973760447.0,-717845298.0,0.0,0.0,0.0,0.0
5,Thu nhập tài chính,168595.0,621024.0,30395.0,108264800.0,202256321.0,30808.0,31842524.0,12949605.0,5676.0,2781.0
6,Chi phí tài chính,-2055880745.0,-2598708937.0,-1723575637.0,-1742270706.0,-1788863251.0,-1777541493.0,-2838556468.0,-3245867430.0,-3170344796.0,-15422531965.0
7,Trong đó: Chi phí lãi vay,-2052874293.0,-2597761659.0,-1723575440.0,-1739090578.0,-1788863251.0,-1777541493.0,-1535917168.0,-1618814084.0,-1585113796.0,-1422531965.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-111013071.0,-206288770.0,-101076412.0,-90037315.0,-28550117.0,-18476024.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-747873237.0,-1974327212.0,-848843640.0,-816094385.0,-787167085.0,-644944461.0,-1127304491.0,-391808666.0,-225335298.0,-167241597.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,435629419.0,-869441146.0,-2642773143.0,-3920021762.0,-4376084579.0,-3158776468.0,-3934018435.0,-3624726491.0,-3395674418.0,-15589770781.0
12,Thu nhập khác,0.0,0.0,0.0,200.0,0.0,226700000.0,390000000.0,390000000.0,391302260.0,143000000.0
13,Chi phí khác,-236055862.0,-786219980.0,-338780377.0,-347052133.0,-426883841.0,-430397644.0,-264163703.0,-284395499.0,-1123137363.0,-949891356.0
14,"Thu nhập khác, ròng",-236055862.0,-786219980.0,-338780377.0,-347051933.0,-426883841.0,-203697644.0,125836297.0,105604501.0,-731835103.0,-806891356.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,199573557.0,-1655661126.0,-2981553520.0,-4267073695.0,-4802968420.0,-3362474112.0,-3808182138.0,-3519121990.0,-4127509521.0,-16396662137.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-87125884.0,334671004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-87125884.0,334671004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,112447673.0,-1320990122.0,-2981553520.0,-4267073695.0,-4802968420.0,-3362474112.0,-3808182138.0,-3519121990.0,-4127509521.0,-16396662137.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,112447673.0,-1320990122.0,-2981553520.0,-4267073695.0,-4802968420.0,-3362474112.0,-3808182138.0,-3519121990.0,-4127509521.0,-16396662137.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
