,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,37650505271.0,57655619289.0,63801376868.0,16791608455.0,-9972586414.0,-5329300094.0,-3302759730.0,3444232880.0,-752850222.0,50482823111.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,357313563.0,12916246292.0,219940664.0,635095669.0,737947004.0,2707205378.0,-22527372465.0,-6938730455.0,-17192740059.0,-63155735163.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,-566636821.0,0.0,0.0,0.0,-957160000.0,-117000000.0,-2157407407.0,-18208528559.0,-7463277545.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90740741.0,937259259.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,-23000000000.0,-11000000000.0,-23000000000.0,-68200000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,4190000000.0,0.0,0.0,0.0,3000000000.0,0.0,0.0,23000000000.0,11000000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,357313563.0,9292883113.0,219940664.0,635095669.0,737947004.0,664365378.0,589627535.0,6218676952.0,925047759.0,570283123.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,0.0,-109032982250.0,0.0,-38512899990.0,0.0,0.0,0.0,-81078640.0,0.0,0.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,-109032982250.0,0.0,-38512899990.0,0.0,0.0,0.0,-81078640.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,38007818834.0,-38461116669.0,64021317532.0,-21086195866.0,-9234639410.0,-2622094716.0,-25830132195.0,-3575576215.0,-17945590281.0,-12672912052.0
38,Tiền và tương đương tiền đầu kỳ,51258665371.0,89266484205.0,50805367536.0,114826685068.0,93740489202.0,84505849792.0,81983690505.0,56153558310.0,52577982095.0,34632391814.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,89266484205.0,50805367536.0,114826685068.0,93740489202.0,84505849792.0,81883755076.0,56153558310.0,52577982095.0,34632391814.0,21959479762.0
