,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-14871041781.0,-17469685740.0,1259341606.0,8421628881.0,8432279211.0,2304984720.0,2464787941.0,3243003264.0,9297196527.0,1802019930.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,18152595478.0,-5816642.0,-48870863.0,-2330708447.0,2141180369.0,-136474281.0,-347651014.0,-2416426876.0,2258875417.0,-166357942.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,18108751315.0,-9090909.0,-51336545.0,-2333449055.0,2138150965.0,-140635545.0,-350275453.0,-2420189025.0,2253905580.0,-174139592.0
23,Tiền thu được từ thanh lý tài sản cố định,38972727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,4871436.0,3274267.0,2465682.0,2740608.0,3029404.0,4161264.0,2624439.0,3762149.0,4969837.0,7781650.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-8464316239.0,18237347594.0,-2483385416.0,-3895828733.0,-9089625691.0,-4858823851.0,-1698068048.0,3582311642.0,-7867973066.0,-3153511442.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,-2721748769.0,26108192245.0,775267432.0,6849473411.0,-4165055851.0,0.0,1560584800.0,7092816971.0,-1419935218.0,0.0
33,Tiển trả các khoản đi vay,-5742567470.0,-5380401617.0,-3258652848.0,-10745302144.0,-4924569840.0,-4858823851.0,-3258652848.0,-3510505329.0,-6448037848.0,-3153511442.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,-2490443034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-5182762542.0,761845212.0,-1272914673.0,2195091701.0,1483833889.0,-2690313412.0,419068879.0,4408888030.0,3688098878.0,-1517849454.0
38,Tiền và tương đương tiền đầu kỳ,13110951878.0,7928189336.0,8673351548.0,7400436875.0,9595528576.0,11079362465.0,8382419053.0,8801487932.0,13210375962.0,16898474840.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19800.0
40,Tiền và tương đương tiền cuối kỳ,7928189336.0,8690034548.0,7400436875.0,9595528576.0,11079362465.0,8389049053.0,8801487932.0,13210375962.0,16898474840.0,15380605586.0
