,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,879450719941.0,726302615786.0,819790318416.0,802034883247.0,564164168906.0,611707904510.0,1015623037282.0,640591215031.0,655909687631.0,569573406630.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,-4750000000.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,879450719941.0,726302615786.0,819790318416.0,802034883247.0,559414168906.0,611707904510.0,1015623037282.0,640591215031.0,655909687631.0,569573406630.0
3,Giá vốn hàng bán,-764032083771.0,-611946447140.0,-707288687777.0,-723554043748.0,-464113576276.0,-507412433801.0,-874223403227.0,-566929133670.0,-557133006325.0,-479014995152.0
4,Lãi gộp,115418636170.0,114356168646.0,112501630639.0,78480839499.0,95300592630.0,104295470709.0,141399634055.0,73662081361.0,98776681306.0,90558411478.0
5,Thu nhập tài chính,1101192902.0,3163591051.0,1687874021.0,1014856925.0,1830300270.0,4612462738.0,2070171665.0,3693910822.0,2701703282.0,2300321421.0
6,Chi phí tài chính,-35442406464.0,-34279708730.0,-22184309411.0,-10465244879.0,-10065480431.0,-14086588743.0,-19272466813.0,-16160885293.0,-6358483238.0,-6365743516.0
7,Trong đó: Chi phí lãi vay,-33969893537.0,-33262606121.0,-20030310764.0,-10302608881.0,-9900751334.0,-13255759142.0,-19134211287.0,-14054075381.0,-6241594676.0,-5431788575.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-22434553770.0,-22083530551.0,-12045503936.0,-11003535393.0,-24454986708.0,-21508336158.0,-33008774438.0,-15776318004.0,-18773567942.0,-16137688181.0
10,Chi phí quản lý doanh  nghiệp,-41370964332.0,-40854072921.0,-43586334814.0,-42884366108.0,-47776008138.0,-56576081589.0,-72885672803.0,-44258474440.0,-68313651315.0,-61725245977.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,17271904506.0,20302447495.0,36373356499.0,15142550044.0,14834417623.0,16736926957.0,18302891666.0,1160314446.0,8032682093.0,8630055225.0
12,Thu nhập khác,4615620684.0,113200386.0,50947328663.0,90349185455.0,103077979162.0,423378910.0,354958780.0,116210508.0,142068408.0,408169818.0
13,Chi phí khác,-3845827210.0,-13921656.0,-112390848898.0,-90446152597.0,-101867299318.0,-400339724.0,-108014599.0,-51863891.0,-16440180.0,-23317140.0
14,"Thu nhập khác, ròng",769793474.0,99278730.0,-61443520235.0,-96967142.0,1210679844.0,23039186.0,246944181.0,64346617.0,125628228.0,384852678.0
16,Lãi/(lỗ) ròng trước thuế,18041697980.0,20401726225.0,-25070163736.0,15045582902.0,16045097467.0,16759966143.0,18549835847.0,1224661063.0,8158310321.0,9014907903.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-4539535035.0,-4380282029.0,0.0,0.0,-1259544049.0,-3447516067.0,-3789587169.0,-335922931.0,-1796873017.0,-1910366200.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-4539535035.0,-4380282029.0,0.0,0.0,-1259544049.0,-3447516067.0,-3789587169.0,-335922931.0,-1796873017.0,-1910366200.0
20,Lãi/(lỗ) thuần sau thuế,13502162945.0,16021444196.0,-25070163736.0,15045582902.0,14785553418.0,13312450076.0,14760248678.0,888738132.0,6361437304.0,7104541703.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,13502162945.0,16021444196.0,-25070163736.0,15045582902.0,14785553418.0,13312450076.0,14760248678.0,888738132.0,6361437304.0,7104541703.0
23,Lãi cơ bản trên cổ phiếu,1684.0,1381.0,-2238.0,1343.0,1320.0,1188.0,1317.64,79.0,568.0,634.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
