,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,12186178877306.0,12483548977559.0,11644672026820.0,12979914063678.0,9964109634598.0,8852246596491.0,7564111828914.0,6381321297882.0,6624064539061.0,7444781926018.0
1,TÀI SẢN NGẮN HẠN,1983307076501.0,2768010209671.0,2980677860169.0,5316223172464.0,3101036352909.0,2847184716466.0,2416097046445.0,1885715356742.0,2581043452810.0,4556819822223.0
2,Tiền và tương đương tiền,57246674887.0,726126885017.0,1108501344977.0,1398468310099.0,145968678560.0,65113935464.0,450964667264.0,61697957370.0,987683860.0,384299106224.0
3,Tiền,57246674887.0,186126885017.0,108501344977.0,133468310099.0,75968678560.0,113935464.0,64667264.0,1697957370.0,987683860.0,2268315808.0
4,Các khoản tương đương tiền,0.0,540000000000.0,1000000000000.0,1265000000000.0,70000000000.0,65000000000.0,450900000000.0,60000000000.0,0.0,382030790416.0
5,Giá trị thuần đầu tư ngắn hạn,246461181788.0,0.0,0.0,0.0,900000000000.0,490790416.0,200490790416.0,490790416.0,490790416.0,949000000000.0
6,Đầu tư ngắn hạn,246461181788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,900000000000.0,490790416.0,200490790416.0,490790416.0,490790416.0,949000000000.0
9,Các khoản phải thu,1449723105340.0,1766525503825.0,1576123809496.0,3609508630323.0,1795329283333.0,2520283326109.0,1458799421394.0,1488929248565.0,2230443563905.0,2911381137249.0
10,Phải thu khách hàng,35652402.0,1592220067017.0,1421490243475.0,3447445691772.0,1682184444895.0,2418135156945.0,1358823860968.0,1395685964121.0,2186830189592.0,2890771986200.0
11,Trả trước người bán,14986171786.0,164906169696.0,147020019418.0,117366595233.0,67873214457.0,59655001355.0,55769700389.0,49466276435.0,0.0,2701595000.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
