,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,689119215601.0,231013542113.0,533429213905.0,251433829217.0,39060656143.0,250421335430.0,-322137304374.0,823936508823.0,168687359050.0,712923738384.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,192927636274.0,398807605174.0,283633690008.0,214661545885.0,462613955243.0,304510379272.0,342460252616.0,561327702617.0,573743949596.0,190379455607.0
2,Lãi trước thuế,-5309303225.0,217463565570.0,121566461514.0,26803967674.0,287798682984.0,129670376732.0,168188404999.0,384231895257.0,215419474571.0,175196093785.0
3,Khấu hao TSCĐ,173181074047.0,173099684013.0,172727817535.0,172712725647.0,172699368754.0,172324150950.0,172340409601.0,172331068377.0,172213112917.0,171953500712.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187206722222.0,-145990562244.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,20952933565.0,4829120578.0,-14272926289.0,13874362670.0,398563619.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-2946386663.0,-3255975053.0,-413211668.0,-3645581097.0,-4803105427.0,-1859203488.0,-186484092.0,-128364631.0,-1505182515.0,-18725692049.0
9,Chi phí lãi vay,7049318550.0,6671210066.0,4025548916.0,5425201151.0,6520445313.0,4375055078.0,2117922108.0,4893103614.0,409822401.0,7946115403.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,-509130160.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,736181178475.0,47365914401.0,-725455776951.0,46490024420.0,407737486153.0,-503785160705.0,-739807583941.0,-946952665581.0,653113453924.0,361725402493.0
13,(Tăng)/giảm hàng tồn kho,-5316029565.0,5883324043.0,1153273957.0,-120753144.0,4040085977.0,-895998588.0,498638674.0,1262111286.0,4510804349.0,-2819266476.0
14,Tăng/(giảm) các khoản phải trả,-245429273467.0,-36455564502.0,958975154015.0,-32754063710.0,-546565759530.0,491552175300.0,-89085942224.0,1056383204833.0,-1068853679120.0,123674800773.0
15,( Tăng)/giảm chi phí trả trước,32094068211.0,-167085672776.0,46009582719.0,40940808771.0,-275360188971.0,-20413541187.0,195707225671.0,172104461437.0,29460659620.0,54807378039.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-1127480750.0,-13748157841.0,-1563487455.0,-8783898580.0,-6460460663.0,-4529575626.0,-2094246575.0,-4845090715.0,-164725228.0,-7859744583.0
18,Thuế thu nhập doanh nghiệp đã trả,-14884882170.0,0.0,-18561794082.0,-5178217521.0,-2808386143.0,-12342344751.0,-22231326741.0,-8534200979.0,-15574440260.0,0.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-5326001407.0,-3753906386.0,-10761428306.0,-3821616904.0,-4136075923.0,-3674598285.0,-7584321854.0,-6809014075.0,-7548663831.0,-6984287469.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-185671820697.0,192618790947.0,375549817.0,-419524361041.0,533771409.0,426830084735.0,-1063162228.0,735386599.0,-404024083238.0,-541822561417.0
