,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,2489090155885.0,3006459211308.0,3564060079758.0,4365542818334.0,4443654366817.0,4534643996134.0,4788713095640.0,4646209462100.0,4995476207069.0,5833535613193.0
1,Các khoản giảm trừ,-8357408316.0,-8924139679.0,-7918464772.0,-11379763317.0,-13522817199.0,-14998541997.0,-114839705583.0,-160098462870.0,-171951644851.0,-148423196426.0
2,Doanh số thuần,2480732747569.0,2997535071629.0,3556141614986.0,4354163055017.0,4430131549618.0,4519645454137.0,4673873390057.0,4486110999230.0,4823524562218.0,5685112416767.0
3,Giá vốn hàng bán,-1606454372157.0,-2071603890371.0,-2290292306937.0,-2784214064693.0,-2957522656826.0,-3188696872956.0,-3325381674138.0,-3097944643592.0,-3682609246256.0,-4294534288942.0
4,Lãi gộp,874278375412.0,925931181258.0,1265849308049.0,1569948990324.0,1472608892792.0,1330948581181.0,1348491715919.0,1388166355638.0,1140915315962.0,1390578127825.0
5,Thu nhập tài chính,4354527573.0,2653342640.0,1616605218.0,2389306989.0,2464646492.0,15052715584.0,16779717442.0,21305785541.0,44815376152.0,64386895488.0
6,Chi phí tài chính,-24071088440.0,-37703915861.0,-51808118792.0,-55727234061.0,-76655094764.0,-107603060002.0,-114918082009.0,-108616411187.0,-75814295391.0,-141933492971.0
7,Trong đó: Chi phí lãi vay,-20893764749.0,-36104196332.0,-49215221230.0,-54808958942.0,-75894178185.0,-107149414700.0,-114690167705.0,-66756127721.0,-41404493800.0,-78639277456.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,17628831459.0,7616268824.0,109389221763.0,19053363463.0,12922708803.0,17858606905.0,22573855212.0,24384493805.0
9,Chi phí bán hàng,-381453081533.0,-414160140275.0,-680874238198.0,-877567271991.0,-779346980968.0,-733044654226.0,-659673012781.0,-582038492316.0,-437437678262.0,-620367663869.0
10,Chi phí quản lý doanh  nghiệp,-100813521575.0,-112645983472.0,-152021435917.0,-193387465095.0,-181748344124.0,-148052213717.0,-135939110503.0,-215748984722.0,-137179719745.0,-154378233969.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,372295211437.0,364074484290.0,400390951819.0,453272594990.0,546712341191.0,376354732283.0,467663936871.0,520926859859.0,557872853928.0,562670126309.0
12,Thu nhập khác,1603987812.0,2715355176.0,21915140699.0,1069776637.0,11454484100.0,5647152688.0,9151476054.0,4131678028.0,12475055033.0,3907435527.0
13,Chi phí khác,-2869926055.0,-4385746710.0,-10419799329.0,-7006070515.0,-1181508000.0,-2156564279.0,-5628977999.0,-1639860818.0,-19313074324.0,-2097978928.0
14,"Thu nhập khác, ròng",-1265938243.0,-1670391534.0,11495341370.0,-5936293878.0,10272976100.0,3490588409.0,3522498055.0,2491817210.0,-6838019291.0,1809456599.0
16,Lãi/(lỗ) ròng trước thuế,384645652797.0,381594207260.0,411886293189.0,447336301112.0,556985317291.0,379845320692.0,471186434926.0,523418677069.0,551034834637.0,564479582908.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-95067125456.0,-56548691284.0,-45728897313.0,-49762725006.0,-64450029482.0,-48328277298.0,-62160442584.0,-77723724577.0,-83330178645.0,-84652427020.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1494069830.0,54992920.0,-287432256.0
19,Chi phí thuế thu nhập doanh nghiệp,-95067125456.0,-56548691284.0,-45728897313.0,-49762725006.0,-64450029482.0,-48328277298.0,-62160442584.0,-76229654747.0,-83275185725.0,-84939859276.0
20,Lãi/(lỗ) thuần sau thuế,289578527341.0,325045515976.0,366157395876.0,397573576106.0,492535287809.0,331517043394.0,409025992342.0,447189022322.0,467759648912.0,479539723632.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,289578527341.0,325045515976.0,366157395876.0,397573576106.0,492535287809.0,331517043394.0,409025992342.0,447189022322.0,467759648912.0,479539723632.0
23,Lãi cơ bản trên cổ phiếu,6681.0,5769.0,5715.0,5346.0,5519.0,3715.0,3472.0,3387.0,3.0,3349.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
