,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,117852014010.0,381562094856.0,100509586131.0,150707923733.0,74386327741.0,379840224031.0,127649572974.0,76919581268.0,61498867019.0,459744684955.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,117852014010.0,381562094856.0,100509586131.0,150707923733.0,74386327741.0,379840224031.0,127649572974.0,76919581268.0,61498867019.0,459744684955.0
3,Giá vốn hàng bán,-107922371145.0,-367843071987.0,-92576618898.0,-139911806941.0,-66227521292.0,-365002236345.0,-120020874670.0,-69403499076.0,-53741843046.0,-440638852813.0
4,Lãi gộp,9929642865.0,13719022869.0,7932967233.0,10796116792.0,8158806449.0,14837987686.0,7628698304.0,7516082192.0,7757023973.0,19105832142.0
5,Thu nhập tài chính,54964609.0,230846014.0,42105626.0,392356447.0,10444080.0,25147683.0,84181719.0,438292680.0,16705334.0,598546489.0
6,Chi phí tài chính,-79727152.0,-850066865.0,-993080356.0,-2884625360.0,-943968239.0,-2127655848.0,-687573116.0,-2224249788.0,-718453395.0,-2429316965.0
7,Trong đó: Chi phí lãi vay,-78312141.0,-843612809.0,-989080356.0,-2881956052.0,-943855178.0,-1650226754.0,-687573116.0,-1722498874.0,-682601346.0,-2338287204.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-795953487.0,-1492718641.0,-1058659728.0,-964749466.0,-265968652.0,-779141940.0,-505587626.0,-533204402.0,-653803203.0,-648371983.0
10,Chi phí quản lý doanh  nghiệp,-7494714478.0,-8500005431.0,-4503241801.0,-6825142717.0,-5787066011.0,-9108320129.0,-4732608174.0,-4787559446.0,-5903316653.0,-13939935824.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,1614212357.0,3107077946.0,1420090974.0,513955696.0,1172247627.0,2848017452.0,1787111107.0,409361236.0,498156056.0,2686753859.0
12,Thu nhập khác,158716933.0,170713.0,977403395.0,10813337.0,0.0,114265001.0,18964291.0,3199152229.0,1.0,98541272.0
13,Chi phí khác,-6600.0,-56036317.0,-4536973.0,-848869.0,-3499999.0,-107050317.0,-72177142.0,-247872872.0,-12734802.0,-264845184.0
14,"Thu nhập khác, ròng",158710333.0,-55865604.0,972866422.0,9964468.0,-3499999.0,7214684.0,-53212851.0,2951279357.0,-12734801.0,-166303912.0
16,Lãi/(lỗ) ròng trước thuế,1772922690.0,3051212342.0,2392957396.0,523920164.0,1168747628.0,2855232136.0,1733898256.0,3360640593.0,485421255.0,2520449947.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-354584538.0,-610242468.0,-478591479.0,-104784033.0,-233749526.0,-571046427.0,-346779651.0,-697219702.0,-97084251.0,-504089989.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-354584538.0,-610242468.0,-478591479.0,-104784033.0,-233749526.0,-571046427.0,-346779651.0,-697219702.0,-97084251.0,-504089989.0
20,Lãi/(lỗ) thuần sau thuế,1418338152.0,2440969874.0,1914365917.0,419136131.0,934998102.0,2284185709.0,1387118605.0,2663420891.0,388337004.0,2016359958.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,1418338152.0,2440969874.0,1914365917.0,419136131.0,934998102.0,2284185709.0,1387118605.0,2663420891.0,388337004.0,2016359958.0
23,Lãi cơ bản trên cổ phiếu,178.18,306.64,240.0,52.65,117.0,286.0,174.0,342.0,49.0,253.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,0.0
