,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,37926434791.0,78238435908.0,84022394558.0,106516617874.0,103620934243.0,1541981682.0,56057283296.0,124160761710.0,190720859987.0,36087811469.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,109081999101.0,112934452252.0,114133658665.0,125623998277.0,148299888734.0,142819277617.0,154884077734.0,160154522548.0,188362141112.0,200386991881.0
2,Lãi trước thuế,83525242035.0,86191636887.0,92068440991.0,100442362485.0,113383865635.0,130246042901.0,131183457522.0,132777849731.0,159240525193.0,179923953412.0
3,Khấu hao TSCĐ,24980998208.0,25155331052.0,25700552192.0,27001831273.0,29440536926.0,22951905720.0,25501046197.0,21740357272.0,22501522563.0,22818667371.0
5,Chi phí dự phòng,-3152155998.0,-445171123.0,-2281028988.0,484534609.0,8356568785.0,3391618773.0,5138826040.0,6431317071.0,5679555112.0,5670326963.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,-233162.0,109868872.0,1228646.0,17530501.0,1374061.0,26027506.0,-4470510.0,-17435675.0,-29868286.0,-157428958.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-2198508333.0,-1132058335.0,-2167725451.0,-5219540032.0,-6938898483.0,-19444269087.0,-14454463724.0,-6267775463.0,-3848662655.0,-8793723841.0
9,Chi phí lãi vay,5926656351.0,3054844899.0,812191275.0,2897279441.0,4056441810.0,5647951804.0,7519682209.0,5490209612.0,4819069185.0,925196934.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-20878568722.0,13450243511.0,-15598666284.0,-8061289479.0,-38281552705.0,-1090365980.0,-6144200457.0,-10928404934.0,9686599693.0,-38501799214.0
13,(Tăng)/giảm hàng tồn kho,-26421875372.0,-14530325776.0,-6045144746.0,-2893793118.0,-35766764601.0,-122662762481.0,46442796567.0,12292858357.0,13614990109.0,107394546633.0
14,Tăng/(giảm) các khoản phải trả,12368404182.0,2264645880.0,10162007908.0,19967693484.0,69988371544.0,40025269691.0,-59970853865.0,3999116895.0,33294637546.0,-11596637665.0
15,( Tăng)/giảm chi phí trả trước,-319273768.0,449857291.0,317981983.0,98494109.0,-3358209041.0,-19205193629.0,-35442473409.0,929562712.0,159360413.0,1597035898.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,10029663403.0,1382025.0,0.0,0.0,0.0,0.0,0.0,-159200000000.0
17,Chi phí lãi vay đã trả,-5792451273.0,-3144289826.0,-812191275.0,-2778956385.0,-3665726269.0,-5457987574.0,-7327407858.0,-5813759429.0,-4438698105.0,-1412958326.0
18,Thuế thu nhập doanh nghiệp đã trả,-23788040205.0,-26411103402.0,-22079832385.0,-20528056987.0,-26389096435.0,-26520321421.0,-30146400939.0,-28784964939.0,-37197528781.0,-37621563148.0
19,Tiền thu khác từ các hoạt động kinh doanh,2207316011.0,927589634.0,266300000.0,39996479.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-8531075163.0,-7702633656.0,-6351382711.0,-4952850531.0,-7205976984.0,-6365934541.0,-6238254477.0,-7688169500.0,-12760642000.0,-24957804590.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-12868551154.0,-5752616271.0,-63273211670.0,-5301053624.0,-212147027726.0,-23309674592.0,-50471826490.0,784741361.0,8037324175.0,-51141869533.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-14786567023.0,-10997275745.0,-25376492721.0,-14746780572.0,-238624589502.0,-42138150559.0,-27060145246.0,-30821145347.0,-8911591084.0,-7399444689.0
23,Tiền thu được từ thanh lý tài sản cố định,819752045.0,96363636.0,0.0,17011818.0,155000000.0,17074080000.0,31592579527.0,0.0,0.0,182593000.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,-13000000000.0,0.0,0.0,-3000000000.0,-68000000000.0,0.0,-53000000000.0,-186829557511.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,5000000000.0,26000000000.0,0.0,8000000000.0,26664958691.0,64865577325.0,136000000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,-27030000000.0,-450000000.0,-6350000000.0,0.0,-525000000.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,4001966333.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0
28,Cổ tức và tiền lãi nhận được,1098263824.0,1146329505.0,2133281051.0,4878715130.0,6672561776.0,4754395967.0,5520739229.0,4940928017.0,4983337934.0,6904539667.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-23989997970.0,-60469455841.0,-14178830002.0,-50085117528.0,136578887838.0,-11182320604.0,-35983784936.0,-127628206752.0,-58655096714.0,-97918818141.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,1475000000.0,62194450000.0,0.0,0.0,18983760000.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,-1003000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,152007200978.0,113765590621.0,51873993206.0,130353545204.0,342334111501.0,420800990265.0,429014892638.0,302960792522.0,309153182012.0,17053199440.0
33,Tiển trả các khoản đi vay,-147917648398.0,-155491779762.0,-68760656858.0,-130102190392.0,-154125105833.0,-397277802819.0,-410252957664.0,-350990281874.0,-314405250526.0,-88389927276.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-28079550550.0,-19215266700.0,-59486616350.0,-50336472340.0,-51630117830.0,-53689268050.0,-54745719910.0,-79598717400.0,-53403028200.0,-26582090305.0
37,Lưu chuyển tiền thuần trong kỳ,1067885667.0,12016363796.0,6570352886.0,51130446722.0,28052794355.0,-32950013514.0,-30398328130.0,-2682703681.0,140103087448.0,-112972876205.0
38,Tiền và tương đương tiền đầu kỳ,26747448421.0,27816134180.0,39832503811.0,46404121659.0,97534723897.0,125589512610.0,92511870590.0,62116676458.0,59436849289.0,199563596790.0
39,Ảnh hưởng của chênh lệch tỷ giá,800092.0,5835.0,1264962.0,155516.0,1994358.0,-127628506.0,3133998.0,2876512.0,23660053.0,33277.0
40,Tiền và tương đương tiền cuối kỳ,27816134180.0,39832503811.0,46404121659.0,97534723897.0,125589512610.0,92511870590.0,62116676458.0,59436849289.0,199563596790.0,86590753862.0
