,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,159153640871.0,40377515114.0,146732175685.0,234137688706.0,-18250696809.0,102034839270.0,190109353374.0,224886367603.0,242384295352.0,-20965832840.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,151095774816.0,157542051410.0,192766296449.0,354621878150.0,228194448120.0,273241138975.0,319552370075.0,284547859843.0,308707607149.0,306950739823.0
2,Lãi trước thuế,87550597481.0,95446579343.0,120951841268.0,280684936662.0,174864690542.0,211163141218.0,211981102350.0,189507262135.0,222411622124.0,201039547448.0
3,Khấu hao TSCĐ,58083348807.0,64715832777.0,65945157314.0,64060391480.0,75886552283.0,87214278579.0,86202705545.0,81200199597.0,82467772387.0,91247974734.0
5,Chi phí dự phòng,6128555120.0,-4498539546.0,12669703444.0,15781094235.0,-3759012679.0,-17780501851.0,9494878602.0,3047332637.0,16213098122.0,13406970732.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,-1672616077.0,1406045534.0,-776394263.0,4073213465.0,-327673492.0,-962644716.0,97072692.0,81864156.0,525809626.0,2042177144.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,4169950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-13983656123.0,0.0,-15614414641.0,-23687667605.0,-42881666801.0,-50027112731.0,-47078053345.0,0.0,-58842989808.0,-53921218403.0
9,Chi phí lãi vay,14985375658.0,18685358217.0,9590403327.0,13709909913.0,24411558267.0,43633978476.0,58854664231.0,-50064373946.0,45932294698.0,53135288168.0
10,Thu lãi và cổ tức,0.0,-18213224915.0,0.0,0.0,0.0,0.0,0.0,60775575264.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,46316005625.0,59454185599.0,-33816737199.0,7649719496.0,-53022875995.0,-15542953926.0,-23725244070.0,-17515971595.0,17444327058.0,-14809422815.0
13,(Tăng)/giảm hàng tồn kho,-79411833019.0,48121163168.0,-871978409.0,-148587964612.0,-47178596204.0,-20326591331.0,-78081310429.0,55774171870.0,15226929836.0,-86930030675.0
14,Tăng/(giảm) các khoản phải trả,125947149432.0,-171468184441.0,73263465797.0,74932493318.0,-65202833794.0,-32864017470.0,97209449679.0,20308249100.0,-13369044172.0,-107759794082.0
15,( Tăng)/giảm chi phí trả trước,-4224940995.0,2845284726.0,-35081727304.0,-1637862666.0,-10551847323.0,642167682.0,-7221689870.0,1232575519.0,5613669746.0,-2643625778.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-14787161580.0,-18975614115.0,-9590403327.0,-13313714513.0,-24304317909.0,-37712134325.0,-63700876093.0,-59938572077.0,-46578769904.0,-52761555243.0
18,Thuế thu nhập doanh nghiệp đã trả,-59823585752.0,-27107691181.0,-35020168674.0,-32659472447.0,-57532956208.0,-42618904382.0,-39620887199.0,-44144428632.0,-39381559143.0,-55970440271.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,18200000000.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-5957767656.0,-10033680052.0,-4916571648.0,-6867388020.0,-6851717496.0,-22783865953.0,-14302458719.0,-15377516425.0,-5278865218.0,-7041703799.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-179445449394.0,25491379322.0,-63628729717.0,-341109873994.0,-68153157872.0,-324795731877.0,-133083161587.0,-59059538000.0,-160562029425.0,102340381223.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-57696821059.0,-25234400051.0,-20025283247.0,-93362590570.0,-120357256429.0,-179491260530.0,-164626196216.0,-96061679902.0,-99525308212.0,-202537682385.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,449579272.0,65709091.0,449743181.0,551731273.0,858506818.0,53100000.0,266428932.0,62763937.0
24,Tiền cho vay hoặc mua công cụ nợ,-131385980000.0,0.0,-55000000000.0,-266823472222.0,-402847301893.0,-818661000000.0,-200265000000.0,-457524107154.0,-760914528953.0,-629800000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,30500000000.0,0.0,0.0,430117430555.0,639008948014.0,218237648820.0,464620608504.0,673414529083.0,889800000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,3600000000.0,1800000000.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,9637351665.0,20225779373.0,10946974258.0,15410479707.0,22684226714.0,33795849366.0,12711878991.0,29852540552.0,26196849725.0,44815299671.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,136553662813.0,-65142362044.0,-152089404827.0,82077409704.0,15496261064.0,293079658778.0,22989871474.0,-202263058261.0,-111485962450.0,-86545861758.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,2400000000.0,0.0,0.0,14883277549.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",-52000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,1216042003043.0,1413544832516.0,1788397194972.0,2117965113381.0,3287094384886.0,3080089109070.0,2957687767898.0,2747755522966.0,2565160567698.0,2779383228580.0
33,Tiển trả các khoản đi vay,-1028585368230.0,-1406799610860.0,-1854621331799.0,-1987259493326.0,-3132185578935.0,-2577891013867.0,-2841754482424.0,-2880312435752.0,-2649302230590.0,-2788015513057.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4108446058.0,-8207431806.0
35,Cổ tức đã trả,-53250972000.0,-71887583700.0,-85865268000.0,-63511487900.0,-139412544887.0,-209118436425.0,-92943414000.0,-69706145475.0,-23235853500.0,-69706145475.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,116261854290.0,726532392.0,-68985958859.0,-24894775584.0,-70907593617.0,70318766171.0,80016063261.0,-36436228658.0,-29663696523.0,-5171313375.0
38,Tiền và tương đương tiền đầu kỳ,83912724201.0,199971822650.0,200636882571.0,132718096879.0,107606270185.0,36864427848.0,106946601326.0,186481253593.0,149345138970.0,119156485767.0
39,Ảnh hưởng của chênh lệch tỷ giá,-202755841.0,-61472471.0,1067173167.0,-217051110.0,165751280.0,-236592693.0,-481410994.0,-699885965.0,-524956680.0,-296745527.0
40,Tiền và tương đương tiền cuối kỳ,199971822650.0,200636882571.0,132718096879.0,107606270185.0,36864427848.0,106946601326.0,186481253593.0,149345138970.0,119156485767.0,113688426865.0
