,CHỈ TIÊU,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,435462230376.0,421110964887.0,436420403850.0,580646057841.0,613456289521.0,572702311462.0,695360191562.0,763694601772.0
1,TÀI SẢN NGẮN HẠN,247554545539.0,325318395537.0,290897498891.0,462649117707.0,419173060097.0,388384944261.0,518900611267.0,518784435585.0
2,Tiền và tương đương tiền,1958738303.0,1816152173.0,352440803.0,5667073728.0,1221168629.0,2413161764.0,8614078932.0,2406321719.0
3,Tiền,1958738303.0,1816152173.0,352440803.0,5667073728.0,1221168629.0,2413161764.0,4196314014.0,2356321719.0
4,Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,4417764918.0,50000000.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,163973197065.0,233244470730.0,166585732309.0,314149900732.0,237472022610.0,195004746898.0,209205525815.0,198107905828.0
10,Phải thu khách hàng,131371649369.0,120043439408.0,130749174730.0,305515537274.0,162353794125.0,144920378134.0,175023834795.0,186634282617.0
11,Trả trước người bán,12177796583.0,4127680697.0,3020489001.0,9912742989.0,79026883294.0,40361978483.0,28595790691.0,98551929528.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,1050000000.0,1600758333.0,500758333.0,0.0,0.0,0.0,0.0
15,Phải thu khác,20906018483.0,109350230379.0,32832197484.0,759932416.0,170307004.0,15170307004.0,11425487004.0,1023475004.0
16,Dự phòng nợ khó đòi,-482267370.0,-1326879754.0,-1616887239.0,-2539070280.0,-4078961813.0,-5447916723.0,-5839586675.0,-88101781321.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",81449400326.0,89309444726.0,122742561097.0,141156513994.0,175012424996.0,189308570558.0,299039607158.0,315955008664.0
19,Hàng tồn kho,81449400326.0,89309444726.0,122742561097.0,141156513994.0,175012424996.0,189308570558.0,299039607158.0,316089300370.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-134291706.0
21,Tài sản lưu động khác,173209845.0,948327908.0,1216764682.0,1675629253.0,5467443862.0,1658465041.0,2041399362.0,2315199374.0
22,Trả trước ngắn hạn,156748037.0,0.0,163488497.0,139220684.0,331097917.0,156790422.0,144158603.0,136668366.0
23,Thuế VAT phải thu,16461808.0,817296908.0,1053276185.0,1494933697.0,4956489125.0,1444707954.0,1840274094.0,2121564343.0
24,Phải thu thuế khác,0.0,131031000.0,0.0,41474872.0,179856820.0,56966665.0,56966665.0,56966665.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,187907684837.0,95792569350.0,145522904959.0,117996940134.0,194283229424.0,184317367201.0,176459580295.0,244910166187.0
28,Phải thu dài hạn,134200000000.0,0.0,256885631.0,0.0,51000000000.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
