,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,141689087014.0,186067772408.0,337481822962.0,252634477695.0,243572615891.0,290008103354.0,284920843936.0,227826246298.0,252372779462.0,203661195125.0
1,Các khoản giảm trừ,0.0,0.0,-169630990.0,-18235490.0,-2227615.0,0.0,0.0,0.0,0.0,-77113225.0
2,Doanh số thuần,141689087014.0,186067772408.0,337312191972.0,252616242205.0,243570388276.0,290008103354.0,284920843936.0,227826246298.0,252372779462.0,203584081900.0
3,Giá vốn hàng bán,-135730830035.0,-173130951409.0,-326474683033.0,-233196803664.0,-206266434943.0,-253311283666.0,-258540094084.0,-230991496284.0,-243682315199.0,-222140537066.0
4,Lãi gộp,5958256979.0,12936820999.0,10837508939.0,19419438541.0,37303953333.0,36696819688.0,26380749852.0,-3165249986.0,8690464263.0,-18556455166.0
5,Thu nhập tài chính,1495031.0,9170606.0,9040228.0,68349316.0,1804219.0,71683509.0,49571262.0,485647.0,12674668.0,2009508146.0
6,Chi phí tài chính,-1378638474.0,-8349573083.0,-4423174502.0,-4721905399.0,-3920405535.0,-5244069637.0,-4586978267.0,-6036447665.0,-4980808978.0,-13267100290.0
7,Trong đó: Chi phí lãi vay,-1378638474.0,-8223196744.0,-4423174502.0,-4286999102.0,-3920405535.0,-4329839320.0,-4586978267.0,-5930008023.0,-4980808978.0,-4892131705.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-681169634.0,-600063743.0,-436623076.0,-457362113.0,-369315529.0,-649397768.0,-444403579.0,-497278840.0,-508983413.0,-279028463.0
10,Chi phí quản lý doanh  nghiệp,-1219875586.0,-3489186155.0,-1958678007.0,-1799202924.0,-639157188.0,-1310785332.0,-1079976030.0,-1567678657.0,-1601793090.0,-89685574171.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,2680068316.0,507168624.0,4028073582.0,12509317421.0,32376879300.0,29564250460.0,20318963238.0,-11266169501.0,1611553450.0,-119778649944.0
12,Thu nhập khác,31712386.0,24010.0,224891.0,10364965.0,62869184.0,10929110.0,5090400.0,-406161.0,5327842.0,114844572696.0
13,Chi phí khác,-136657778.0,-297871747.0,-150894224.0,-286924417.0,-91318475.0,-355129843.0,-112905573.0,-219440033.0,-147709508.0,7961011863.0
14,"Thu nhập khác, ròng",-104945392.0,-297847737.0,-150669333.0,-276559452.0,-28449291.0,-344200733.0,-107815173.0,-219846194.0,-142381666.0,122805584559.0
16,Lãi/(lỗ) ròng trước thuế,2575122924.0,209320887.0,3877404249.0,12232757969.0,32348430009.0,29220049727.0,20211148065.0,-11486015695.0,1469171784.0,3026934615.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-540991511.0,-134591399.0,-821438740.0,-2483323972.0,-6503728742.0,-5930814960.0,-4088187503.0,1602813857.0,-323376258.0,-12187855.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-540991511.0,-134591399.0,-821438740.0,-2483323972.0,-6503728742.0,-5930814960.0,-4088187503.0,1602813857.0,-323376258.0,-12187855.0
20,Lãi/(lỗ) thuần sau thuế,2034131413.0,74729488.0,3055965509.0,9749433997.0,25844701267.0,23289234767.0,16122960562.0,-9883201838.0,1145795526.0,3014746760.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,2034131413.0,74729488.0,3055965509.0,9749433997.0,25844701267.0,23289234767.0,16122960562.0,-9883201838.0,1145795526.0,3014746760.0
23,Lãi cơ bản trên cổ phiếu,79.77,2.93,119.84,349.0,921.0,830.0,575.0,-353.0,41.0,107.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
