,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,403162547.0,10118673434.0,9641725296.0,3615275897.0,15962704453.0,-20675154804.0,2802190086.0,7216700053.0,9184362067.0,-3525485576.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,8624551411.0,4555503477.0,6924696388.0,14002756277.0,6033119280.0,9890204071.0,5732719118.0,8904822556.0,5146301569.0,1271168595.0
2,Lãi trước thuế,3827146264.0,592987797.0,2247264480.0,3883056086.0,1612142816.0,-3819978119.0,1751216728.0,3975103735.0,1192026393.0,-4809004626.0
3,Khấu hao TSCĐ,3958154548.0,3880476522.0,3956787543.0,3855984624.0,3760465450.0,3687410446.0,3633887120.0,3706663627.0,3532024382.0,3436977993.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,-24082360.0,0.0,5648248302.0,-22383850.0,3036070660.0,0.0,806555121.0,0.0,1981330949.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,-393063663.0,393063663.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-120067394.0,-834745408.0,-159844149.0,159844149.0,-221010278.0,6052739702.0,-192963450.0,-62487849.0,-418510790.0,343124312.0
9,Chi phí lãi vay,959317993.0,940866926.0,880488514.0,848686779.0,510841479.0,933961382.0,540578720.0,478987922.0,840761584.0,318739967.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,6532218542.0,39499870926.0,-9138685338.0,-22242217347.0,20445431163.0,3803552892.0,-15466134826.0,-22319711021.0,-16245870253.0,22361329383.0
13,(Tăng)/giảm hàng tồn kho,-1204021149.0,1595336842.0,5488395329.0,-655238422.0,-6176707153.0,242707648.0,-2113589383.0,-6049882514.0,-112401904.0,1144601889.0
14,Tăng/(giảm) các khoản phải trả,-13467542092.0,-34691190045.0,7844307468.0,14444234841.0,-3812225160.0,-32019733414.0,15534924431.0,27627478508.0,21309643086.0,-27616156367.0
15,( Tăng)/giảm chi phí trả trước,980278572.0,532482493.0,-153373666.0,-820720807.0,462772333.0,-143022389.0,-208386880.0,-262516617.0,325487066.0,1045870619.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-1236878512.0,-953265061.0,-886316997.0,-788560344.0,-852182894.0,-1098106008.0,-650414701.0,-428763609.0,-1365648557.0,-905090438.0
18,Thuế thu nhập doanh nghiệp đã trả,-78604677.0,27932344.0,-249247888.0,-105792301.0,-27503116.0,-1350757604.0,-26927673.0,-3727250.0,-124148940.0,-827209257.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
