,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,11748322976197.0,11742907662425.0,10906728446342.0,10058565973290.0,10834566185375.0,11237353478530.0,10148628566350.0,13666409601103.0,17920843437814.0,17919685085809.0
1,Các khoản giảm trừ,-231851126942.0,-161643389872.0,-254278415829.0,-176507006819.0,-131307913285.0,-145377143791.0,-140139720157.0,-213160898776.0,-322605838228.0,-254321338750.0
2,Doanh số thuần,11516471849255.0,11581264272553.0,10652450030513.0,9882058966471.0,10703258272090.0,11091976334739.0,10008488846193.0,13453248702327.0,17598237599586.0,17665363747059.0
3,Giá vốn hàng bán,-10773915593763.0,-10735503549741.0,-9833612696212.0,-9223562797487.0,-9955349766791.0,-10429535229187.0,-9397354564382.0,-12784348853200.0,-16659038153375.0,-16693375054330.0
4,Lãi gộp,742556255492.0,845760722812.0,818837334301.0,658496168984.0,747908505299.0,662441105552.0,611134281811.0,668899849127.0,939199446211.0,971988692729.0
5,Thu nhập tài chính,104188026849.0,74270429569.0,80596382188.0,68131386998.0,66337307855.0,80677869112.0,37650314756.0,48562109000.0,107687614374.0,179513543326.0
6,Chi phí tài chính,-125855596582.0,-164828432488.0,-125817223764.0,-104195476130.0,-113393202528.0,-125261973866.0,-73059815421.0,-83735953962.0,-98532741997.0,-449192640382.0
7,Trong đó: Chi phí lãi vay,-107914346298.0,-120525628623.0,-95128275859.0,-81342268416.0,-105602842553.0,-93376087267.0,-67681145079.0,-76419942463.0,-81065460546.0,-162128960921.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,-1449614398.0,-378312558.0,391174529.0,-967331882.0,-434418350.0,-699995929.0,-605715281.0,-7465790544.0
9,Chi phí bán hàng,-213695276542.0,-288427969850.0,-281547504063.0,-236590286036.0,-255769838013.0,-240776025051.0,-223578783271.0,-232406377528.0,-284855285475.0,-335915611492.0
10,Chi phí quản lý doanh  nghiệp,-229633589473.0,-183108656531.0,-218306356507.0,-175683250956.0,-246738361502.0,-202902993436.0,-251495637148.0,-201947554458.0,-271461913218.0,-165085933482.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,277559819744.0,283666093512.0,272313017757.0,209780230302.0,198735585640.0,173210650429.0,100215942377.0,198672076250.0,391431404614.0,193842260155.0
12,Thu nhập khác,26401458033.0,117020220669.0,12101108414.0,11774290030.0,12001994383.0,13562355930.0,107817428386.0,16576722879.0,28609000991.0,22145598494.0
13,Chi phí khác,-24377594557.0,-89963316028.0,-10247554932.0,-9843764170.0,-8275065574.0,-4260519629.0,-22888312445.0,-8305734215.0,-4700337334.0,-2896462018.0
14,"Thu nhập khác, ròng",2023863476.0,27056904641.0,1853553482.0,1930525860.0,3726928809.0,9301836301.0,84929115941.0,8270988664.0,23908663657.0,19249136476.0
16,Lãi/(lỗ) ròng trước thuế,280363454898.0,310927478696.0,274166571239.0,211710756162.0,202462514449.0,182512486730.0,185145058318.0,206943064914.0,415340068271.0,213091396631.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-87164172360.0,-75074047765.0,-60267738253.0,-43718626868.0,-55154138356.0,-55880843431.0,-54517481520.0,-66776464656.0,-103881323223.0,-45255269975.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,3207512000.0,0.0,-2003999370.0,-1014402501.0,-3489110129.0,3310854521.0,-3310854521.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-83956660360.0,-75074047765.0,-62271737623.0,-44733029369.0,-58643248485.0,-52569988910.0,-57828336041.0,-66776464656.0,-103881323223.0,-45255269975.0
20,Lãi/(lỗ) thuần sau thuế,196406794538.0,235853430931.0,211894833616.0,166977726793.0,143819265964.0,129942497820.0,127316722277.0,140166600258.0,311458745048.0,167836126656.0
21,Lợi ích của cổ đông thiểu số,37946445188.0,43106237893.0,38989984705.0,23295836314.0,12456679160.0,16861274457.0,5245629954.0,2914850970.0,46615243237.0,42737326344.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,158460349350.0,192747193038.0,172904848911.0,143681890479.0,131362586804.0,113081223363.0,122071092323.0,137251749288.0,264843501811.0,125098800312.0
23,Lãi cơ bản trên cổ phiếu,2278.0,2760.0,2012.0,1578.0,1441.0,1243.0,1323.0,1526.0,2958.0,1427.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,1243.0,1323.0,1526.0,2958.0,0.0
