,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,TỔNG TÀI SẢN,5699725941889.0,5813035868098.0,5892335281352.0,6070960005684.0,5981357252760.0,6100578631342.0,6137316439824.0,6107086852203.0,6310082783620.0,6618385791653.0
1,TÀI SẢN NGẮN HẠN,3046050720963.0,3201852358435.0,3315368722168.0,3522125507735.0,3458845446494.0,3583352538605.0,3646892084335.0,3626863859625.0,3889248947968.0,4093469139560.0
2,Tiền và tương đương tiền,482039811141.0,452818494595.0,200738816764.0,238524378494.0,189990864921.0,308962376156.0,144446680779.0,131753498204.0,186076380843.0,682687029154.0
3,Tiền,104839811141.0,116818494595.0,160738816764.0,186724378494.0,151990864921.0,152962376156.0,102446680779.0,87753498204.0,146076380843.0,120987029154.0
4,Các khoản tương đương tiền,377200000000.0,336000000000.0,40000000000.0,51800000000.0,38000000000.0,156000000000.0,42000000000.0,44000000000.0,40000000000.0,561700000000.0
5,Giá trị thuần đầu tư ngắn hạn,2089838000000.0,2282838000000.0,2588838000000.0,2755488000000.0,2745718000000.0,2751718000000.0,2645218000000.0,2580418000000.0,2859426000000.0,2481188000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,2089838000000.0,2282838000000.0,2588838000000.0,2755488000000.0,2745718000000.0,2751718000000.0,2645218000000.0,2580418000000.0,2859426000000.0,2481188000000.0
9,Các khoản phải thu,393065786746.0,384226358381.0,408103576320.0,418306259493.0,404227066021.0,410164877928.0,741994903924.0,812221912728.0,738298172966.0,806717056340.0
10,Phải thu khách hàng,336905707420.0,308947260125.0,325930113924.0,350269812277.0,308572182210.0,293280474790.0,322792001117.0,327866111371.0,309113548037.0,301956631747.0
11,Trả trước người bán,10902581011.0,11065422473.0,13739699333.0,11381603756.0,34564166755.0,33603615993.0,349958006179.0,350872852792.0,366907829326.0,266240037437.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,81555375995.0,101474758387.0,105713750680.0,93918169759.0,98310230150.0,118578099621.0,104541382704.0,168936628438.0,97662263959.0,272374999696.0
16,Dự phòng nợ khó đòi,-36297877680.0,-37261082604.0,-37279987617.0,-37263326299.0,-37219513094.0,-35297312476.0,-35296486076.0,-35453679873.0,-35385468356.0,-33854612540.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",60440464463.0,63060901662.0,80216969452.0,86283955880.0,92282638354.0,83763535552.0,90801506187.0,84625247943.0,88036351984.0,93846819145.0
19,Hàng tồn kho,60440464463.0,63060901662.0,80216969452.0,86283955880.0,92282638354.0,83763535552.0,90801506187.0,84625247943.0,88036351984.0,93846819145.0
20,Dự phòng giảm giá HTK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
