,CHỈ TIÊU,Q3 2012,Q4 2012,Q4 2012.1,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q3 2014,Q1 2015
0,Doanh số,1504365106.0,3397480116.0,3397480116.0,673984755.0,1743591258.0,3286697517.0,3538083455.0,8395712000.0,2517311909.0,3126914545.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,1504365106.0,3397480116.0,3397480116.0,673984755.0,1743591258.0,3286697517.0,3538083455.0,8395712000.0,2517311909.0,3126914545.0
3,Giá vốn hàng bán,-1124958616.0,-1209551420.0,-1209551420.0,-88777485.0,-1794057414.0,-3154634731.0,-5073391088.0,-7531410254.0,-1700247844.0,-2362598287.0
4,Lãi gộp,379406490.0,2187928696.0,2187928696.0,585207270.0,-50466156.0,132062786.0,-1535307633.0,864301746.0,817064065.0,764316258.0
5,Thu nhập tài chính,139668836.0,83302816.0,83302816.0,29723810.0,7718365.0,453846.0,2389766.0,874587.0,486575.0,5075228.0
6,Chi phí tài chính,-10458076.0,-10617931.0,-10617931.0,-7444868.0,-15387978.0,3155894.0,-48000.0,-4380320.0,-25087890.0,0.0
7,Trong đó: Chi phí lãi vay,-9783076.0,-10617931.0,-10617931.0,-7444868.0,-10582316.0,3155894.0,0.0,-4380320.0,-12268592.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-630831529.0,-1211391937.0,-1211391937.0,-526611355.0,-1582159714.0,-1190686906.0,-1347121560.0,-1026276068.0,-1250331665.0,-623474402.0
10,Chi phí quản lý doanh  nghiệp,-2256363771.0,-1328056902.0,-1328056902.0,-1334945240.0,-859658966.0,-612576408.0,-573219426.0,-497246631.0,-677422431.0,-496579006.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-2378578050.0,-278835258.0,-278835258.0,-1254070383.0,-2499954449.0,-1667590788.0,-3453306853.0,-662726686.0,-1135291346.0,-350661922.0
12,Thu nhập khác,0.0,0.0,0.0,0.0,498090909.0,1974.0,0.0,0.0,0.0,0.0
13,Chi phí khác,-12000.0,-2128311.0,-2128311.0,0.0,-732275363.0,-498.0,-1428093.0,-85802961.0,-82013490.0,0.0
14,"Thu nhập khác, ròng",-12000.0,-2128311.0,-2128311.0,0.0,-234184454.0,1476.0,-1428093.0,-85802961.0,-82013490.0,0.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,-2378590050.0,-280963569.0,-280963569.0,-1254070383.0,-2734138903.0,-1667589312.0,-3454734946.0,-748529647.0,-1217304836.0,-350661922.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,-2378590050.0,-280963569.0,-280963569.0,-1254070383.0,-2734138903.0,-1667589312.0,-3454734946.0,-748529647.0,-1217304836.0,-350661922.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-2378590050.0,-280963569.0,-280963569.0,-1254070383.0,-2734138903.0,-1667589312.0,-3454734946.0,-748529647.0,-1217304836.0,-350661922.0
23,Lãi cơ bản trên cổ phiếu,-595.0,0.0,0.0,0.0,-997.0,-417.0,-1414.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
