,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,4364256362.0,101505966951.0,153933334068.0,270010069514.0,317801959419.0,10012508803.0,0.0,0.0,0.0,235925924.0
1,Các khoản giảm trừ,0.0,0.0,0.0,-258767697.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,4364256362.0,101505966951.0,153933334068.0,269751301817.0,317801959419.0,10012508803.0,0.0,0.0,0.0,235925924.0
3,Giá vốn hàng bán,-1650286371.0,-90527708512.0,-133313909874.0,-251025960033.0,-312081972419.0,-8898852781.0,0.0,0.0,0.0,-224129630.0
4,Lãi gộp,2713969991.0,10978258439.0,20619424194.0,18725341784.0,5719987000.0,1113656022.0,0.0,0.0,0.0,11796294.0
5,Thu nhập tài chính,357165511.0,440021561.0,2014535.0,7805796.0,15083393768.0,698549.0,71191.0,268631.0,14363.0,24221.0
6,Chi phí tài chính,-117273929.0,-139231309.0,0.0,-103400049.0,-6152855004.0,-1239124218.0,-6690384.0,0.0,0.0,-142077246617.0
7,Trong đó: Chi phí lãi vay,-9086605.0,-4249106.0,0.0,-36337109.0,-1917849991.0,-1113762991.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,-640220000.0,-5069124896.0,1263575378.0,455553002.0,-47767326.0,45396285.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-3064012507.0,-1301199609.0,-3445264087.0,-3733767998.0,-8071168781.0,-23384241878.0,-4198044527.0,-1378586033.0,-1137478403.0,-990095636.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-110150934.0,9337629082.0,12107049746.0,16159554911.0,7034909985.0,-23556778851.0,-4159267435.0,-1378317402.0,-1137464040.0,-143055521738.0
12,Thu nhập khác,292884801.0,70688726.0,500000.0,300301.0,0.0,0.0,20885.0,0.0,0.0,0.0
13,Chi phí khác,-138630714.0,-30436067.0,-226338557.0,-317924847.0,-373494716.0,-965561595.0,-164818506.0,0.0,0.0,-11145598.0
14,"Thu nhập khác, ròng",154254087.0,40252659.0,-225838557.0,-317624546.0,-373494716.0,-965561595.0,-164797621.0,0.0,0.0,-11145598.0
16,Lãi/(lỗ) ròng trước thuế,44103153.0,9377881741.0,11881211189.0,15841930365.0,6661415269.0,-24522340446.0,-4324065056.0,-1378317402.0,-1137464040.0,-143066667336.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-6642162.0,-1344582409.0,-2663660944.0,-3435109940.0,-1584265827.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-6642162.0,-1344582409.0,-2663660944.0,-3435109940.0,-1584265827.0,0.0,0.0,0.0,0.0,0.0
20,Lãi/(lỗ) thuần sau thuế,37460991.0,8033299332.0,9217550245.0,12406820425.0,5077149442.0,-24522340446.0,-4324065056.0,-1378317402.0,-1137464040.0,-143066667336.0
21,Lợi ích của cổ đông thiểu số,12841513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,24619478.0,8033299332.0,9217550245.0,12406820425.0,5077149442.0,-24522340446.0,-4324065056.0,-1378317402.0,-1137464040.0,-143066667336.0
23,Lãi cơ bản trên cổ phiếu,21.0,6694.0,7681.0,996.0,295.0,-1415.0,0.0,-80.0,-66.0,-8258.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,996.0,295.0,0.0,0.0,0.0,0.0,0.0
