,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,18631007166.0,-50635632410.0,79661892263.0,30089323295.0,16676777038.0,-58072691499.0,2608964380.0,14189922457.0,45463440241.0,20245947506.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,27340360603.0,23807302700.0,27290978857.0,29940653924.0,19543421590.0,29685856497.0,21304758197.0,22490877887.0,30698801837.0,27737419888.0
2,Lãi trước thuế,12592968012.0,5038984078.0,7947543723.0,8352148753.0,-1865704066.0,13229050278.0,793347566.0,2295181225.0,10871750486.0,15017938523.0
3,Khấu hao TSCĐ,14355179435.0,14335218520.0,14771897038.0,16630629756.0,16698419801.0,16647300114.0,16706258758.0,16706258758.0,16814871826.0,16815846574.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,0.0,0.0,0.0,128524001.0,0.0,-128524001.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,2338242.0,132659.0,253733.0,0.0,101270.0,0.0,0.0,0.0,90944939.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-4482039630.0,-256181978.0,-74836022.0,-12257585.0,-23137414.0,-4950141780.0,-34193225.0,-7455082.0,-370123026.0,-7703568354.0
9,Chi phí lãi vay,4874252786.0,4686943838.0,4646241459.0,4969879267.0,4733843269.0,4631022614.0,3839345098.0,3625416987.0,3382302551.0,3516258206.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,8790222618.0,-5195120525.0,872092382.0,321159653.0,6430527734.0,-18227023645.0,6466228709.0,-17010312658.0,6648255148.0,16778589146.0
13,(Tăng)/giảm hàng tồn kho,2095600266.0,-544984504.0,-7152686120.0,4238119868.0,-1401091156.0,696029422.0,-8152709997.0,-1384295992.0,1781872609.0,-8233053919.0
14,Tăng/(giảm) các khoản phải trả,-12099483577.0,-55064456659.0,62934435319.0,1383096393.0,-383683297.0,-60448083266.0,-3597976075.0,6504487838.0,10956659113.0,-7756038525.0
15,( Tăng)/giảm chi phí trả trước,201648774.0,-2728876059.0,1941490296.0,174663871.0,-1053467405.0,-547596840.0,-6280994354.0,8287107612.0,56638284.0,-1735345049.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-5184115712.0,-6321017916.0,-4227838495.0,-4558455829.0,-4258550636.0,-6063815443.0,-3878541416.0,-3713814405.0,-3402357946.0,-3453601283.0
18,Thuế thu nhập doanh nghiệp đã trả,-1667725807.0,-4105039447.0,-949283976.0,-118014586.0,-1665126824.0,-1246625381.0,-2584760684.0,-232127825.0,-91258964.0,-2647922752.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,-4993301182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-845499999.0,4509861182.0,-1047296000.0,-1291899999.0,-535252968.0,-1921432843.0,-667040000.0,-752000000.0,-1185169840.0,-444100000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,3145228182.0,1732301.0,-85658728523.0,-9184547812.0,-213226222.0,4900635780.0,83699225.0,-2617258554.0,370123026.0,7612353645.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1342893637.0,-319394884.0,-85733564545.0,-9196805397.0,-236363636.0,0.0,0.0,-2624713636.0,0.0,-44545455.0
23,Tiền thu được từ thanh lý tài sản cố định,4147336363.0,0.0,0.0,0.0,0.0,4764300000.0,0.0,0.0,359436569.0,7518200000.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,340785456.0,321127185.0,74836022.0,12257585.0,23137414.0,136335780.0,83699225.0,7455082.0,10686457.0,138699100.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-19904105660.0,29056951388.0,-9603111568.0,-11067226570.0,55316672560.0,-21631518600.0,-12082843320.0,-12080549670.0,-20957947605.0,-21752957506.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,76802390000.0,-117243000.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,49570961088.0,51090000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,-11059850000.0,-11059850000.0,-60630811088.0,-11059850000.0,-12648100000.0,-12062850000.0,-12062850000.0,-12062850000.0,-12062850000.0,-12062850000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-8844255660.0,-9454159700.0,-62300480.0,-7376570.0,-8837617440.0,-9451425600.0,-19993320.0,-17699670.0,-8895097605.0,-9690107506.0
37,Lưu chuyển tiền thuần trong kỳ,1872129688.0,-21576948721.0,-15599947828.0,9837548913.0,71780223376.0,-74803574319.0,-9390179715.0,-507885767.0,24875615662.0,6105343645.0
38,Tiền và tương đương tiền đầu kỳ,41248840065.0,43120969753.0,21541682790.0,5941602303.0,15778897483.0,87559120859.0,12755445270.0,3365265555.0,2857379788.0,27732995450.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,-2338242.0,-132659.0,-253733.0,0.0,-101270.0,0.0,0.0,0.0,-45090821.0
40,Tiền và tương đương tiền cuối kỳ,43120969753.0,21541682790.0,5941602303.0,15778897483.0,87559120859.0,12755445270.0,3365265555.0,2857379788.0,27732995450.0,33793248274.0
