,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-1222269392.0,-31861552792.0,62725207207.0,-15196488490.0,1360524984.0,-16016832801.0,9855023466.0,7940203354.0,4002467001.0,-10856463510.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,-1479259181.0,11178978338.0,12008866746.0,6574777947.0,3616818446.0,9302704708.0,2890154658.0,15755907805.0,2383518851.0,11869462921.0
2,Lãi trước thuế,6957185698.0,6457057077.0,23785879143.0,-5766661435.0,2101378540.0,6559572619.0,5396666683.0,10797918797.0,3188586027.0,7216497475.0
3,Khấu hao TSCĐ,1638685552.0,2421835909.0,2314306334.0,2451641515.0,2360609823.0,2283795288.0,2397388215.0,2394066107.0,2358832949.0,2528552010.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,-4295606360.0,0.0,-507653.0,507653.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,-10430096.0,507653.0,0.0,2936629.0,63.0,9685068.0,-121788.0,-16978918.0,-181323.0,5049140.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-6328888608.0,1498687602.0,-16668688914.0,11168918869.0,-1361129919.0,-168704522.0,-5497712164.0,1807500979.0,-3839272287.0,1239892611.0
9,Chi phí lãi vay,559794633.0,800890097.0,2577877836.0,-1282565284.0,515959939.0,618356255.0,593933712.0,773400840.0,675553485.0,879471685.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-4249998348.0,-70204175271.0,74776598631.0,-9503253466.0,9114515922.0,-29007938472.0,19047985353.0,-16274033409.0,15330104095.0,-27948162166.0
13,(Tăng)/giảm hàng tồn kho,-355390745.0,22403344421.0,-4561036726.0,-18994148943.0,-10753760769.0,-17948569242.0,6526584587.0,-951474903.0,-2689567362.0,21921397.0
