,Unnamed: 0,Q1 2020,Q2 2020,Q3 2020,Q1 2021,Q2 2021,Q3 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-3188920913.0,20070256648.0,-10746571298.0,4834646069.0,61853689149.0,18377094917.0,12704544728.0,6842973350.0,39915804439.0,20687395448.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,5500000.0,308396676.0,0.0,-189890631.0,81743524.0,-45835923777.0,0.0,-19469269807.0,-35530730193.0,-15000000000.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,-604696959.0,0.0,-189890631.0,-192000527.0,-562179726.0,0.0,0.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,5500000.0,-5500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20000000000.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,15000000000.0,-15000000000.0,30000000000.0,0.0,0.0,120000000000.0,20000000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,-15000000000.0,15000000000.0,-75000000000.0,0.0,0.0,-155000000000.0,-35000000000.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,0.0,918593635.0,0.0,0.0,273744051.0,-273744051.0,0.0,530730193.0,-530730193.0,0.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-7400248188.0,-7404541142.0,-7400248188.0,-7400248188.0,-7400248188.0,-24293447214.0,-7400248188.0,-7400248188.0,-33726823988.0,-9661549668.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,-7400248188.0,-7400248188.0,-7400248188.0,-7400248188.0,-7400248188.0,-7400248188.0,-7400248188.0,-7400248188.0,-8090139188.0,-9650248188.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,-4292954.0,0.0,0.0,0.0,-16893199026.0,0.0,0.0,-25636684800.0,-11301480.0
37,Lưu chuyển tiền thuần trong kỳ,-10583669101.0,12974112182.0,-18146819486.0,-2755492750.0,54535184485.0,-51752276074.0,5304296540.0,-20026544645.0,-29341749742.0,-3974154220.0
38,Tiền và tương đương tiền đầu kỳ,55985406506.0,45401737405.0,58375849587.0,10839665555.0,23084172805.0,77619357290.0,57190738390.0,62495034930.0,42468490285.0,13126740543.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,45401737405.0,58375849587.0,40229030101.0,8084172805.0,77619357290.0,25867081216.0,62495034930.0,42468490285.0,13126740543.0,9152586323.0
