,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,6823328516.0,10451941772.0,1200576725.0,-19741545606.0,78353476717.0,108756490606.0,55074503531.0,52661155951.0,83128769204.0,78561269835.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,-62438750.0,3580177247.0,5624044372.0,14687697875.0,80137439494.0,100793605423.0,102378487212.0,98612545541.0,95019584413.0,100909265921.0
2,Lãi trước thuế,-3945471724.0,144615875.0,3043446821.0,13765161468.0,37732660068.0,54525006808.0,56203272174.0,54712502343.0,50510887932.0,51315193963.0
3,Khấu hao TSCĐ,4092773784.0,4092773784.0,4097273784.0,4150904859.0,29255044836.0,32477293668.0,34421527565.0,34400180294.0,36045520807.0,41560725921.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,0.0,76404330.0,-76404330.0,0.0,0.0,0.0,81161450.0,-24875802.0,58313977.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,-3485195.0,-3430847.0,-1773324.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-209740810.0,-653727217.0,-1589649716.0,-3150190798.0,-722008716.0,-975009358.0,-2896192714.0,-2324772210.0,-851224011.0,-2054947900.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,13871743306.0,14766314305.0,14649880187.0,11743473664.0,9339275487.0,10029979960.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,8273588860.0,-510820099.0,-6958135527.0,-39148024620.0,-24076700274.0,23867109490.0,-16386382308.0,-37248325644.0,49985821624.0,14366838230.0
13,(Tăng)/giảm hàng tồn kho,-27231116.0,20368563.0,1893881.0,-10477310.0,15445982.0,0.0,0.0,0.0,0.0,0.0
14,Tăng/(giảm) các khoản phải trả,-1045170275.0,7395424314.0,2555879951.0,6457969383.0,42840547270.0,12047065601.0,7536918664.0,23842995968.0,-33477939179.0,-7594604002.0
15,( Tăng)/giảm chi phí trả trước,-152189794.0,24919747.0,60400048.0,17257148.0,-1655271106.0,1165582185.0,-2393208430.0,730325820.0,1291446751.0,511910716.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,-1615258263.0,-12256485043.0,-14766314305.0,-14649880187.0,-11743473664.0,-9339275487.0,-10029979960.0
18,Thuế thu nhập doanh nghiệp đã trả,0.0,0.0,0.0,0.0,-6212226424.0,-9946532014.0,-12971299041.0,-11248192070.0,-11475759597.0,-8129682014.0
19,Tiền thu khác từ các hoạt động kinh doanh,26428500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-189658909.0,-58128000.0,-83506000.0,-130709819.0,-439273182.0,-4404025774.0,-8440132379.0,-10284720000.0,-8875109321.0,-11472479056.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,209740810.0,608727217.0,71847600.0,-152884762379.0,-132112589790.0,-32237983437.0,-21802531553.0,-21028941417.0,-47587404720.0,-8272558950.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,-45000000.0,-1517802116.0,-156034953177.0,-132834598506.0,-33087992795.0,-24437114678.0,-23592213627.0,-48567012293.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850000000.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30000000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,209740810.0,653727217.0,1589649716.0,3150190798.0,722008716.0,850009358.0,2634583125.0,1713272210.0,979607573.0,1727441050.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,0.0,0.0,75649810000.0,100496779678.0,52898541045.0,-16895019000.0,-61880062916.0,-61777955485.0,-4190291649.0,-58326862952.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,75649810000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,0.0,100496779678.0,83044841108.0,36102772794.0,0.0,0.0,52000000000.0,0.0
33,Tiển trả các khoản đi vay,0.0,0.0,0.0,0.0,-22969564063.0,-27892171752.0,-29600992752.0,-29600992752.0,-29600992752.0,-32600992752.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,-7176736000.0,-25105620042.0,-32279070164.0,-32176962733.0,-26589298897.0,-25725870200.0
37,Lưu chuyển tiền thuần trong kỳ,7033069326.0,11060668989.0,76922234325.0,-72129528307.0,-860572028.0,59623488169.0,-28608090938.0,-30145740951.0,31351072835.0,11961847933.0
38,Tiền và tương đương tiền đầu kỳ,2944136970.0,9977206296.0,21037875285.0,97960109610.0,25830581303.0,24970009275.0,84593497444.0,55985406506.0,25839665555.0,57190738390.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,9977206296.0,21037875285.0,97960109610.0,25830581303.0,24970009275.0,84593497444.0,55985406506.0,25839665555.0,57190738390.0,69152586323.0
