,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,6445909855.0,-16554967270.0,179507671123.0,-121187828460.0,12666032418.0,-268558241.0,42459713526.0,37690984048.0,54886189427.0,19827874216.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,28061133746.0,31993145931.0,39103720521.0,40841915790.0,41235651056.0,31081150031.0,28046021308.0,32148337531.0,25709173397.0,22735417090.0
2,Lãi trước thuế,31116010892.0,31408174853.0,31949224421.0,32214887219.0,32048549224.0,20932186596.0,18372865339.0,24802600844.0,21024861312.0,23239836880.0
3,Khấu hao TSCĐ,3721486386.0,4132543363.0,5365562057.0,7737793463.0,9569409411.0,10559606445.0,10627721291.0,10030844972.0,6808052004.0,5847245378.0
5,Chi phí dự phòng,638534826.0,0.0,-318377114.0,-163047979.0,0.0,-367800000.0,0.0,0.0,0.0,0.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,-71591653.0,0.0,0.0,-16674825.0,147926248.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-7414898358.0,-3547572285.0,-998703837.0,-807369286.0,-382307579.0,0.0,-1039131608.0,-1264864019.0,-2107065094.0,-6507437410.0
9,Chi phí lãi vay,0.0,0.0,3106014994.0,1859652373.0,0.0,28748643.0,43134294.0,0.0,0.0,7845994.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,41431992.0,-1420244266.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,73782241217.0,-163811235464.0,-127052451539.0,71521268817.0,31090155052.0,52905274247.0,48629612345.0,-5865509593.0,79533003626.0,2158837996.0
13,(Tăng)/giảm hàng tồn kho,253906062462.0,-1341534480437.0,340190639964.0,40319659567.0,5070366865.0,-607088819.0,2475793393607.0,6397013349.0,4071329743.0,-11062128367.0
14,Tăng/(giảm) các khoản phải trả,-341884143917.0,1462773066211.0,-61185858859.0,-261849921725.0,-59211472577.0,-81398966982.0,-2501910682127.0,11570263412.0,-47201079154.0,13973788574.0
15,( Tăng)/giảm chi phí trả trước,971049236.0,1282042521.0,-1941649105.0,-1818652393.0,-943333186.0,3703743782.0,2950730286.0,1579514148.0,1426752838.0,643082901.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,-2943700239.0,-2021967128.0,0.0,-28748643.0,-43134294.0,0.0,0.0,-7845994.0
18,Thuế thu nhập doanh nghiệp đã trả,-8390432889.0,-7257506032.0,-6663029620.0,-8180131388.0,-4575334792.0,-5512692522.0,-6726805776.0,-4315418482.0,-5008440261.0,-4231154981.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,-411229335.0,-4279421823.0,-3823216317.0,-3644550762.0,-4382123003.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,5773838424.0,599607644.0,-11295928397.0,-25258730234.0,-17931822073.0,-2377854040.0,-4565107049.0,971209690.0,-1055021080.0,-72828216342.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1855753800.0,-3209437442.0,-12294632234.0,-26066099520.0,-18314129652.0,-2449445693.0,-133800000.0,0.0,-2899169818.0,-2486044848.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,2927273.0,0.0,22097273.0,0.0,1025977704.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,-5170000000.0,0.0,0.0,-152850000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77050000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,7629592224.0,3809045086.0,998703837.0,807369286.0,382307579.0,68664380.0,738692951.0,949112417.0,1844148738.0,4431850802.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-24888961517.0,-18709036175.0,50373418894.0,-92669499960.0,-17262392228.0,-5372587750.0,-20892958334.0,-20870998437.0,-16282513839.0,-13352504230.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,0.0,0.0,121521374974.0,55607816936.0,0.0,6800992429.0,5918803538.0,0.0,0.0,3186234938.0
33,Tiển trả các khoản đi vay,0.0,0.0,-51892726909.0,-125236465001.0,0.0,-6800992429.0,-5918803538.0,0.0,0.0,-3186234938.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-24888961517.0,-18709036175.0,-19255229171.0,-23040851895.0,-17262392228.0,-5372587750.0,-20892958334.0,-20870998437.0,-16282513839.0,-13352504230.0
37,Lưu chuyển tiền thuần trong kỳ,-12669213238.0,-34664395801.0,218585161620.0,-239116058654.0,-22528181883.0,-8019000031.0,17001648143.0,17791195301.0,37548654508.0,-66352846356.0
38,Tiền và tương đương tiền đầu kỳ,113345918572.0,100676705334.0,66012309533.0,284597471153.0,45481412499.0,22953230616.0,14934230585.0,31935878728.0,49727074029.0,87271432992.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4295545.0,-678405.0
40,Tiền và tương đương tiền cuối kỳ,100676705334.0,66012309533.0,284597471153.0,45481412499.0,22953230616.0,14934230585.0,31935878728.0,49727074029.0,87271432992.0,20917908231.0
