,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,12867203635.0,7923135294.0,9337354411.0,5055778701.0,7426031822.0,1714930574.0,3757046229.0,4574259242.0,10092314765.0,6814934402.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,11576718215.0,12423464398.0,11835301563.0,11103223836.0,7662710652.0,12045209096.0,12309005888.0,11783297879.0,7402291546.0,12033106917.0
2,Lãi trước thuế,3805249432.0,4931169401.0,3603121129.0,2808722059.0,-640618358.0,4431653880.0,4010564954.0,4136545726.0,-735995517.0,3900920471.0
3,Khấu hao TSCĐ,6634063274.0,6655222112.0,7166996343.0,7081540857.0,7064519082.0,7063332204.0,7026377235.0,7014777315.0,7055790803.0,7037396572.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,-115875000.0,0.0,43875000.0,0.0,-190125000.0,0.0,-93375000.0,0.0,15750000.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,27648.0,0.0,0.0,0.0,129143.0,0.0,0.0,0.0,-370382.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-58969446.0,-154372364.0,-192512000.0,-3851114.0,-3787176.0,-376890534.0,-47371079.0,-133339662.0,-3566879.0,-13718795.0
9,Chi phí lãi vay,1196374955.0,1107292601.0,1257696091.0,1172937034.0,1242597104.0,1117109403.0,1319434778.0,858689500.0,1086063139.0,1093129051.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-1598437053.0,528996791.0,-2285756230.0,954153148.0,299442880.0,-2842656045.0,-3480905716.0,-15177103612.0,-376220176.0,16114134229.0
13,(Tăng)/giảm hàng tồn kho,1246404758.0,-2081328954.0,559060010.0,-2053720176.0,1853859629.0,-755141468.0,-1927046781.0,144496810.0,2480615585.0,-2666998507.0
14,Tăng/(giảm) các khoản phải trả,4396704743.0,-2837839804.0,1082411734.0,-660987417.0,-1680970351.0,-4129245587.0,869252013.0,10393976016.0,-3452568351.0,-6913615604.0
15,( Tăng)/giảm chi phí trả trước,-167731172.0,61843777.0,-1070476255.0,183108148.0,802051977.0,-180413304.0,-1116488238.0,391702253.0,727436461.0,-2199449073.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-1257823315.0,-933639717.0,1082932127.0,-3358249694.0,-1147338664.0,-1201299438.0,-1074195025.0,-1129201298.0,5545960522.0,-7742171343.0
18,Thuế thu nhập doanh nghiệp đã trả,-659808582.0,1613249523.0,-1032897043.0,-707068884.0,-7857021.0,-596829200.0,-1061465912.0,-758740499.0,-2474449164.0,-1574732217.0
19,Tiền thu khác từ các hoạt động kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-668823959.0,-851610720.0,-833221495.0,-404680260.0,-355867280.0,-624693480.0,-761110000.0,-1074168307.0,239248342.0,-235340000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-1999953830.0,-10393663233.0,-7021306182.0,3851114.0,3787176.0,228190534.0,5371079.0,-2108310338.0,-199201303.0,-605443687.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-2058923276.0,-10548035597.0,-7213818182.0,0.0,0.0,-148700000.0,-42000000.0,-2241650000.0,-202768182.0,-735238038.0
23,Tiền thu được từ thanh lý tài sản cố định,53571428.0,150000000.0,159090908.0,0.0,0.0,372727271.0,0.0,130808080.0,454545.0,124977556.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,5398018.0,4372364.0,33421092.0,3851114.0,3787176.0,4163263.0,47371079.0,2531582.0,3112334.0,4816795.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-16286998841.0,19847126841.0,3857891411.0,-10796120752.0,-5060857826.0,-7060857825.0,-2710857825.0,-6705606387.0,-4010857824.0,-4748261824.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,1170000000.0,-68370000000.0,5950800000.0,0.0,0.0,0.0,4000000000.0,7900000000.0,10000000000.0,13900000000.0
33,Tiển trả các khoản đi vay,-5631064000.0,76391192000.0,-2092908589.0,-5132948237.0,-5060857826.0,-5060857825.0,-6710857825.0,-8610857824.0,-12510857824.0,-18610857824.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-11825934841.0,11825934841.0,0.0,-5663172515.0,0.0,-2000000000.0,0.0,-5994748563.0,-1500000000.0,-37404000.0
37,Lưu chuyển tiền thuần trong kỳ,-5419749036.0,17376598902.0,6173939640.0,-5736490937.0,2368961172.0,-5117736717.0,1051559483.0,-4239657483.0,5882255638.0,1461228891.0
38,Tiền và tương đương tiền đầu kỳ,11043826388.0,5624077352.0,9742027765.0,15915967405.0,10179476468.0,12548437640.0,7430571780.0,8482131263.0,4242473780.0,10124729418.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,-129143.0,0.0,0.0,0.0,370382.0
