,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-6723217489.0,62534959934.0,41356726700.0,46725213964.0,-19974912280.0,22197537536.0,-18820064948.0,85251707060.0,22689858783.0,-19224995637.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,11895084105.0,71297694696.0,62374212393.0,61826053749.0,-22178869570.0,28835049796.0,-19688421233.0,88725232849.0,28996502914.0,10371467011.0
2,Lãi trước thuế,11712770888.0,72298196786.0,63230586241.0,64999889036.0,-21603445876.0,30267362330.0,-23025278081.0,86943550100.0,27668330907.0,8369987113.0
3,Khấu hao TSCĐ,5732863145.0,5609851041.0,5457620421.0,5420095141.0,4209250769.0,4862260714.0,6040132100.0,5682804844.0,5581768673.0,5508473038.0
5,Chi phí dự phòng,-243000000.0,0.0,0.0,30515000.0,2366209827.0,-2366209827.0,0.0,50000000.0,214665525.0,-73580550.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-5458779928.0,-6718355131.0,-6353823269.0,-8624445428.0,-7150884290.0,-3928363421.0,-2703275252.0,-3951122095.0,-4468262191.0,-3466398891.0
9,Chi phí lãi vay,151230000.0,108002000.0,39829000.0,0.0,0.0,0.0,0.0,0.0,0.0,32986301.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,1508013862.0,800776593.0,364687587.0,-3037140685.0,2486091460.0,-2259922228.0,1352202106.0,-506117943.0,-1324164750.0,-1363821281.0
13,(Tăng)/giảm hàng tồn kho,7155625708.0,2053393074.0,1636969306.0,1240797266.0,6606258032.0,-6302193984.0,13903734095.0,2638872646.0,10824483199.0,-21654635537.0
14,Tăng/(giảm) các khoản phải trả,-8138343310.0,4094864757.0,-3647244056.0,2400504204.0,-1885643060.0,4098734619.0,-10150177234.0,4980478615.0,-4620611297.0,-534539158.0
15,( Tăng)/giảm chi phí trả trước,-1783944291.0,-2340063265.0,-119725792.0,1686430099.0,3420078992.0,1041793333.0,1140147565.0,-3392092420.0,-1655839814.0,1102996456.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-151230000.0,-108002000.0,-39829000.0,0.0,0.0,0.0,0.0,0.0,0.0,-10726027.0
18,Thuế thu nhập doanh nghiệp đã trả,-2120488367.0,-11735127921.0,-11444374474.0,-10753719669.0,-2253206193.0,-1600000000.0,-2245927847.0,-4130574390.0,-5395783469.0,-2592574101.0
19,Tiền thu khác từ các hoạt động kinh doanh,1367674513.0,217820000.0,55500000.0,163677000.0,29890000.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-16455609709.0,-1746396000.0,-7823469264.0,-6801388000.0,-6199511941.0,-1615924000.0,-3131622400.0,-3064092297.0,-4134728000.0,-4543163000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,644803946.0,-7895467826.0,-3146976893.0,-41379410128.0,49838381133.0,25355174566.0,7856513356.0,-80816415773.0,16182898667.0,9096347306.0
