,CHỈ TIÊU,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015
0,Doanh số,345742530528.0,310560476260.0,373233776624.0,330822860866.0,333432911054.0,231656729735.0,198925038828.0,218448659249.0,191691586585.0,188686211174.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,345742530528.0,310560476260.0,373233776624.0,330822860866.0,333432911054.0,231656729735.0,198925038828.0,218448659249.0,191691586585.0,188686211174.0
3,Giá vốn hàng bán,-337253633346.0,-301578571570.0,-362923530153.0,-321757747024.0,-323896569782.0,-221877020305.0,-188099412833.0,-204208653808.0,-180204724355.0,-177699606439.0
4,Lãi gộp,8488897182.0,8981904690.0,10310246471.0,9065113842.0,9536341272.0,9779709430.0,10825625995.0,14240005441.0,11486862230.0,10986604735.0
5,Thu nhập tài chính,89166328.0,70941511.0,6200581.0,14681927.0,20644601.0,17400996.0,11093385.0,26535642.0,74399896.0,16043880.0
6,Chi phí tài chính,-299303540.0,-479159776.0,-563325742.0,-746541009.0,-290802134.0,-411810469.0,-501945996.0,-463249422.0,-294222494.0,-283819866.0
7,Trong đó: Chi phí lãi vay,-297431199.0,-479159776.0,-548566777.0,-732113399.0,-285407764.0,-381376085.0,-298850128.0,-466840728.0,-286834069.0,-474238182.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-5277600820.0,-4093865419.0,-5601860094.0,-4787570294.0,-4666663676.0,-4668199596.0,-5569581940.0,-6385672414.0,-6054509462.0,-8028308019.0
10,Chi phí quản lý doanh  nghiệp,-2769197111.0,-3052321837.0,-3566299791.0,-2913051387.0,-4070898437.0,-4200768329.0,-3780436387.0,-5953557934.0,-4167624248.0,-2947621726.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,231962039.0,1427499169.0,584961425.0,632633079.0,528621626.0,516332032.0,984755057.0,1464061313.0,1044905922.0,-257100996.0
12,Thu nhập khác,27272727.0,10428010.0,24399515.0,178150150.0,91818181.0,187045455.0,0.0,176727272.0,175222728.0,35263777.0
13,Chi phí khác,0.0,0.0,0.0,-59829550.0,-115355077.0,-1624554.0,0.0,0.0,-204974722.0,-48220170.0
14,"Thu nhập khác, ròng",27272727.0,10428010.0,24399515.0,118320600.0,-23536896.0,185420901.0,0.0,176727272.0,-29751994.0,-12956393.0
15,Lãi/(lỗ) từ công ty liên doanh  (từ năm 2015),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lãi/(lỗ) ròng trước thuế,259234766.0,1437927179.0,609360940.0,750953679.0,505084730.0,701752933.0,984755057.0,1640788585.0,1015153928.0,-270057389.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-64808691.0,-359481795.0,-152340235.0,-172324607.0,-152411560.0,-158772131.0,-216646113.0,-368629488.0,-267128703.0,45856628.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-64808691.0,-359481795.0,-152340235.0,-172324607.0,-152411560.0,-158772131.0,-216646113.0,-368629488.0,-267128703.0,45856628.0
20,Lãi/(lỗ) thuần sau thuế,194426075.0,1078445384.0,457020705.0,578629072.0,352673170.0,542980802.0,768108944.0,1272159097.0,748025225.0,-224200761.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,194426075.0,1078445384.0,457020705.0,578629072.0,352673170.0,542980802.0,768108944.0,1272159097.0,748025225.0,-224200761.0
23,Lãi cơ bản trên cổ phiếu,121.0,674.0,286.0,362.0,220.0,339.0,480.0,795.0,468.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
