,Unnamed: 0,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,4335098600.0,110312814873.0,-22151774700.0,-122233174820.0,-144240147528.0,86962816876.0,-94654953547.0,-203931949686.0,76695013872.0,-18710570154.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,15024541012.0,26935881391.0,74381264674.0,8355170542.0,36608165676.0,59440712259.0,69041286933.0,99329864099.0,94799402800.0,74322418329.0
2,Lãi trước thuế,17542989250.0,26269487394.0,77775569967.0,12556515839.0,20593129253.0,33480094646.0,44460071009.0,41744425457.0,27138895609.0,10077655642.0
3,Khấu hao TSCĐ,1671535119.0,2801970039.0,4698654911.0,6277133465.0,5645407882.0,4926097070.0,4765752718.0,16419835453.0,23850160458.0,26912284899.0
5,Chi phí dự phòng,-1960462858.0,-235205681.0,0.0,0.0,-41650500.0,1723906618.0,-577008056.0,2922009976.0,2222425323.0,1177280209.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,892299.0,-1054834.0,364404758.0,-1087948700.0,1776117234.0
7,Lãi/(lỗ) từ thanh lý tài sản cố định,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-2229520499.0,-2802266572.0,-10888301048.0,-16131861297.0,-1427701430.0,-810865441.0,1893707220.0,4988220201.0,-1265059501.0,-1496751711.0
9,Chi phí lãi vay,0.0,901896211.0,2795340844.0,5653382535.0,11838980471.0,20120587067.0,18499818876.0,32890968254.0,43940929611.0,35875832056.0
10,Thu lãi và cổ tức,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-34180276154.0,-77645918504.0,-200420569898.0,-56708806359.0,-155168049388.0,111523975672.0,74777988788.0,-89376376997.0,113758844470.0,37436915067.0
13,(Tăng)/giảm hàng tồn kho,25468540861.0,54495326161.0,8925067656.0,2774664912.0,-8857320657.0,-36042304629.0,-280004897746.0,-321569228419.0,-259519331679.0,-148036415340.0
14,Tăng/(giảm) các khoản phải trả,2745441947.0,115172000698.0,132311300792.0,-65943683806.0,6216021519.0,-21706615687.0,70893187877.0,146080957177.0,176172463278.0,45936427198.0
15,( Tăng)/giảm chi phí trả trước,-1263412292.0,-657380858.0,-17939712243.0,3955459424.0,-4379102054.0,2713792261.0,-42482399.0,2108688133.0,920980154.0,13384474408.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
